variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93012,0,32,transition_mid,transition_mid,9601,93012288637,0.7084869742393494,0.5137967467308044,20.318355560302734,69.5,0.8645761609077454,0.1805383563041687,0.9185332655906677,0.0
primary,93012,0,32,sparse_drive,transition_mid,9601,93012288637,0.5418637990951538,0.3839721381664276,20.267574310302734,69.5,0.7356468439102173,0.263418585062027,0.8843940496444702,0.0
primary,93012,0,32,transition_mid,transition_mid,9602,93012288638,0.7272260189056396,0.5324184894561768,20.291011810302734,69.5,0.8720722794532776,0.1660943180322647,0.9332862496376038,0.0
primary,93012,0,32,sparse_drive,transition_mid,9602,93012288638,0.43133023381233215,0.30616647005081177,20.248044967651367,69.5,0.6242440342903137,0.30903589725494385,0.8868193626403809,0.0
primary,93012,0,32,transition_mid,transition_mid,9603,93012288639,0.29806649684906006,0.20826885104179382,20.287105560302734,69.5,0.4972613751888275,0.40058383345603943,0.864820122718811,0.0
primary,93012,0,32,sparse_drive,transition_mid,9603,93012288639,0.3506445288658142,0.24513395130634308,20.246089935302734,70.0,0.5603748559951782,0.37426790595054626,0.8655287623405457,0.0
primary,93012,0,32,transition_mid,transition_mid,9604,93012288640,0.6134623885154724,0.45079344511032104,20.300777435302734,69.5,0.7960889339447021,0.22940468788146973,0.9391569495201111,0.0
primary,93012,0,32,sparse_drive,transition_mid,9604,93012288640,0.4038133919239044,0.2807418704032898,20.244136810302734,70.0,0.6320329904556274,0.3610880970954895,0.8580017685890198,0.0
primary,93012,0,32,transition_mid,transition_mid,9605,93012288641,0.4728187024593353,0.3439905345439911,20.277339935302734,69.5,0.6766391396522522,0.3012246787548065,0.923462986946106,0.0
primary,93012,0,32,sparse_drive,transition_mid,9605,93012288641,0.5244525074958801,0.37104532122612,20.259761810302734,69.5,0.7248871922492981,0.27650460600852966,0.8821420073509216,0.0
primary,93012,0,32,transition_mid,transition_mid,9606,93012288642,0.48707932233810425,0.3513779044151306,20.277339935302734,69.5,0.6839495897293091,0.287843257188797,0.9105532765388489,0.0
primary,93012,0,32,sparse_drive,transition_mid,9606,93012288642,0.6517612934112549,0.46975424885749817,20.236324310302734,69.5,0.8148245811462402,0.20012076199054718,0.9091954827308655,0.0
primary,93012,0,32,transition_mid,transition_mid,9607,93012288643,0.46662312746047974,0.3538684844970703,20.287105560302734,69.5,0.672883927822113,0.30653250217437744,0.9923447966575623,0.0
primary,93012,0,32,sparse_drive,transition_mid,9607,93012288643,0.48083287477493286,0.34175828099250793,20.255855560302734,69.5,0.6762599349021912,0.2889821529388428,0.8887245059013367,0.0
primary,93012,0,32,transition_mid,transition_mid,9608,93012288644,0.6630358099937439,0.48123449087142944,20.314449310302734,69.5,0.8315367102622986,0.20263798534870148,0.919804036617279,0.0
primary,93012,0,32,sparse_drive,transition_mid,9608,93012288644,0.20658867061138153,0.14731433987617493,20.257808685302734,69.5,0.345176637172699,0.4014986753463745,0.893423318862915,0.0
primary,93012,0,32,transition_mid,sparse_drive,9601,93012288637,0.3797657787799835,0.27268490195274353,21.675777435302734,70.0,0.595657467842102,0.36244267225265503,0.9035756587982178,0.0
primary,93012,0,32,sparse_drive,sparse_drive,9601,93012288637,0.22202076017856598,0.15996336936950684,21.61328125,69.5,0.37575599551200867,0.4091357886791229,0.9086596965789795,0.0
primary,93012,0,32,transition_mid,sparse_drive,9602,93012288638,0.22798292338848114,0.16125091910362244,21.707027435302734,70.0,0.3953096270561218,0.42328009009361267,0.8817479014396667,0.0
primary,93012,0,32,sparse_drive,sparse_drive,9602,93012288638,0.23004652559757233,0.16238199174404144,21.630855560302734,69.5,0.3894517719745636,0.4093067944049835,0.878896176815033,0.0
primary,93012,0,32,transition_mid,sparse_drive,9603,93012288639,0.419332355260849,0.3002015948295593,21.624996185302734,70.0,0.6452251672744751,0.35009923577308655,0.8991910815238953,0.0
primary,93012,0,32,sparse_drive,sparse_drive,9603,93012288639,0.2442631870508194,0.1728060096502304,21.597652435302734,70.0,0.3962893784046173,0.38362419605255127,0.8820769190788269,0.0
primary,93012,0,32,transition_mid,sparse_drive,9604,93012288640,0.2509267330169678,0.18191012740135193,21.671871185302734,70.0,0.4195229113101959,0.40187597274780273,0.9180070161819458,0.0
primary,93012,0,32,sparse_drive,sparse_drive,9604,93012288640,0.3201018273830414,0.22932633757591248,21.617183685302734,69.5,0.5247980952262878,0.39004766941070557,0.900244414806366,0.0
primary,93012,0,32,transition_mid,sparse_drive,9605,93012288641,0.17193864285945892,0.11943277716636658,21.726558685302734,69.5,0.3152135908603668,0.4545329213142395,0.8568370938301086,0.0
primary,93012,0,32,sparse_drive,sparse_drive,9605,93012288641,0.3055967092514038,0.22271929681301117,21.582027435302734,69.5,0.48876458406448364,0.3747568726539612,0.9261660575866699,0.0
primary,93012,0,32,transition_mid,sparse_drive,9606,93012288642,0.27888351678848267,0.20392045378684998,21.646480560302734,69.5,0.47367092967033386,0.4112294018268585,0.9313075542449951,0.0
primary,93012,0,32,sparse_drive,sparse_drive,9606,93012288642,0.32348304986953735,0.22538979351520538,21.646480560302734,70.0,0.5375175476074219,0.3981907367706299,0.860974133014679,0.0
primary,93012,0,32,transition_mid,sparse_drive,9607,93012288643,0.580170750617981,0.42163488268852234,21.681636810302734,70.0,0.7789543271064758,0.25519290566444397,0.9217892289161682,0.0
primary,93012,0,32,sparse_drive,sparse_drive,9607,93012288643,0.32108303904533386,0.2235705852508545,21.617183685302734,70.0,0.5118682980537415,0.3727233111858368,0.8600850701332092,0.0
