variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
alternative,93011,0,32,transition_mid,transition_mid,9601,93011288634,0.5850822925567627,0.42658042907714844,20.451169967651367,69.5,0.7824466228485107,0.25224000215530396,0.9267921447753906,0.0
alternative,93011,0,32,sparse_drive,transition_mid,9601,93011288634,0.4984368085861206,0.35613176226615906,20.556638717651367,69.5,0.684617817401886,0.27194878458976746,0.8963119983673096,0.0
alternative,93011,0,32,transition_mid,transition_mid,9602,93011288635,0.22194266319274902,0.16787904500961304,20.380855560302734,69.5,0.36855557560920715,0.3978040814399719,0.9877640008926392,0.0
alternative,93011,0,32,sparse_drive,transition_mid,9602,93011288635,0.589877724647522,0.4407709836959839,20.529293060302734,69.5,0.7791915535926819,0.24296188354492188,0.9666405916213989,0.0
alternative,93011,0,32,transition_mid,transition_mid,9603,93011288636,0.28593042492866516,0.21579357981681824,20.374996185302734,69.5,0.4565652906894684,0.3737359642982483,0.9838009476661682,0.0
alternative,93011,0,32,sparse_drive,transition_mid,9603,93011288636,0.36359527707099915,0.27267691493034363,20.505855560302734,69.5,0.5803638696670532,0.3735046088695526,0.972832202911377,0.0
alternative,93011,0,32,transition_mid,transition_mid,9604,93011288637,0.4245077669620514,0.3124411404132843,20.402339935302734,69.5,0.6296607851982117,0.3258151412010193,0.941712498664856,0.0
alternative,93011,0,32,sparse_drive,transition_mid,9604,93011288637,0.5932191014289856,0.4420425295829773,20.533199310302734,69.5,0.780788004398346,0.2402302622795105,0.9619804620742798,0.0
alternative,93011,0,32,transition_mid,transition_mid,9605,93011288638,0.37557902932167053,0.27394238114356995,20.419918060302734,69.5,0.5632275342941284,0.3331664204597473,0.9274158477783203,0.0
alternative,93011,0,32,sparse_drive,transition_mid,9605,93011288638,0.38082507252693176,0.2761808931827545,20.542964935302734,69.5,0.5618395209312439,0.322181761264801,0.9185637831687927,0.0
alternative,93011,0,32,transition_mid,transition_mid,9606,93011288639,0.5264862775802612,0.3802800476551056,20.468746185302734,69.5,0.7331822514533997,0.28191620111465454,0.9124334454536438,0.0
