variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,19,32,transition_mid,transition_mid,9601,93001288604,0.7607614398002625,0.5789734721183777,20.408201217651367,69.5,0.8928131461143494,0.14790523052215576,0.99869304895401,0.0
primary,93001,19,32,sparse_drive,transition_mid,9601,93001288604,0.3296378552913666,0.2497958242893219,20.349605560302734,69.5,0.522578775882721,0.3692092299461365,0.9910005331039429,0.0
primary,93001,19,32,transition_mid,transition_mid,9602,93001288605,0.5455362796783447,0.39508333802223206,20.380855560302734,69.5,0.757759153842926,0.2800663709640503,0.9164442420005798,0.0
primary,93001,19,32,sparse_drive,transition_mid,9602,93001288605,0.40980038046836853,0.31389495730400085,20.302730560302734,69.5,0.6127981543540955,0.3312636911869049,1.0105040073394775,0.0
primary,93001,19,32,transition_mid,transition_mid,9603,93001288606,0.6684997081756592,0.4875244200229645,20.396480560302734,69.5,0.8384048938751221,0.2026529163122177,0.9271907806396484,0.0
primary,93001,19,32,sparse_drive,transition_mid,9603,93001288606,0.33740079402923584,0.2516164779663086,20.296871185302734,69.5,0.5244727730751038,0.3566857576370239,0.9633094668388367,0.0
primary,93001,19,32,transition_mid,transition_mid,9604,93001288607,0.7544270753860474,0.5690069794654846,20.408199310302734,69.5,0.8932157158851624,0.15538084506988525,0.9826805591583252,0.0
primary,93001,19,32,sparse_drive,transition_mid,9604,93001288607,0.2474854290485382,0.1866111010313034,20.343746185302734,69.0,0.39084938168525696,0.366800993680954,0.982227623462677,0.0
primary,93001,19,32,transition_mid,transition_mid,9605,93001288608,0.4732244610786438,0.35093480348587036,20.423824310302734,69.5,0.6857948303222656,0.3099620044231415,0.9539857506752014,0.0
primary,93001,19,32,sparse_drive,transition_mid,9605,93001288608,0.4899478554725647,0.3703199625015259,20.355464935302734,69.5,0.7018943428993225,0.3019635081291199,0.9864288568496704,0.0
primary,93001,19,32,transition_mid,transition_mid,9606,93001288609,0.3567104935646057,0.27040308713912964,20.408199310302734,69.5,0.5363017916679382,0.3348698318004608,0.9916063547134399,0.0
primary,93001,19,32,sparse_drive,transition_mid,9606,93001288609,0.4313851594924927,0.3226779103279114,20.324214935302734,69.5,0.6336974501609802,0.31925690174102783,0.9684087038040161,0.0
primary,93001,19,32,transition_mid,transition_mid,9607,93001288610,0.711617648601532,0.5156873464584351,20.412105560302734,69.5,0.8674542903900146,0.1796482801437378,0.9174085259437561,0.0
primary,93001,19,32,sparse_drive,transition_mid,9607,93001288610,0.5482157468795776,0.40376901626586914,20.341793060302734,69.5,0.7365440130233765,0.255691796541214,0.9428191184997559,0.0
primary,93001,19,32,transition_mid,transition_mid,9608,93001288611,0.6553164720535278,0.47176873683929443,20.400386810302734,69.5,0.827242910861969,0.20783065259456635,0.9074577689170837,0.0
primary,93001,19,32,sparse_drive,transition_mid,9608,93001288611,0.3567119240760803,0.2775536775588989,20.255855560302734,69.0,0.5623595714569092,0.36568713188171387,1.040509581565857,0.0
primary,93001,19,32,transition_mid,sparse_drive,9601,93001288604,0.27170997858047485,0.19507041573524475,21.814449310302734,70.0,0.4347446858882904,0.3750125467777252,0.9033727645874023,0.0
primary,93001,19,32,sparse_drive,sparse_drive,9601,93001288604,0.6611981391906738,0.5034751296043396,21.746089935302734,69.5,0.8396657109260559,0.21254602074623108,0.9996776580810547,0.0
primary,93001,19,32,transition_mid,sparse_drive,9602,93001288605,0.5641060471534729,0.3965587913990021,21.835933685302734,70.0,0.7642481327056885,0.261881023645401,0.8731800317764282,0.0
primary,93001,19,32,sparse_drive,sparse_drive,9602,93001288605,0.5551176071166992,0.41428717970848083,21.683589935302734,69.5,0.7483830451965332,0.2582440674304962,0.9645628929138184,0.0
primary,93001,19,32,transition_mid,sparse_drive,9603,93001288606,0.36670130491256714,0.2563830614089966,21.919918060302734,70.5,0.5776271224021912,0.36515912413597107,0.8656562566757202,0.0
primary,93001,19,32,sparse_drive,sparse_drive,9603,93001288606,0.43162059783935547,0.3256375789642334,21.691402435302734,69.5,0.637824296951294,0.3232923150062561,0.9832126498222351,0.0
primary,93001,19,32,transition_mid,sparse_drive,9604,93001288607,0.2876894474029541,0.207884281873703,21.814449310302734,70.0,0.4955883026123047,0.41949909925460815,0.9130640625953674,0.0
primary,93001,19,32,sparse_drive,sparse_drive,9604,93001288607,0.6583501696586609,0.4963284134864807,21.710933685302734,69.5,0.833933413028717,0.2105482518672943,0.9819234609603882,0.0
primary,93001,19,32,transition_mid,sparse_drive,9605,93001288608,0.3285873830318451,0.24554423987865448,21.765621185302734,69.5,0.5109677314758301,0.35693126916885376,0.9667491912841797,0.0
primary,93001,19,32,sparse_drive,sparse_drive,9605,93001288608,0.6861187815666199,0.5228067636489868,21.675777435302734,69.5,0.8511215448379517,0.193865105509758,1.0009121894836426,0.0
