variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,18,32,transition_mid,transition_mid,9601,93002288607,0.34036991000175476,0.26064714789390564,20.232418060302734,69.0,0.5330539345741272,0.36147189140319824,1.0100339651107788,0.0
primary,93002,18,32,sparse_drive,transition_mid,9601,93002288607,0.5922189950942993,0.44461455941200256,20.164058685302734,69.5,0.7859644293785095,0.24650663137435913,0.9746953248977661,0.0
primary,93002,18,32,transition_mid,transition_mid,9602,93002288608,0.5248071551322937,0.40711331367492676,20.246089935302734,69.0,0.7255249619483948,0.27665188908576965,1.0345804691314697,0.0
primary,93002,18,32,sparse_drive,transition_mid,9602,93002288608,0.5104761123657227,0.38204652070999146,20.214839935302734,69.5,0.7072192430496216,0.2781924903392792,0.9693355560302734,0.0
primary,93002,18,32,transition_mid,transition_mid,9603,93002288609,0.420539528131485,0.3244369626045227,20.259761810302734,69.0,0.6149874329566956,0.31618186831474304,1.0239683389663696,0.0
primary,93002,18,32,sparse_drive,transition_mid,9603,93002288609,0.6899704933166504,0.4990116059780121,20.146480560302734,69.5,0.8567081689834595,0.19462597370147705,0.9143973588943481,0.0
primary,93002,18,32,transition_mid,transition_mid,9604,93002288610,0.36310848593711853,0.2754496932029724,20.253902435302734,69.0,0.5563421249389648,0.3473288118839264,0.9928804039955139,0.0
primary,93002,18,32,sparse_drive,transition_mid,9604,93002288610,0.3413110375404358,0.25167426466941833,20.164058685302734,69.5,0.5288218259811401,0.3545822203159332,0.9447020888328552,0.0
primary,93002,18,32,transition_mid,transition_mid,9605,93002288611,0.4765700101852417,0.3695605397224426,20.228511810302734,69.0,0.6854112148284912,0.3046947717666626,1.0338780879974365,0.0
primary,93002,18,32,sparse_drive,transition_mid,9605,93002288611,0.5068648457527161,0.3671620488166809,20.197261810302734,69.5,0.6972174048423767,0.2730174958705902,0.9167969822883606,0.0
