variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,6,32,transition_mid,transition_mid,9601,93001288604,0.27650585770606995,0.20879468321800232,20.328121185302734,69.0,0.4361172616481781,0.3659828007221222,0.9847586750984192,0.0
primary,93001,6,32,sparse_drive,transition_mid,9601,93001288604,0.3467707931995392,0.25593575835227966,20.451168060302734,69.5,0.5249650478363037,0.3394402265548706,0.9461925029754639,0.0
primary,93001,6,32,transition_mid,transition_mid,9602,93001288605,0.2444612830877304,0.18850436806678772,20.246089935302734,69.5,0.3992248475551605,0.38766011595726013,1.0230381488800049,0.0
primary,93001,6,32,sparse_drive,transition_mid,9602,93001288605,0.5142004489898682,0.39056622982025146,20.365230560302734,69.0,0.7191563844680786,0.2849949300289154,0.9951749444007874,0.0
primary,93001,6,32,transition_mid,transition_mid,9603,93001288606,0.5879046320915222,0.43472564220428467,20.376951217651367,69.5,0.7807679772377014,0.24701747298240662,0.9492630362510681,0.0
primary,93001,6,32,sparse_drive,transition_mid,9603,93001288606,0.4241114854812622,0.31949424743652344,20.374996185302734,69.5,0.6425005793571472,0.33990487456321716,0.9806013703346252,0.0
primary,93001,6,32,transition_mid,transition_mid,9604,93001288607,0.5698733925819397,0.42224326729774475,20.355464935302734,69.5,0.7647960782051086,0.25486883521080017,0.9525653123855591,0.0
primary,93001,6,32,sparse_drive,transition_mid,9604,93001288607,0.38511714339256287,0.2857503592967987,20.421871185302734,69.5,0.6095450520515442,0.3681892454624176,0.9548767805099487,0.0
primary,93001,6,32,transition_mid,transition_mid,9605,93001288608,0.7528858780860901,0.5598449110984802,20.359371185302734,69.5,0.8908289670944214,0.15484802424907684,0.9584811925888062,0.0
primary,93001,6,32,sparse_drive,transition_mid,9605,93001288608,0.4280645549297333,0.32589149475097656,20.351558685302734,69.0,0.6377508640289307,0.3287903070449829,0.9993330836296082,0.0
primary,93001,6,32,transition_mid,transition_mid,9606,93001288609,0.4826386570930481,0.3573358356952667,20.357418060302734,69.5,0.6732676029205322,0.2831399440765381,0.9513190388679504,0.0
primary,93001,6,32,sparse_drive,transition_mid,9606,93001288609,0.45035526156425476,0.34290337562561035,20.374996185302734,69.0,0.6420088410377502,0.2985216975212097,0.9995532035827637,0.0
primary,93001,6,32,transition_mid,transition_mid,9607,93001288610,0.7630367279052734,0.5582432150840759,20.367183685302734,69.5,0.8929672241210938,0.14550426602363586,0.9321770071983337,0.0
primary,93001,6,32,sparse_drive,transition_mid,9607,93001288610,0.2812357246875763,0.21248504519462585,20.374996185302734,69.0,0.44407132267951965,0.36668795347213745,0.9857417345046997,0.0
primary,93001,6,32,transition_mid,transition_mid,9608,93001288611,0.760417103767395,0.5650842785835266,20.335935592651367,69.5,0.8952023983001709,0.15056400001049042,0.9574205875396729,0.0
primary,93001,6,32,sparse_drive,transition_mid,9608,93001288611,0.2709774971008301,0.20206087827682495,20.351558685302734,69.5,0.442515105009079,0.38764238357543945,0.9631397128105164,0.0
primary,93001,6,32,transition_mid,sparse_drive,9601,93001288604,0.2139294296503067,0.15183953940868378,21.839839935302734,69.5,0.3795047402381897,0.4362931251525879,0.8867093920707703,0.0
primary,93001,6,32,sparse_drive,sparse_drive,9601,93001288604,0.6256551742553711,0.4587635099887848,21.794918060302734,69.5,0.8080808520317078,0.22575174272060394,0.9357271194458008,0.0
primary,93001,6,32,transition_mid,sparse_drive,9602,93001288605,0.314129114151001,0.221052348613739,21.808589935302734,70.0,0.5232288837432861,0.3996334671974182,0.8745905160903931,0.0
primary,93001,6,32,sparse_drive,sparse_drive,9602,93001288605,0.6954221725463867,0.5109809637069702,21.802730560302734,69.5,0.8555853962898254,0.1871972382068634,0.9390339255332947,0.0
primary,93001,6,32,transition_mid,sparse_drive,9603,93001288606,0.27213847637176514,0.1899941861629486,21.806636810302734,70.0,0.45043033361434937,0.39582559466362,0.8636873364448547,0.0
primary,93001,6,32,sparse_drive,sparse_drive,9603,93001288606,0.26330822706222534,0.18861714005470276,21.874996185302734,70.0,0.4450576603412628,0.40837275981903076,0.9000779986381531,0.0
primary,93001,6,32,transition_mid,sparse_drive,9604,93001288607,0.19750839471817017,0.1356801837682724,21.833980560302734,70.0,0.3438163101673126,0.425540953874588,0.8421744108200073,0.0
primary,93001,6,32,sparse_drive,sparse_drive,9604,93001288607,0.2613167464733124,0.18864823877811432,21.832027435302734,70.0,0.4463023841381073,0.4144849479198456,0.9116306900978088,0.0
primary,93001,6,32,transition_mid,sparse_drive,9605,93001288608,0.24730904400348663,0.1781410276889801,21.775386810302734,69.5,0.4187968075275421,0.40947723388671875,0.9083046317100525,0.0
primary,93001,6,32,sparse_drive,sparse_drive,9605,93001288608,0.2431928962469101,0.17644734680652618,21.822261810302734,69.5,0.41974902153015137,0.4206230342388153,0.9192550778388977,0.0
primary,93001,6,32,transition_mid,sparse_drive,9606,93001288609,0.2180294543504715,0.15288375318050385,21.824214935302734,69.5,0.3699651062488556,0.41067564487457275,0.8696708083152771,0.0
primary,93001,6,32,sparse_drive,sparse_drive,9606,93001288609,0.42820245027542114,0.3130141794681549,21.802730560302734,69.5,0.6363533735275269,0.3270995616912842,0.9308626055717468,0.0
primary,93001,6,32,transition_mid,sparse_drive,9607,93001288610,0.46883800625801086,0.32229143381118774,21.814449310302734,70.0,0.6708187460899353,0.3010958135128021,0.8430591225624084,0.0
primary,93001,6,32,sparse_drive,sparse_drive,9607,93001288610,0.6440083980560303,0.47539982199668884,21.781246185302734,69.5,0.8128281235694885,0.20769424736499786,0.9464878439903259,0.0
