subject,C,activity_selectivity_residual_delta_rho
619293,0.25,-0.0277942899514946
619293,1.0,-0.0279766615169385
619293,4.0,-0.029176346847697
619293,0.25,0.0730030594220263
619293,1.0,0.0808343040935795
619293,4.0,0.0813649304621275
619293,0.25,0.005042560974499
619293,1.0,0.0075189721474528
619293,4.0,0.0047867571592737
619293,0.25,-0.0350855047091152
619293,1.0,-0.0282143293210199
619293,4.0,-0.0229247696390097
619293,0.25,-0.011911966412384
619293,1.0,-0.0120667092919837
619293,4.0,-0.0080326004629376
619293,0.25,-0.0021939695897664
619293,1.0,6.576186740486767e-05
619293,4.0,0.0005349405876496
619293,0.25,-0.0262651121924226
619293,1.0,-0.0248928259128443
619293,4.0,-0.026048267944381
619293,0.25,0.003572647020075
619293,1.0,0.0034899678455133
619293,4.0,0.0052094514210507
619293,0.25,0.1030250979988032
619293,1.0,0.0960552192240856
619293,4.0,0.0921158895832236
619293,0.25,0.0418768246928235
619293,1.0,0.0450142127565847
619293,4.0,0.0464421502991821
619293,0.25,-0.0275162728048936
619293,1.0,-0.0299160726885809
619293,4.0,-0.0305642208544318
619293,0.25,-0.028386669039889
619293,1.0,-0.0283969243461917
619293,4.0,-0.0267803787411272
619296,0.25,0.0379036842207765
619296,1.0,0.0456243864057826
619296,4.0,0.0518230803201348
619296,0.25,0.019228140393757
619296,1.0,0.0102070773840076
619296,4.0,0.0028042679961579
619296,0.25,-0.0070849309488762
619296,1.0,-0.0085667686214983
619296,4.0,-0.0086943397321868
619296,0.25,0.0677648913323826
619296,1.0,0.0744318138972331
619296,4.0,0.0801853557104766
619296,0.25,0.0073924623730426
619296,1.0,0.0029692601249788
619296,4.0,0.0006337449287648
619296,0.25,0.0687103916529262
619296,1.0,0.0747743848337122
619296,4.0,0.0768878127809576
619296,0.25,-0.0063857838399059
619296,1.0,-0.0065751843940973
619296,4.0,-0.0048910758291667
619296,0.25,-0.0489010940100944
619296,1.0,-0.052007790568844
619296,4.0,-0.0515419292481588
619296,0.25,0.052219813742787
