variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,18,32,transition_mid,transition_mid,9601,93003288610,0.7285526394844055,0.5462604761123657,20.332027435302734,69.5,0.8754152059555054,0.16776330769062042,0.972472071647644,0.0
primary,93003,18,32,sparse_drive,transition_mid,9601,93003288610,0.6147993206977844,0.4492476284503937,20.251949310302734,69.5,0.7860026955604553,0.21781526505947113,0.9302756190299988,0.0
primary,93003,18,32,transition_mid,transition_mid,9602,93003288611,0.7240954041481018,0.5301176309585571,20.328121185302734,69.5,0.8638771772384644,0.16180749237537384,0.9332599639892578,0.0
primary,93003,18,32,sparse_drive,transition_mid,9602,93003288611,0.45975160598754883,0.34455493092536926,20.234373092651367,69.5,0.6573718786239624,0.30062171816825867,0.9716697931289673,0.0
primary,93003,18,32,transition_mid,transition_mid,9603,93003288612,0.669688880443573,0.49672600626945496,20.363277435302734,69.5,0.8314071297645569,0.1945115625858307,0.9543066024780273,0.0
primary,93003,18,32,sparse_drive,transition_mid,9603,93003288612,0.5765884518623352,0.41931891441345215,20.271480560302734,69.5,0.7768179774284363,0.2577560544013977,0.9228464961051941,0.0
primary,93003,18,32,transition_mid,transition_mid,9604,93003288613,0.7025152444839478,0.5154047012329102,20.355464935302734,69.5,0.8601592183113098,0.18327301740646362,0.9366001486778259,0.0
primary,93003,18,32,sparse_drive,transition_mid,9604,93003288613,0.6073487401008606,0.4370936453342438,20.255855560302734,69.5,0.7884886264801025,0.229730486869812,0.9069702625274658,0.0
primary,93003,18,32,transition_mid,transition_mid,9605,93003288614,0.5409142971038818,0.4112810492515564,20.322261810302734,69.5,0.7309906482696533,0.26002568006515503,0.9970304369926453,0.0
primary,93003,18,32,sparse_drive,transition_mid,9605,93003288614,0.7402572631835938,0.5451754927635193,20.236324310302734,69.5,0.8857728838920593,0.1642809510231018,0.9427160620689392,0.0
primary,93003,18,32,transition_mid,transition_mid,9606,93003288615,0.7277534604072571,0.5349202156066895,20.374996185302734,69.5,0.8776112794876099,0.1707564741373062,0.939580500125885,0.0
primary,93003,18,32,sparse_drive,transition_mid,9606,93003288615,0.5372821092605591,0.38492849469184875,20.257808685302734,69.5,0.7125563025474548,0.2459793984889984,0.9002847075462341,0.0
primary,93003,18,32,transition_mid,transition_mid,9607,93003288616,0.7060627341270447,0.5227629542350769,20.318355560302734,69.5,0.8627120852470398,0.18157781660556793,0.9513456225395203,0.0
primary,93003,18,32,sparse_drive,transition_mid,9607,93003288616,0.747008740901947,0.5395463109016418,20.267574310302734,69.5,0.8888855576515198,0.15961198508739471,0.9123865365982056,0.0
primary,93003,18,32,transition_mid,transition_mid,9608,93003288617,0.6034553050994873,0.442301481962204,20.332027435302734,69.5,0.7854536175727844,0.23171108961105347,0.9350682497024536,0.0
primary,93003,18,32,sparse_drive,transition_mid,9608,93003288617,0.6927879452705383,0.5068589448928833,20.210933685302734,69.5,0.8546978235244751,0.18943527340888977,0.9322088956832886,0.0
primary,93003,18,32,transition_mid,sparse_drive,9601,93003288610,0.5821337699890137,0.3878214955329895,21.855464935302734,70.5,0.7877658605575562,0.26103195548057556,0.8038917183876038,0.0
primary,93003,18,32,sparse_drive,sparse_drive,9601,93003288610,0.457158625125885,0.3368872106075287,21.566402435302734,69.5,0.6886288523674011,0.33613207936286926,0.943695068359375,0.0
primary,93003,18,32,transition_mid,sparse_drive,9602,93003288611,0.2614710032939911,0.18045297265052795,21.816402435302734,70.0,0.46341395378112793,0.43577224016189575,0.8482329845428467,0.0
primary,93003,18,32,sparse_drive,sparse_drive,9602,93003288611,0.22532179951667786,0.163692444562912,21.576168060302734,69.5,0.37378963828086853,0.3971962332725525,0.9212387800216675,0.0
primary,93003,18,32,transition_mid,sparse_drive,9603,93003288612,0.47017911076545715,0.3335326015949249,21.757808685302734,70.0,0.6822751760482788,0.3108659088611603,0.8859215378761292,0.0
primary,93003,18,32,sparse_drive,sparse_drive,9603,93003288612,0.23098452389240265,0.16317300498485565,21.593746185302734,69.5,0.3918881416320801,0.41058558225631714,0.8800092935562134,0.0
primary,93003,18,32,transition_mid,sparse_drive,9604,93003288613,0.5686562061309814,0.39541515707969666,21.789058685302734,70.0,0.7745493650436401,0.2658231854438782,0.8582406640052795,0.0
primary,93003,18,32,sparse_drive,sparse_drive,9604,93003288613,0.46119388937950134,0.3391881287097931,21.568355560302734,69.5,0.6542770266532898,0.29510918259620667,0.9405103921890259,0.0
primary,93003,18,32,transition_mid,sparse_drive,9605,93003288614,0.33364564180374146,0.22956883907318115,21.798824310302734,70.0,0.5513998866081238,0.39491164684295654,0.8442656993865967,0.0
primary,93003,18,32,sparse_drive,sparse_drive,9605,93003288614,0.25307267904281616,0.18596139550209045,21.566402435302734,69.5,0.42888861894607544,0.40993380546569824,0.9391124248504639,0.0
primary,93003,18,32,transition_mid,sparse_drive,9606,93003288615,0.31566545367240906,0.21901290118694305,21.767574310302734,70.0,0.5228937268257141,0.3963105082511902,0.8552712798118591,0.0
primary,93003,18,32,sparse_drive,sparse_drive,9606,93003288615,0.7483359575271606,0.5583072900772095,21.591793060302734,69.5,0.8896054029464722,0.1588001251220703,0.9640209078788757,0.0
