phase,topology,N,regime,k,baseline,n_tasks,mean_gain,bootstrap95_low,bootstrap95_high,median_gain,positive_fraction,wilcoxon_greater_p,wilcoxon_greater_fdr_bh
er_patch,erdos_renyi,256,sparse_drive,8,spectral,3,0.0485802087932825,-0.0025771837681531906,0.0894265770912171,0.05889123305678359,0.6666666666666666,0.25,0.36818181818181817
er_patch,erdos_renyi,256,sparse_drive,32,spectral,3,0.09816981541613741,0.061098575592041016,0.11826779693365101,0.1151430737227202,1.0,0.125,0.36818181818181817
er_patch,erdos_renyi,256,sparse_drive,64,spectral,3,0.009159414718548439,-0.0424690805375576,0.0655058398842811,0.004441484808921814,0.6666666666666666,0.375,0.50625
er_patch,erdos_renyi,256,transition_dense,8,spectral,3,0.011564432643353932,9.058043360696266e-06,0.0266870548948646,0.0079971849918365,1.0,0.125,0.36818181818181817
er_patch,erdos_renyi,256,transition_dense,32,spectral,3,0.05035813214878243,0.042190566658973694,0.06156075559556488,0.0473230741918087,1.0,0.125,0.36818181818181817
er_patch,erdos_renyi,256,transition_dense,64,spectral,3,-0.06509947528441745,-0.2034885697066784,0.1461378894746304,-0.13794774562120438,0.3333333333333333,0.75,0.8209459459459459
er_patch,erdos_renyi,256,transition_mid,8,spectral,3,0.024025778907040732,-0.03492727130651471,0.05556888971477739,0.05143571831285951,0.6666666666666666,0.25,0.36818181818181817
er_patch,erdos_renyi,256,transition_mid,32,spectral,3,0.04059593689938384,-0.0600403565913439,0.10823049768805498,0.07359766960144043,0.6666666666666666,0.25,0.36818181818181817
er_patch,erdos_renyi,256,transition_mid,64,spectral,3,0.01593909909327823,-0.07544368132948881,0.14691120758652687,-0.02365022897720337,0.3333333333333333,0.625,0.7444852941176471
stage4b_replication,scale_free,256,sparse_drive,8,spectral,4,0.14727102406322956,0.08100873790681365,0.22319654747843742,0.13760778680443764,1.0,0.0625,0.36818181818181817
stage4b_replication,scale_free,256,sparse_drive,16,spectral,4,0.05590492114424707,0.04313532263040544,0.06867451965808871,0.0545858256518841,1.0,0.0625,0.36818181818181817
stage4b_replication,scale_free,256,sparse_drive,24,spectral,4,0.022623207420110737,-0.03154046088457106,0.07169279083609584,0.02771729230880743,0.75,0.3125,0.4290254237288136
stage4b_replication,scale_free,256,sparse_drive,32,spectral,4,0.007741007953882231,-0.13511360064148908,0.16601123660802847,-0.007674612104892703,0.5,0.5625,0.6903409090909091
stage4b_replication,scale_free,256,sparse_drive,48,spectral,4,0.07144102454185486,-0.054662734270095825,0.22143343091011047,0.04755237698554993,0.75,0.3125,0.4290254237288136
stage4b_replication,scale_free,256,sparse_drive,64,spectral,4,-0.031962938606739086,-0.1156439930200577,0.051718115806579534,-0.033004090189933805,0.5,0.8125,0.865953947368421
stage4b_replication,scale_free,256,transition_dense,8,spectral,4,0.0420039054006338,-0.0020988546311855767,0.08479845337569714,0.043312117457389845,0.75,0.125,0.36818181818181817
stage4b_replication,scale_free,256,transition_dense,16,spectral,4,0.016075618565082574,-0.004408113658428192,0.03655935078859334,0.014322817325592041,0.5,0.3125,0.4290254237288136
stage4b_replication,scale_free,256,transition_dense,24,spectral,4,-0.024871334433555603,-0.1081804409623146,0.03428211063146591,-0.0007156729698181152,0.5,0.6875,0.8070652173913043
stage4b_replication,scale_free,256,transition_dense,32,spectral,4,0.12144662067294121,0.03089156746864319,0.21801399812102318,0.10784776508808136,0.75,0.125,0.36818181818181817
stage4b_replication,scale_free,256,transition_dense,48,spectral,4,0.038822054862976074,-0.0823359489440918,0.16544005274772644,0.03336206078529358,0.5,0.4375,0.5809426229508197
stage4b_replication,scale_free,256,transition_dense,64,spectral,4,0.2648603394627571,0.2337476760149002,0.2882988750934601,0.27371300756931305,1.0,0.0625,0.36818181818181817
stage4b_replication,scale_free,256,transition_mid,8,spectral,4,0.1058055479079485,0.06900842115283007,0.16070034168660646,0.08770788088440895,1.0,0.0625,0.36818181818181817
stage4b_replication,scale_free,256,transition_mid,16,spectral,4,-0.0057762451469898154,-0.017517745494842543,0.005965255200862912,-0.004644677042961148,0.5,0.8125,0.865953947368421
stage4b_replication,scale_free,256,transition_mid,24,spectral,4,-0.03505359962582588,-0.09053166583180429,0.012796603143215193,-0.02742573618888855,0.25,0.875,0.9204545454545454
stage4b_replication,scale_free,256,transition_mid,32,spectral,4,0.06697280704975128,0.026173166930675548,0.10275867581367493,0.07958899438381192,1.0,0.0625,0.36818181818181817
