definition,score_col,family,endpoint,n,n_experiments,beta_after_identity,se_after_identity,p_after_identity,effect_scale,odds_ratio,delta_before,delta_after,fold_local_increment_after,fold_local_metric,q_within_definition_descriptive
primary_shared,C_primary_shared,structural,connection,12835,985,-0.1609927149475773,0.0641100794655419,0.0120324253621468,log_odds,0.8512982728371061,,,0.0003125852802881,logloss_improvement,0.1804863804322021
primary_shared,C_primary_shared,strength,psp_amplitude,611,314,0.0025754032069116,0.0482570104041075,0.9574723659126496,standardized_beta,,0.0404855904138409,2.666446716537152e-06,-0.0029116549251656,delta_cv_r2,0.9960420394036552
primary_shared,C_primary_shared,strength,psc_amplitude,549,288,-0.0808376115533582,0.0624373939168466,0.1964648381021225,standardized_beta,,0.0576095206173031,0.002586084715779,0.0032244782355402,delta_cv_r2,0.7367431428829595
primary_shared,C_primary_shared,measured_stp,stp_induction_50hz,593,308,0.0088362860808265,0.0460743817378318,0.8480389235790257,standardized_beta,,0.0888158632820581,3.123909988533846e-05,-0.0011117143562866,delta_cv_r2,0.9918759405386032
primary_shared,C_primary_shared,measured_stp,variability_resting_state,450,256,0.0134456343071083,0.0591378379801831,0.8203252706701545,standardized_beta,,0.1251675234000596,6.891243545326109e-05,-0.002688178691757,delta_cv_r2,0.9918759405386032
primary_shared,C_primary_shared,standardized,G_norm_50hz,617,316,0.0251562342020054,0.052622041989326,0.6329425951828694,standardized_beta,,0.0019978181400167,0.0002549969291737,-0.0030901569269241,delta_cv_r2,0.9918759405386032
protocol_conservative,C_protocol_conservative,structural,connection,13992,1016,-0.135356510660039,0.0485499063724473,0.0053036662446843,log_odds,0.873404478169655,,,0.0004832511388385,logloss_improvement,0.0795549936702659
protocol_conservative,C_protocol_conservative,strength,psp_amplitude,651,339,0.0410504760113036,0.0385944815330814,0.2882529649370631,standardized_beta,,0.017716211316339,0.0010076299271447,-0.0018859742751399,delta_cv_r2,0.7382763517779678
protocol_conservative,C_protocol_conservative,strength,psc_amplitude,582,312,-0.0008922371456172,0.0506276492356784,0.985950497848772,standardized_beta,,0.0332090711151066,4.6769654993283893e-07,-0.0015405120773044,delta_cv_r2,0.985950497848772
protocol_conservative,C_protocol_conservative,measured_stp,stp_induction_50hz,632,333,-0.009314774083089,0.0399920920260072,0.8159706270537166,standardized_beta,,0.0423180583739191,5.175264009227298e-05,-0.0024579859055895,delta_cv_r2,0.9832967712344404
protocol_conservative,C_protocol_conservative,measured_stp,variability_resting_state,484,277,-0.0506857437208853,0.0427757792560844,0.2370695863820879,standardized_beta,,0.0594288170718466,0.001466060045332,0.0005403391632943,delta_cv_r2,0.7382763517779678
protocol_conservative,C_protocol_conservative,standardized,G_norm_50hz,629,329,0.002751122042969,0.039291320359289,0.9442215486013504,standardized_beta,,0.0006052923986876,4.4624183989094846e-06,-0.0018546566137734,delta_cv_r2,0.985950497848772
