variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93009,0,32,transition_mid,transition_mid,9601,93009288628,0.5829816460609436,0.43299296498298645,20.367183685302734,69.5,0.7716885209083557,0.24453766644001007,0.9565218091011047,0.0
primary,93009,0,32,sparse_drive,transition_mid,9601,93009288628,0.7632346749305725,0.5550809502601624,20.296871185302734,69.5,0.8962163925170898,0.14838124811649323,0.9229167699813843,0.0
primary,93009,0,32,transition_mid,transition_mid,9602,93009288629,0.47315022349357605,0.33387425541877747,20.326168060302734,69.5,0.6665883660316467,0.29019132256507874,0.8784483075141907,0.0
primary,93009,0,32,sparse_drive,transition_mid,9602,93009288629,0.5891405940055847,0.44609785079956055,20.273433685302734,69.5,0.776846170425415,0.24162514507770538,0.9896218180656433,0.0
primary,93009,0,32,transition_mid,transition_mid,9603,93009288630,0.7211254835128784,0.5461676716804504,20.316402435302734,69.5,0.871666431427002,0.1727047711610794,0.9900467991828918,0.0
primary,93009,0,32,sparse_drive,transition_mid,9603,93009288630,0.5016108155250549,0.3521794080734253,20.283201217651367,69.5,0.7006300687789917,0.28405749797821045,0.8714240789413452,0.0
primary,93009,0,32,transition_mid,transition_mid,9604,93009288631,0.7170054316520691,0.5208144187927246,20.314451217651367,69.5,0.8671888709068298,0.17318420112133026,0.9210091233253479,0.0
primary,93009,0,32,sparse_drive,transition_mid,9604,93009288631,0.7173160314559937,0.5268695950508118,20.298824310302734,69.5,0.8701357841491699,0.17562749981880188,0.9384327530860901,0.0
primary,93009,0,32,transition_mid,transition_mid,9605,93009288632,0.791267991065979,0.5968754291534424,20.314451217651367,69.5,0.9110447764396667,0.1314719021320343,0.9829213619232178,0.0
primary,93009,0,32,sparse_drive,transition_mid,9605,93009288632,0.5598071217536926,0.4117414653301239,20.292964935302734,69.5,0.7510061860084534,0.25459057092666626,0.9406178593635559,0.0
primary,93009,0,32,transition_mid,transition_mid,9606,93009288633,0.42662832140922546,0.32155126333236694,20.308589935302734,69.5,0.6122757196426392,0.3032087981700897,0.9814745187759399,0.0
primary,93009,0,32,sparse_drive,transition_mid,9606,93009288633,0.4332290589809418,0.3266802132129669,20.292964935302734,69.5,0.6403104066848755,0.32340776920318604,0.9822977185249329,0.0
primary,93009,0,32,transition_mid,transition_mid,9607,93009288634,0.48888224363327026,0.3544131815433502,20.316402435302734,69.5,0.6730331778526306,0.27361342310905457,0.9179915189743042,0.0
primary,93009,0,32,sparse_drive,transition_mid,9607,93009288634,0.6388988494873047,0.4643200635910034,20.302732467651367,69.5,0.8175665736198425,0.21853603422641754,0.9218056797981262,0.0
primary,93009,0,32,transition_mid,transition_mid,9608,93009288635,0.3659612834453583,0.26820769906044006,20.291011810302734,69.5,0.5492990016937256,0.3337666988372803,0.9349328279495239,0.0
primary,93009,0,32,sparse_drive,transition_mid,9608,93009288635,0.4182649254798889,0.3120030164718628,20.292964935302734,69.5,0.6181084513664246,0.32331469655036926,0.9637523293495178,0.0
primary,93009,0,32,transition_mid,sparse_drive,9601,93009288628,0.30153053998947144,0.21542295813560486,21.792964935302734,70.0,0.48074957728385925,0.37279078364372253,0.8961778283119202,0.0
primary,93009,0,32,sparse_drive,sparse_drive,9601,93009288628,0.6643091440200806,0.48291686177253723,21.644527435302734,69.5,0.8349088430404663,0.2043333351612091,0.9222201704978943,0.0
primary,93009,0,32,transition_mid,sparse_drive,9602,93009288629,0.21332551538944244,0.15357623994350433,21.740230560302734,69.5,0.37265080213546753,0.4275457561016083,0.9074684977531433,0.0
primary,93009,0,32,sparse_drive,sparse_drive,9602,93009288629,0.5028457641601562,0.3620222508907318,21.644527435302734,69.5,0.7070714831352234,0.2888332009315491,0.9075347781181335,0.0
primary,93009,0,32,transition_mid,sparse_drive,9603,93009288630,0.2517118453979492,0.1815410852432251,21.761714935302734,69.5,0.4429568350315094,0.43174639344215393,0.910194993019104,0.0
primary,93009,0,32,sparse_drive,sparse_drive,9603,93009288630,0.28672000765800476,0.2046736180782318,21.671871185302734,69.5,0.47246453166007996,0.3931395709514618,0.8949801921844482,0.0
primary,93009,0,32,transition_mid,sparse_drive,9604,93009288631,0.311325341463089,0.2258741557598114,21.744136810302734,70.0,0.5000777840614319,0.37744614481925964,0.9192121624946594,0.0
primary,93009,0,32,sparse_drive,sparse_drive,9604,93009288631,0.70224529504776,0.5137023329734802,21.664058685302734,69.5,0.8626837730407715,0.1859760582447052,0.9319764971733093,0.0
primary,93009,0,32,transition_mid,sparse_drive,9605,93009288632,0.3711166977882385,0.2729279100894928,21.677730560302734,69.5,0.574592649936676,0.3541221022605896,0.9404380321502686,0.0
primary,93009,0,32,sparse_drive,sparse_drive,9605,93009288632,0.5833418369293213,0.42941054701805115,21.601558685302734,69.5,0.7864710092544556,0.25827932357788086,0.9419603943824768,0.0
primary,93009,0,32,transition_mid,sparse_drive,9606,93009288633,0.3620353937149048,0.26404860615730286,21.734371185302734,70.0,0.5425737500190735,0.3327443599700928,0.9273260235786438,0.0
primary,93009,0,32,sparse_drive,sparse_drive,9606,93009288633,0.3151644468307495,0.22784744203090668,21.662105560302734,69.5,0.5208211541175842,0.3948701024055481,0.9137929677963257,0.0
primary,93009,0,32,transition_mid,sparse_drive,9607,93009288634,0.5238296985626221,0.3961137533187866,21.664058685302734,69.5,0.7304607033729553,0.282877653837204,0.9872517585754395,0.0
primary,93009,0,32,sparse_drive,sparse_drive,9607,93009288634,0.3328501582145691,0.24213413894176483,21.701168060302734,69.5,0.5251462459564209,0.3661762773990631,0.9233043789863586,0.0
primary,93009,0,32,transition_mid,sparse_drive,9608,93009288635,0.41466835141181946,0.29111769795417786,21.734371185302734,70.0,0.6118121147155762,0.3222292363643646,0.8713304996490479,0.0
primary,93009,0,32,sparse_drive,sparse_drive,9608,93009288635,0.4832632839679718,0.34564635157585144,21.699214935302734,70.0,0.6976697444915771,0.3073180019855499,0.8978185653686523,0.0
