placement,complexity_fraction,mean,std,n,median,sem,ci95,source_fraction_column,semantic_fraction_name
coverage_greedy,0.00390625,0.045439117142296606,0.04875591886045183,72,0.0456037379911059,0.00574594014153443,0.011262042677407482,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.0078125,0.03613530636656266,0.034551765659335806,72,0.0488177157693626,0.004071964633280805,0.007981050681230378,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.015625,0.01704318843699316,0.017284657936159638,72,0.01969747244684235,0.0020370164728580596,0.003992552286801797,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.03125,0.006332768587348591,0.007094656821610271,72,0.0081326577935342,0.0008361133247920035,0.0016387821165923268,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.0625,0.00212153226456058,0.004092246786940341,72,0.0006249728503399,0.0004822759088890627,0.0009452607814225629,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.125,0.0005564757216381552,0.00141520843019993,72,0.00029337453744265,0.00016678391296445658,0.0003268964694103349,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.00390625,0.039946280492776376,0.04475269077417689,72,0.03593490112142655,0.00527415518712752,0.01033734416676994,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.0078125,0.028703167032345364,0.02937448507248983,72,0.0351809534720382,0.0034618162647700955,0.006785159878949387,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.015625,0.016534529147951248,0.01647410414204665,72,0.0203172791440088,0.0019414917921357628,0.003805323912586095,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.03125,0.006406580551279951,0.007035851013169501,72,0.007519231770116951,0.0008291829938050659,0.0016251986678579291,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.0625,0.0018469577350539476,0.002896869738032514,72,0.0012933074104291998,0.0003413993726628147,0.0006691427704191168,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.125,0.0009641863987793606,0.0016246389342143269,72,0.0005040694272303999,0.00019146553456043933,0.00037527244773846106,hh_fraction_actual,high-complexity fraction
feedback_hub,0.00390625,0.043108911253824475,0.04892603201940405,72,0.04134803868265325,0.00576598816957846,0.011301336812373781,hh_fraction_actual,high-complexity fraction
