variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,6,32,transition_mid,transition_mid,9601,93003288610,0.4887066185474396,0.36349475383758545,20.302732467651367,69.5,0.6850551962852478,0.2866171896457672,0.9589077830314636,0.0
primary,93003,6,32,sparse_drive,transition_mid,9601,93003288610,0.48043787479400635,0.35320016741752625,20.234371185302734,69.5,0.6846507787704468,0.2982730567455292,0.939871072769165,0.0
primary,93003,6,32,transition_mid,transition_mid,9602,93003288611,0.6550885438919067,0.4895494878292084,20.283199310302734,69.5,0.8343202471733093,0.21482360363006592,0.9668183326721191,0.0
primary,93003,6,32,sparse_drive,transition_mid,9602,93003288611,0.46134093403816223,0.3402407467365265,20.230464935302734,69.5,0.664280891418457,0.3055032193660736,0.9449843764305115,0.0
primary,93003,6,32,transition_mid,transition_mid,9603,93003288612,0.7371705770492554,0.5407232046127319,20.326168060302734,69.5,0.8796776533126831,0.1619991958141327,0.9362871646881104,0.0
primary,93003,6,32,sparse_drive,transition_mid,9603,93003288612,0.6219768524169922,0.44789978861808777,20.277339935302734,69.5,0.7956403493881226,0.21826881170272827,0.907900333404541,0.0
primary,93003,6,32,transition_mid,transition_mid,9604,93003288613,0.5222644209861755,0.38852590322494507,20.287105560302734,69.5,0.7068011164665222,0.26108720898628235,0.9592130184173584,0.0
primary,93003,6,32,sparse_drive,transition_mid,9604,93003288613,0.7623416185379028,0.5558359622955322,20.259761810302734,69.5,0.8929178714752197,0.14623549580574036,0.926838755607605,0.0
primary,93003,6,32,transition_mid,transition_mid,9605,93003288614,0.7283522486686707,0.5382590293884277,20.296871185302734,69.5,0.8783614635467529,0.17078299820423126,0.9482930898666382,0.0
primary,93003,6,32,sparse_drive,transition_mid,9605,93003288614,0.4478917419910431,0.32705923914909363,20.238277435302734,69.5,0.6524109840393066,0.31348222494125366,0.9291972517967224,0.0
primary,93003,6,32,transition_mid,transition_mid,9606,93003288615,0.6832696199417114,0.5000515580177307,20.294918060302734,69.5,0.8413863778114319,0.1879240870475769,0.9327017664909363,0.0
primary,93003,6,32,sparse_drive,transition_mid,9606,93003288615,0.46821582317352295,0.3442598581314087,20.214839935302734,69.5,0.6854550242424011,0.3169270157814026,0.9400798082351685,0.0
primary,93003,6,32,transition_mid,transition_mid,9607,93003288616,0.6848519444465637,0.4967016875743866,20.320308685302734,69.5,0.8452743887901306,0.1897873729467392,0.9186722636222839,0.0
primary,93003,6,32,sparse_drive,transition_mid,9607,93003288616,0.6656255722045898,0.47386878728866577,20.292964935302734,69.5,0.8358904719352722,0.20369286835193634,0.8910561203956604,0.0
primary,93003,6,32,transition_mid,transition_mid,9608,93003288617,0.48342886567115784,0.3631284236907959,20.296871185302734,69.5,0.6845405101776123,0.29379066824913025,0.9755927920341492,0.0
primary,93003,6,32,sparse_drive,transition_mid,9608,93003288617,0.7057608962059021,0.49027174711227417,20.246089935302734,69.5,0.8581877946853638,0.17761485278606415,0.8569272756576538,0.0
primary,93003,6,32,transition_mid,sparse_drive,9601,93003288610,0.41177666187286377,0.290027916431427,21.738277435302734,70.0,0.6345046162605286,0.3510265052318573,0.8758477568626404,0.0
primary,93003,6,32,sparse_drive,sparse_drive,9601,93003288610,0.27055466175079346,0.18837887048721313,21.689449310302734,70.0,0.43546345829963684,0.3786972165107727,0.8600223660469055,0.0
primary,93003,6,32,transition_mid,sparse_drive,9602,93003288611,0.1920340359210968,0.14018629491329193,21.755855560302734,69.5,0.3441164493560791,0.4419504404067993,0.9287435412406921,0.0
