variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,0,32,transition_mid,transition_mid,9601,93001288604,0.49453505873680115,0.36783072352409363,20.443355560302734,69.5,0.6943084001541138,0.287729948759079,0.9589115977287292,0.0
primary,93001,0,32,sparse_drive,transition_mid,9601,93001288604,0.37323281168937683,0.2732737064361572,20.314449310302734,69.5,0.567631185054779,0.34247303009033203,0.9334111213684082,0.0
primary,93001,0,32,transition_mid,transition_mid,9602,93001288605,0.6993409991264343,0.5202227830886841,20.421871185302734,69.5,0.850264847278595,0.17750214040279388,0.9591013789176941,0.0
primary,93001,0,32,sparse_drive,transition_mid,9602,93001288605,0.6096562743186951,0.4411986768245697,20.302730560302734,69.5,0.7888005375862122,0.22710973024368286,0.9153376817703247,0.0
primary,93001,0,32,transition_mid,transition_mid,9603,93001288606,0.4686843752861023,0.34800368547439575,20.416011810302734,69.5,0.6640075445175171,0.29415804147720337,0.9560545682907104,0.0
primary,93001,0,32,sparse_drive,transition_mid,9603,93001288606,0.440457284450531,0.33109423518180847,20.320308685302734,69.5,0.6353457570075989,0.30674394965171814,0.9768652319908142,0.0
primary,93001,0,32,transition_mid,transition_mid,9604,93001288607,0.5656740665435791,0.41300472617149353,20.398433685302734,69.5,0.7550742626190186,0.2508365213871002,0.9289646148681641,0.0
primary,93001,0,32,sparse_drive,transition_mid,9604,93001288607,0.5725963115692139,0.41462165117263794,20.300777435302734,69.5,0.7696503400802612,0.2560306191444397,0.9162281155586243,0.0
primary,93001,0,32,transition_mid,transition_mid,9605,93001288608,0.7330659627914429,0.5410043001174927,20.408199310302734,69.5,0.8765965104103088,0.16373614966869354,0.9460777640342712,0.0
primary,93001,0,32,sparse_drive,transition_mid,9605,93001288608,0.49982815980911255,0.37085965275764465,20.291011810302734,69.5,0.7106137871742249,0.29662472009658813,0.9548575282096863,0.0
primary,93001,0,32,transition_mid,transition_mid,9606,93001288609,0.38200148940086365,0.29026612639427185,20.419918060302734,69.5,0.5693897604942322,0.3291037380695343,0.9958744049072266,0.0
primary,93001,0,32,sparse_drive,transition_mid,9606,93001288609,0.2978724241256714,0.22023113071918488,20.242183685302734,69.5,0.4710437059402466,0.3676331639289856,0.9490378499031067,0.0
primary,93001,0,32,transition_mid,transition_mid,9607,93001288610,0.6329715251922607,0.4724210500717163,20.421871185302734,69.5,0.804355263710022,0.21306970715522766,0.9646737575531006,0.0
primary,93001,0,32,sparse_drive,transition_mid,9607,93001288610,0.6357189416885376,0.4394974708557129,20.320308685302734,69.5,0.8121739029884338,0.21726247668266296,0.8505165576934814,0.0
primary,93001,0,32,transition_mid,transition_mid,9608,93001288611,0.7305660247802734,0.533316433429718,20.419918060302734,69.5,0.8789399862289429,0.16881011426448822,0.9287368059158325,0.0
