variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,15,32,transition_mid,transition_mid,9601,93003288610,0.6598666310310364,0.49173349142074585,20.320308685302734,69.5,0.8321433067321777,0.2070276439189911,0.9620757102966309,0.0
primary,93003,15,32,sparse_drive,transition_mid,9601,93003288610,0.6535580158233643,0.4774985909461975,20.281246185302734,69.5,0.8208101391792297,0.2037646472454071,0.9300428628921509,0.0
primary,93003,15,32,transition_mid,transition_mid,9602,93003288611,0.32203882932662964,0.2325860559940338,20.373043060302734,69.5,0.5294024348258972,0.39169371128082275,0.9122906923294067,0.0
primary,93003,15,32,sparse_drive,transition_mid,9602,93003288611,0.5126366019248962,0.378531277179718,20.283199310302734,69.5,0.6878936886787415,0.25477349758148193,0.9469535946846008,0.0
primary,93003,15,32,transition_mid,transition_mid,9603,93003288612,0.45975160598754883,0.346261203289032,20.347652435302734,69.5,0.6551584601402283,0.2982589304447174,0.980190634727478,0.0
primary,93003,15,32,sparse_drive,transition_mid,9603,93003288612,0.3562164604663849,0.26538601517677307,20.269527435302734,69.5,0.5388582944869995,0.3389422297477722,0.9616532325744629,0.0
primary,93003,15,32,transition_mid,transition_mid,9604,93003288613,0.2147175818681717,0.15516074001789093,20.365230560302734,69.5,0.35858333110809326,0.4012058973312378,0.9131215214729309,0.0
primary,93003,15,32,sparse_drive,transition_mid,9604,93003288613,0.4748271405696869,0.3530501425266266,20.271480560302734,69.5,0.6827242374420166,0.30451107025146484,0.9583366513252258,0.0
primary,93003,15,32,transition_mid,transition_mid,9605,93003288614,0.3324536383152008,0.23566016554832458,20.359371185302734,69.5,0.5097892880439758,0.347860723733902,0.8848710060119629,0.0
primary,93003,15,32,sparse_drive,transition_mid,9605,93003288614,0.4622093439102173,0.35156702995300293,20.259761810302734,69.5,0.6734370589256287,0.3136562407016754,0.9976913928985596,0.0
primary,93003,15,32,transition_mid,transition_mid,9606,93003288615,0.3387824594974518,0.24606159329414368,20.341793060302734,69.5,0.5433648228645325,0.3765101730823517,0.9208759069442749,0.0
primary,93003,15,32,sparse_drive,transition_mid,9606,93003288615,0.44085773825645447,0.32888084650039673,20.216793060302734,69.5,0.6589374542236328,0.3309566378593445,0.9638792276382446,0.0
primary,93003,15,32,transition_mid,transition_mid,9607,93003288616,0.2344091683626175,0.16626708209514618,20.408201217651367,69.5,0.37595945596694946,0.376504123210907,0.8857792019844055,0.0
primary,93003,15,32,sparse_drive,transition_mid,9607,93003288616,0.6300339102745056,0.4669082760810852,20.285152435302734,69.5,0.7940402626991272,0.20654666423797607,0.9528804421424866,0.0
primary,93003,15,32,transition_mid,transition_mid,9608,93003288617,0.6560544371604919,0.486245721578598,20.347652435302734,69.5,0.821057915687561,0.20096442103385925,0.9530631899833679,0.0
primary,93003,15,32,sparse_drive,transition_mid,9608,93003288617,0.29257115721702576,0.219176784157753,20.228511810302734,69.5,0.47634732723236084,0.38580286502838135,0.970992386341095,0.0
primary,93003,15,32,transition_mid,sparse_drive,9601,93003288610,0.43697047233581543,0.3061619699001312,21.802730560302734,70.0,0.6411027312278748,0.3184080123901367,0.8685699701309204,0.0
primary,93003,15,32,sparse_drive,sparse_drive,9601,93003288610,0.3824566900730133,0.2659320533275604,21.701168060302734,70.0,0.6043185591697693,0.36712735891342163,0.8581938147544861,0.0
primary,93003,15,32,transition_mid,sparse_drive,9602,93003288611,0.6012154221534729,0.43109583854675293,21.804683685302734,70.0,0.790295422077179,0.23925232887268066,0.9015269875526428,0.0
primary,93003,15,32,sparse_drive,sparse_drive,9602,93003288611,0.19492369890213013,0.1366036832332611,21.695308685302734,70.0,0.35507315397262573,0.4510323107242584,0.8688824772834778,0.0
primary,93003,15,32,transition_mid,sparse_drive,9603,93003288612,0.19394640624523163,0.14186419546604156,21.777339935302734,69.5,0.34113872051239014,0.4314735233783722,0.931861937046051,0.0
primary,93003,15,32,sparse_drive,sparse_drive,9603,93003288612,0.4262758493423462,0.2948000729084015,21.660152435302734,70.0,0.6557704210281372,0.3499617576599121,0.8509608507156372,0.0
primary,93003,15,32,transition_mid,sparse_drive,9604,93003288613,0.16133688390254974,0.11311465501785278,21.839839935302734,69.5,0.2983338534832001,0.4592069387435913,0.8694772124290466,0.0
primary,93003,15,32,sparse_drive,sparse_drive,9604,93003288613,0.33108097314834595,0.2301381230354309,21.701168060302734,70.0,0.5198983550071716,0.36318132281303406,0.8577784299850464,0.0
primary,93003,15,32,transition_mid,sparse_drive,9605,93003288614,0.4247990548610687,0.3012237548828125,21.812496185302734,70.0,0.6263685822486877,0.32180655002593994,0.8853653073310852,0.0
primary,93003,15,32,sparse_drive,sparse_drive,9605,93003288614,0.253943532705307,0.17671789228916168,21.683589935302734,70.0,0.4381423592567444,0.42040857672691345,0.8592953085899353,0.0
primary,93003,15,32,transition_mid,sparse_drive,9606,93003288615,0.3468586802482605,0.25138217210769653,21.800777435302734,70.0,0.538016140460968,0.3553006052970886,0.9175565838813782,0.0
primary,93003,15,32,sparse_drive,sparse_drive,9606,93003288615,0.17765575647354126,0.12654367089271545,21.689449310302734,70.0,0.3160659670829773,0.437915563583374,0.8918313384056091,0.0
primary,93003,15,32,transition_mid,sparse_drive,9607,93003288616,0.5982577800750732,0.42487138509750366,21.789058685302734,70.0,0.7952213883399963,0.24768397212028503,0.8875492215156555,0.0
primary,93003,15,32,sparse_drive,sparse_drive,9607,93003288616,0.1893290877342224,0.13684459030628204,21.578121185302734,70.0,0.34619104862213135,0.4531081020832062,0.9134562015533447,0.0
primary,93003,15,32,transition_mid,sparse_drive,9608,93003288617,0.1529628336429596,0.10863055288791656,21.847652435302734,70.0,0.26967841386795044,0.43279537558555603,0.8875390291213989,0.0
primary,93003,15,32,sparse_drive,sparse_drive,9608,93003288617,0.45879894495010376,0.32142069935798645,21.677730560302734,70.0,0.6840540766716003,0.3292943239212036,0.8684186935424805,0.0
