variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,4,32,transition_mid,transition_mid,9601,93003288610,0.5179964900016785,0.3877987563610077,20.287105560302734,69.5,0.6992779970169067,0.2592410147190094,0.9698794484138489,0.0
primary,93003,4,32,sparse_drive,transition_mid,9601,93003288610,0.6793048977851868,0.4997732937335968,20.287105560302734,69.5,0.8448375463485718,0.1959342658519745,0.9410684108734131,0.0
primary,93003,4,32,transition_mid,transition_mid,9602,93003288611,0.6617618203163147,0.4963662624359131,20.330074310302734,69.5,0.8297318816184998,0.20243895053863525,0.9731101393699646,0.0
primary,93003,4,32,sparse_drive,transition_mid,9602,93003288611,0.5008678436279297,0.3759237229824066,20.285152435302734,69.5,0.711186408996582,0.2957291901111603,0.9742013216018677,0.0
primary,93003,4,32,transition_mid,transition_mid,9603,93003288612,0.6056330800056458,0.45671242475509644,20.320308685302734,69.5,0.7931153178215027,0.23638713359832764,0.9824104309082031,0.0
primary,93003,4,32,sparse_drive,transition_mid,9603,93003288612,0.3296477794647217,0.2238314002752304,20.296873092651367,69.5,0.5118604302406311,0.35598114132881165,0.8272594213485718,0.0
primary,93003,4,32,transition_mid,transition_mid,9604,93003288613,0.6026626229286194,0.4564238488674164,20.310543060302734,69.5,0.7798670530319214,0.22722385823726654,0.9899607300758362,0.0
primary,93003,4,32,sparse_drive,transition_mid,9604,93003288613,0.5667123794555664,0.4043720066547394,20.294918060302734,69.5,0.7569203972816467,0.25129199028015137,0.8943590521812439,0.0
primary,93003,4,32,transition_mid,transition_mid,9605,93003288614,0.254472017288208,0.1855655163526535,20.312496185302734,69.5,0.432082861661911,0.41105738282203674,0.9270548820495605,0.0
primary,93003,4,32,sparse_drive,transition_mid,9605,93003288614,0.5361595749855042,0.380230575799942,20.306636810302734,69.5,0.7167174816131592,0.2519233822822571,0.8855207562446594,0.0
primary,93003,4,32,transition_mid,transition_mid,9606,93003288615,0.7591666579246521,0.5817176699638367,20.292964935302734,69.5,0.8937164545059204,0.15055090188980103,1.0112006664276123,0.0
primary,93003,4,32,sparse_drive,transition_mid,9606,93003288615,0.5351113677024841,0.3976149260997772,20.304683685302734,69.5,0.7358769774436951,0.2728250324726105,0.9572569727897644,0.0
primary,93003,4,32,transition_mid,transition_mid,9607,93003288616,0.6572225093841553,0.48573359847068787,20.318355560302734,69.5,0.8147181272506714,0.19331298768520355,0.9484273195266724,0.0
primary,93003,4,32,sparse_drive,transition_mid,9607,93003288616,0.49797070026397705,0.37201711535453796,20.300779342651367,69.5,0.7067169547080994,0.29537463188171387,0.9662827253341675,0.0
primary,93003,4,32,transition_mid,transition_mid,9608,93003288617,0.5609501004219055,0.4080334007740021,20.312496185302734,69.5,0.7493692636489868,0.2514370083808899,0.923177182674408,0.0
primary,93003,4,32,sparse_drive,transition_mid,9608,93003288617,0.6539612412452698,0.47820836305618286,20.287105560302734,69.5,0.8238852620124817,0.2062472403049469,0.9314061403274536,0.0
primary,93003,4,32,transition_mid,sparse_drive,9601,93003288610,0.5176217555999756,0.37682706117630005,21.726558685302734,70.0,0.713657796382904,0.27469193935394287,0.924452543258667,0.0
primary,93003,4,32,sparse_drive,sparse_drive,9601,93003288610,0.3003122806549072,0.21375936269760132,21.621089935302734,70.0,0.49031105637550354,0.3875066041946411,0.8908032774925232,0.0
primary,93003,4,32,transition_mid,sparse_drive,9602,93003288611,0.40775787830352783,0.29422956705093384,21.734371185302734,70.0,0.6035812497138977,0.32443585991859436,0.9109314680099487,0.0
primary,93003,4,32,sparse_drive,sparse_drive,9602,93003288611,0.22684556245803833,0.16272100806236267,21.685543060302734,69.5,0.37247323989868164,0.39097484946250916,0.9021037220954895,0.0
primary,93003,4,32,transition_mid,sparse_drive,9603,93003288612,0.31291335821151733,0.22819264233112335,21.742183685302734,70.0,0.4856627285480499,0.35569822788238525,0.9271275401115417,0.0
primary,93003,4,32,sparse_drive,sparse_drive,9603,93003288612,0.23080243170261383,0.16102176904678345,21.712886810302734,69.5,0.4210584759712219,0.45185184478759766,0.8627282381057739,0.0
