variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,14,32,transition_mid,transition_mid,9601,93002288607,0.6568055152893066,0.4950374960899353,20.228511810302734,69.5,0.8281944394111633,0.2069428712129593,0.981477677822113,0.0
primary,93002,14,32,sparse_drive,transition_mid,9601,93002288607,0.5853299498558044,0.4178391993045807,20.218746185302734,69.5,0.7626380324363708,0.2324930876493454,0.8949955701828003,0.0
primary,93002,14,32,transition_mid,transition_mid,9602,93002288608,0.46683385968208313,0.35532286763191223,20.175777435302734,69.5,0.6901015043258667,0.3235287070274353,0.9989039301872253,0.0
primary,93002,14,32,sparse_drive,transition_mid,9602,93002288608,0.38111957907676697,0.2766605019569397,20.191402435302734,69.5,0.5868887305259705,0.3506101071834564,0.9200376868247986,0.0
primary,93002,14,32,transition_mid,transition_mid,9603,93002288609,0.5651239156723022,0.44213974475860596,20.195308685302734,69.0,0.7532395720481873,0.24974218010902405,1.0514686107635498,0.0
primary,93002,14,32,sparse_drive,transition_mid,9603,93002288609,0.3031531870365143,0.21898962557315826,20.222652435302734,69.5,0.4739285409450531,0.360339879989624,0.9125895500183105,0.0
primary,93002,14,32,transition_mid,transition_mid,9604,93002288610,0.45970550179481506,0.3576834797859192,20.167964935302734,69.0,0.6580290794372559,0.30139029026031494,1.0404632091522217,0.0
primary,93002,14,32,sparse_drive,transition_mid,9604,93002288610,0.7069584131240845,0.5110528469085693,20.201168060302734,69.5,0.8607227206230164,0.1786455661058426,0.9136709570884705,0.0
primary,93002,14,32,transition_mid,transition_mid,9605,93002288611,0.38863325119018555,0.3041081130504608,20.175777435302734,69.0,0.581351101398468,0.33149996399879456,1.0518038272857666,0.0
primary,93002,14,32,sparse_drive,transition_mid,9605,93002288611,0.527887225151062,0.3780064880847931,20.226558685302734,69.5,0.7103779911994934,0.25689250230789185,0.8995410799980164,0.0
primary,93002,14,32,transition_mid,transition_mid,9606,93002288612,0.6291365623474121,0.4899310767650604,20.177730560302734,69.0,0.810825526714325,0.2240789830684662,1.0421499013900757,0.0
primary,93002,14,32,sparse_drive,transition_mid,9606,93002288612,0.5003514885902405,0.35119035840034485,20.214839935302734,69.5,0.6941613554954529,0.27920001745224,0.8710107207298279,0.0
