variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,6,32,transition_mid,transition_mid,9601,93002288607,0.2694266140460968,0.21049539744853973,20.181636810302734,69.5,0.4495947062969208,0.40073448419570923,1.04862642288208,0.0
primary,93002,6,32,sparse_drive,transition_mid,9601,93002288607,0.4582824409008026,0.3485031723976135,20.208980560302734,69.0,0.6726988554000854,0.3187405467033386,0.9972931742668152,0.0
primary,93002,6,32,transition_mid,transition_mid,9602,93002288608,0.238594189286232,0.1830938160419464,20.240230560302734,69.0,0.3831543028354645,0.3772895336151123,1.0139379501342773,0.0
primary,93002,6,32,sparse_drive,transition_mid,9602,93002288608,0.33217138051986694,0.2526140511035919,20.207027435302734,69.0,0.5135510563850403,0.35318723320961,0.9973834753036499,0.0
primary,93002,6,32,transition_mid,transition_mid,9603,93002288609,0.5393419861793518,0.42006251215934753,20.210933685302734,69.0,0.7346764206886292,0.26587820053100586,1.042421579360962,0.0
primary,93002,6,32,sparse_drive,transition_mid,9603,93002288609,0.391421914100647,0.29723015427589417,20.226558685302734,69.0,0.5971755385398865,0.3445446491241455,0.9947016835212708,0.0
primary,93002,6,32,transition_mid,transition_mid,9604,93002288610,0.33826494216918945,0.26123419404029846,20.246089935302734,69.0,0.5356089472770691,0.3684479296207428,1.0259449481964111,0.0
primary,93002,6,32,sparse_drive,transition_mid,9604,93002288610,0.2362223118543625,0.17328371107578278,20.197261810302734,69.5,0.38998082280158997,0.39427193999290466,0.9363960027694702,0.0
primary,93002,6,32,transition_mid,transition_mid,9605,93002288611,0.22870437800884247,0.17919176816940308,20.197261810302734,69.0,0.381341814994812,0.40026408433914185,1.0543925762176514,0.0
primary,93002,6,32,sparse_drive,transition_mid,9605,93002288611,0.27956074476242065,0.20422761142253876,20.222652435302734,69.0,0.4597877562046051,0.3919786810874939,0.9298637509346008,0.0
primary,93002,6,32,transition_mid,transition_mid,9606,93002288612,0.42713427543640137,0.3265645205974579,20.294918060302734,69.5,0.6482715010643005,0.341118186712265,1.0070706605911255,0.0
primary,93002,6,32,sparse_drive,transition_mid,9606,93002288612,0.3688434660434723,0.2662772536277771,20.261714935302734,69.5,0.5623183250427246,0.34406644105911255,0.9116532802581787,0.0
primary,93002,6,32,transition_mid,transition_mid,9607,93002288613,0.26350030303001404,0.20358054339885712,20.228511810302734,69.0,0.4340117573738098,0.3928728699684143,1.0267480611801147,0.0
primary,93002,6,32,sparse_drive,transition_mid,9607,93002288613,0.40681231021881104,0.2998163104057312,20.210935592651367,69.0,0.6051402688026428,0.32773882150650024,0.9438568949699402,0.0
primary,93002,6,32,transition_mid,transition_mid,9608,93002288614,0.342347115278244,0.26347580552101135,20.228511810302734,69.0,0.5323116779327393,0.3568671941757202,1.0193853378295898,0.0
