variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
alternative,93007,0,32,transition_mid,transition_mid,9601,93007288622,0.5987142324447632,0.41930219531059265,20.306636810302734,69.5,0.7882253527641296,0.24042756855487823,0.8679630160331726,0.0
alternative,93007,0,32,sparse_drive,transition_mid,9601,93007288622,0.339518666267395,0.2524496614933014,20.152339935302734,69.0,0.5183303952217102,0.34497636556625366,0.9583759903907776,0.0
alternative,93007,0,32,transition_mid,transition_mid,9602,93007288623,0.31834861636161804,0.22896063327789307,20.269529342651367,69.5,0.5140193700790405,0.3806680738925934,0.9060139060020447,0.0
alternative,93007,0,32,sparse_drive,transition_mid,9602,93007288623,0.5877528786659241,0.4182262420654297,20.236324310302734,69.5,0.7636849284172058,0.23037254810333252,0.890353262424469,0.0
alternative,93007,0,32,transition_mid,transition_mid,9603,93007288624,0.7033586502075195,0.5147525072097778,20.314449310302734,69.5,0.8584557771682739,0.18066993355751038,0.9326978325843811,0.0
alternative,93007,0,32,sparse_drive,transition_mid,9603,93007288624,0.45111730694770813,0.3203456401824951,20.269527435302734,69.5,0.662226140499115,0.31878662109375,0.8874177932739258,0.0
alternative,93007,0,32,transition_mid,transition_mid,9604,93007288625,0.4630388021469116,0.32588890194892883,20.306636810302734,69.5,0.6645762920379639,0.30325713753700256,0.8748000860214233,0.0
alternative,93007,0,32,sparse_drive,transition_mid,9604,93007288625,0.6584700345993042,0.47661587595939636,20.228513717651367,69.5,0.835507333278656,0.2118920385837555,0.9156292080879211,0.0
alternative,93007,0,32,transition_mid,transition_mid,9605,93007288626,0.6263835430145264,0.45784991979599,20.267574310302734,69.5,0.7987200021743774,0.2157657891511917,0.9307466745376587,0.0
alternative,93007,0,32,sparse_drive,transition_mid,9605,93007288626,0.5153168439865112,0.3735505938529968,20.234371185302734,69.5,0.7041577696800232,0.26817983388900757,0.9178842902183533,0.0
alternative,93007,0,32,transition_mid,transition_mid,9606,93007288627,0.7006138563156128,0.5071329474449158,20.292964935302734,69.5,0.8596743941307068,0.18502412736415863,0.9156665205955505,0.0
alternative,93007,0,32,sparse_drive,transition_mid,9606,93007288627,0.5322105288505554,0.3873668611049652,20.257808685302734,69.5,0.7323793768882751,0.27331307530403137,0.9241296648979187,0.0
alternative,93007,0,32,transition_mid,transition_mid,9607,93007288628,0.6673756241798401,0.4829810559749603,20.265621185302734,69.5,0.8283132910728455,0.19429562985897064,0.915374755859375,0.0
alternative,93007,0,32,sparse_drive,transition_mid,9607,93007288628,0.6742891669273376,0.48062843084335327,20.267574310302734,69.5,0.839057207107544,0.19637280702590942,0.8928382396697998,0.0
alternative,93007,0,32,transition_mid,transition_mid,9608,93007288629,0.5307886600494385,0.37710508704185486,20.300777435302734,69.5,0.729474663734436,0.2723686099052429,0.8881159424781799,0.0
alternative,93007,0,32,sparse_drive,transition_mid,9608,93007288629,0.2571897506713867,0.19405528903007507,20.167964935302734,69.0,0.4148145020008087,0.37998855113983154,0.9833717942237854,0.0
alternative,93007,0,32,transition_mid,sparse_drive,9601,93007288622,0.43240654468536377,0.301690936088562,21.689449310302734,69.5,0.6570576429367065,0.3419046998023987,0.8628088235855103,0.0
alternative,93007,0,32,sparse_drive,sparse_drive,9601,93007288622,0.5569051504135132,0.40494295954704285,21.578121185302734,69.5,0.7413536310195923,0.2487996369600296,0.9226124286651611,0.0
alternative,93007,0,32,transition_mid,sparse_drive,9602,93007288623,0.4158273935317993,0.293243944644928,21.697261810302734,69.5,0.6342352032661438,0.3443640172481537,0.8775820136070251,0.0
alternative,93007,0,32,sparse_drive,sparse_drive,9602,93007288623,0.45349597930908203,0.32213011384010315,21.556636810302734,69.5,0.6793234944343567,0.33243000507354736,0.8878422379493713,0.0
alternative,93007,0,32,transition_mid,sparse_drive,9603,93007288624,0.5732003450393677,0.39221861958503723,21.718746185302734,70.0,0.767952561378479,0.25359925627708435,0.8370829820632935,0.0
alternative,93007,0,32,sparse_drive,sparse_drive,9603,93007288624,0.21654324233531952,0.15331050753593445,21.541011810302734,69.5,0.37314799427986145,0.41968539357185364,0.8831428289413452,0.0
alternative,93007,0,32,transition_mid,sparse_drive,9604,93007288625,0.42469000816345215,0.29407379031181335,21.691402435302734,70.0,0.6393336057662964,0.3357301652431488,0.852634608745575,0.0
alternative,93007,0,32,sparse_drive,sparse_drive,9604,93007288625,0.7051212787628174,0.509294331073761,21.556636810302734,69.5,0.8578011393547058,0.17798984050750732,0.9123934507369995,0.0
alternative,93007,0,32,transition_mid,sparse_drive,9605,93007288626,0.42596226930618286,0.3052041828632355,21.650386810302734,69.5,0.6404139995574951,0.33486419916152954,0.900425910949707,0.0
alternative,93007,0,32,sparse_drive,sparse_drive,9605,93007288626,0.2306988537311554,0.16521254181861877,21.523433685302734,70.0,0.380473792552948,0.3936537206172943,0.8996745944023132,0.0
alternative,93007,0,32,transition_mid,sparse_drive,9606,93007288627,0.41620582342147827,0.2897692024707794,21.669918060302734,70.0,0.636114239692688,0.34570589661598206,0.8599194288253784,0.0
alternative,93007,0,32,sparse_drive,sparse_drive,9606,93007288627,0.2051810622215271,0.14092344045639038,21.624996185302734,70.0,0.33843305706977844,0.3937321603298187,0.8419201374053955,0.0
alternative,93007,0,32,transition_mid,sparse_drive,9607,93007288628,0.5217143297195435,0.3755314350128174,21.617183685302734,69.5,0.717465877532959,0.27283746004104614,0.9072356224060059,0.0
alternative,93007,0,32,sparse_drive,sparse_drive,9607,93007288628,0.6396955251693726,0.4728001058101654,21.560543060302734,69.5,0.8120449185371399,0.21224120259284973,0.94849693775177,0.0
alternative,93007,0,32,transition_mid,sparse_drive,9608,93007288629,0.4269179403781891,0.287991464138031,21.714839935302734,70.0,0.6262004375457764,0.3182407319545746,0.8191055059432983,0.0
alternative,93007,0,32,sparse_drive,sparse_drive,9608,93007288629,0.7455618381500244,0.5355417728424072,21.537105560302734,69.5,0.8868264555931091,0.15929226577281952,0.9041370749473572,0.0
