variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,16,32,transition_mid,transition_mid,9601,93001288604,0.5758548974990845,0.4168398380279541,20.318355560302734,69.5,0.7583160996437073,0.240613654255867,0.9157121181488037,0.0
primary,93001,16,32,sparse_drive,transition_mid,9601,93001288604,0.6008319854736328,0.4228809177875519,20.447261810302734,69.5,0.7846609354019165,0.23427821695804596,0.8748413920402527,0.0
primary,93001,16,32,transition_mid,transition_mid,9602,93001288605,0.6939581632614136,0.5182610154151917,20.287105560302734,69.5,0.84967440366745,0.1832658350467682,0.9657229781150818,0.0
primary,93001,16,32,sparse_drive,transition_mid,9602,93001288605,0.3777925968170166,0.2609752416610718,20.435543060302734,69.5,0.5633283257484436,0.32935631275177,0.8494646549224854,0.0
primary,93001,16,32,transition_mid,transition_mid,9603,93001288606,0.6261442303657532,0.45267507433891296,20.322261810302734,69.5,0.7954763174057007,0.2128688246011734,0.9138113260269165,0.0
primary,93001,16,32,sparse_drive,transition_mid,9603,93001288606,0.5237023830413818,0.3597964644432068,20.425777435302734,69.5,0.7322902679443359,0.28484317660331726,0.842298686504364,0.0
primary,93001,16,32,transition_mid,transition_mid,9604,93001288607,0.7245708703994751,0.5204059481620789,20.318355560302734,69.5,0.8728692531585693,0.16989755630493164,0.9039720296859741,0.0
primary,93001,16,32,sparse_drive,transition_mid,9604,93001288607,0.4437321126461029,0.3260686695575714,20.433589935302734,69.5,0.6475148797035217,0.3147152066230774,0.9391517043113708,0.0
primary,93001,16,32,transition_mid,transition_mid,9605,93001288608,0.735015869140625,0.5404155850410461,20.306636810302734,69.5,0.8749467134475708,0.15993072092533112,0.9400460720062256,0.0
primary,93001,16,32,sparse_drive,transition_mid,9605,93001288608,0.24987554550170898,0.18330733478069305,20.394527435302734,69.0,0.4035688638687134,0.3808353841304779,0.93646639585495,0.0
primary,93001,16,32,transition_mid,transition_mid,9606,93001288609,0.49146509170532227,0.34525206685066223,20.322261810302734,69.5,0.6856266856193542,0.28318852186203003,0.8722106218338013,0.0
primary,93001,16,32,sparse_drive,transition_mid,9606,93001288609,0.3774743676185608,0.2642522156238556,20.423824310302734,69.5,0.5689420104026794,0.3365327715873718,0.8674051761627197,0.0
primary,93001,16,32,transition_mid,transition_mid,9607,93001288610,0.31106269359588623,0.22111031413078308,20.271480560302734,69.5,0.4995456337928772,0.3773086965084076,0.8888440132141113,0.0
primary,93001,16,32,sparse_drive,transition_mid,9607,93001288610,0.39249855279922485,0.26795288920402527,20.423826217651367,69.5,0.5978837609291077,0.34352025389671326,0.8341255784034729,0.0
