variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,7,32,transition_mid,transition_mid,9601,93002288607,0.38121989369392395,0.2876681089401245,20.310543060302734,69.5,0.5665703415870667,0.3271446228027344,0.9835506677627563,0.0
primary,93002,7,32,sparse_drive,transition_mid,9601,93002288607,0.29143446683883667,0.2172551453113556,20.148433685302734,69.0,0.4587889313697815,0.3647744059562683,0.9626764059066772,0.0
primary,93002,7,32,transition_mid,transition_mid,9602,93002288608,0.28927481174468994,0.2158096581697464,20.275386810302734,69.0,0.45016321539878845,0.35740020871162415,0.9639573097229004,0.0
primary,93002,7,32,sparse_drive,transition_mid,9602,93002288608,0.7278977632522583,0.5234584212303162,20.246089935302734,69.5,0.8788815140724182,0.17179076373577118,0.9058560132980347,0.0
primary,93002,7,32,transition_mid,transition_mid,9603,93002288609,0.34642016887664795,0.2658241391181946,20.273433685302734,69.0,0.5270196795463562,0.34268075227737427,1.0138410329818726,0.0
primary,93002,7,32,sparse_drive,transition_mid,9603,93002288609,0.2901747226715088,0.217298224568367,20.140621185302734,69.5,0.46884438395500183,0.38108521699905396,0.9703385233879089,0.0
primary,93002,7,32,transition_mid,transition_mid,9604,93002288610,0.2745044529438019,0.2078956514596939,20.251949310302734,69.5,0.4316091239452362,0.36399754881858826,0.9899684190750122,0.0
primary,93002,7,32,sparse_drive,transition_mid,9604,93002288610,0.35463327169418335,0.2586700916290283,20.226560592651367,69.5,0.5374859571456909,0.34019994735717773,0.9274476170539856,0.0
primary,93002,7,32,transition_mid,transition_mid,9605,93002288611,0.29482796788215637,0.2193245142698288,20.316402435302734,69.5,0.45590394735336304,0.3533112406730652,0.9591708183288574,0.0
primary,93002,7,32,sparse_drive,transition_mid,9605,93002288611,0.3040783703327179,0.22718089818954468,20.150386810302734,69.5,0.49214163422584534,0.3821324408054352,0.9663887023925781,0.0
primary,93002,7,32,transition_mid,transition_mid,9606,93002288612,0.6209789514541626,0.46202805638313293,20.322261810302734,69.5,0.7872326374053955,0.211187481880188,0.9594507217407227,0.0
