variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,17,32,transition_mid,transition_mid,9601,93003288610,0.41804128885269165,0.29740849137306213,20.326168060302734,69.5,0.624377429485321,0.33046701550483704,0.8900801539421082,0.0
primary,93003,17,32,sparse_drive,transition_mid,9601,93003288610,0.2696802318096161,0.2088627964258194,20.289058685302734,69.0,0.43385642766952515,0.37841135263442993,1.0314347743988037,0.0
primary,93003,17,32,transition_mid,transition_mid,9602,93003288611,0.20230941474437714,0.14415797591209412,20.359371185302734,70.0,0.34252142906188965,0.40935251116752625,0.8923690915107727,0.0
primary,93003,17,32,sparse_drive,transition_mid,9602,93003288611,0.7528173923492432,0.5544580221176147,20.367183685302734,69.5,0.8906819820404053,0.1547853648662567,0.9428101181983948,0.0
primary,93003,17,32,transition_mid,transition_mid,9603,93003288612,0.5435177683830261,0.412607878446579,20.333980560302734,69.5,0.7314437031745911,0.25692468881607056,0.994189977645874,0.0
primary,93003,17,32,sparse_drive,transition_mid,9603,93003288612,0.33891403675079346,0.2559519410133362,20.287105560302734,69.0,0.5282765030860901,0.35845333337783813,0.984976053237915,0.0
primary,93003,17,32,transition_mid,transition_mid,9604,93003288613,0.5406011939048767,0.4147421419620514,20.333980560302734,69.5,0.7481774091720581,0.2774425148963928,1.0134541988372803,0.0
primary,93003,17,32,sparse_drive,transition_mid,9604,93003288613,0.2336195856332779,0.17742595076560974,20.320310592651367,69.0,0.3768763542175293,0.3801160752773285,0.9949501752853394,0.0
primary,93003,17,32,transition_mid,transition_mid,9605,93003288614,0.7247365713119507,0.5322911143302917,20.308589935302734,69.5,0.8703728914260864,0.16732636094093323,0.9383464455604553,0.0
primary,93003,17,32,sparse_drive,transition_mid,9605,93003288614,0.5560531616210938,0.4232388734817505,20.343746185302734,69.5,0.7505289316177368,0.2591182589530945,0.998939037322998,0.0
primary,93003,17,32,transition_mid,transition_mid,9606,93003288615,0.6736130714416504,0.49001336097717285,20.345699310302734,69.5,0.8389095664024353,0.19703736901283264,0.9232694506645203,0.0
primary,93003,17,32,sparse_drive,transition_mid,9606,93003288615,0.605185329914093,0.45363467931747437,20.341793060302734,69.5,0.7983778119087219,0.24198128283023834,0.9719951748847961,0.0
primary,93003,17,32,transition_mid,transition_mid,9607,93003288616,0.6423162221908569,0.4778018593788147,20.339839935302734,69.5,0.8248898386955261,0.221330925822258,0.95909583568573,0.0
primary,93003,17,32,sparse_drive,transition_mid,9607,93003288616,0.34357479214668274,0.258207768201828,20.332027435302734,69.5,0.539423942565918,0.36307090520858765,0.9764682054519653,0.0
primary,93003,17,32,transition_mid,transition_mid,9608,93003288617,0.5347299575805664,0.4020284414291382,20.306636810302734,69.5,0.7102088332176208,0.24708066880702972,0.9771615862846375,0.0
primary,93003,17,32,sparse_drive,transition_mid,9608,93003288617,0.2753623127937317,0.20942501723766327,20.285152435302734,69.0,0.44471797347068787,0.38081589341163635,0.9975032210350037,0.0
primary,93003,17,32,transition_mid,sparse_drive,9601,93003288610,0.2146870642900467,0.1597093790769577,21.732418060302734,70.0,0.3702724277973175,0.42019158601760864,0.9591939449310303,0.0
primary,93003,17,32,sparse_drive,sparse_drive,9601,93003288610,0.28671345114707947,0.21401074528694153,21.714839935302734,69.5,0.47816962003707886,0.40039384365081787,0.9648383855819702,0.0
primary,93003,17,32,transition_mid,sparse_drive,9602,93003288611,0.5830912590026855,0.4272012710571289,21.761714935302734,70.0,0.7822490334510803,0.2545963227748871,0.9344222545623779,0.0
primary,93003,17,32,sparse_drive,sparse_drive,9602,93003288611,0.43265053629875183,0.3230856955051422,21.708980560302734,69.5,0.6217657923698425,0.3041583001613617,0.9655880331993103,0.0
primary,93003,17,32,transition_mid,sparse_drive,9603,93003288612,0.22856369614601135,0.16417206823825836,21.769527435302734,70.0,0.3701700270175934,0.38254404067993164,0.9040767550468445,0.0
