variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,13,32,transition_mid,transition_mid,9601,93003288610,0.5969441533088684,0.44567927718162537,20.292964935302734,69.5,0.7807598114013672,0.2354317158460617,0.9652314782142639,0.0
primary,93003,13,32,sparse_drive,transition_mid,9601,93003288610,0.29193058609962463,0.220693901181221,20.189449310302734,69.0,0.4583897590637207,0.36313894391059875,0.9867677688598633,0.0
primary,93003,13,32,transition_mid,transition_mid,9602,93003288611,0.6240795254707336,0.4713112711906433,20.292964935302734,69.5,0.8047752976417542,0.2245294451713562,0.9849722385406494,0.0
primary,93003,13,32,sparse_drive,transition_mid,9602,93003288611,0.617717981338501,0.43808797001838684,20.240230560302734,69.5,0.802265465259552,0.23003295063972473,0.8855802416801453,0.0
primary,93003,13,32,transition_mid,transition_mid,9603,93003288612,0.36219266057014465,0.2618924379348755,20.310543060302734,69.5,0.572902262210846,0.3677932620048523,0.9140594601631165,0.0
primary,93003,13,32,sparse_drive,transition_mid,9603,93003288612,0.5077829360961914,0.3817065954208374,20.210933685302734,69.5,0.7113118767738342,0.2861317992210388,0.9768800735473633,0.0
primary,93003,13,32,transition_mid,transition_mid,9604,93003288613,0.7223244905471802,0.5313160419464111,20.269529342651367,69.5,0.8675630688667297,0.16740983724594116,0.9407446980476379,0.0
primary,93003,13,32,sparse_drive,transition_mid,9604,93003288613,0.5995989441871643,0.4275379776954651,20.281246185302734,69.5,0.7761697769165039,0.22748994827270508,0.8933408856391907,0.0
primary,93003,13,32,transition_mid,transition_mid,9605,93003288614,0.2088414579629898,0.15020418167114258,20.279293060302734,69.5,0.3456030488014221,0.3957187235355377,0.9060394763946533,0.0
primary,93003,13,32,sparse_drive,transition_mid,9605,93003288614,0.4417324960231781,0.32228243350982666,20.230464935302734,69.5,0.6393806338310242,0.3091243803501129,0.9278444051742554,0.0
primary,93003,13,32,transition_mid,transition_mid,9606,93003288615,0.6008889675140381,0.4328915774822235,20.283199310302734,69.5,0.790808379650116,0.2401585876941681,0.9085145592689514,0.0
primary,93003,13,32,sparse_drive,transition_mid,9606,93003288615,0.6475706696510315,0.4601646661758423,20.277339935302734,69.5,0.8222852349281311,0.21247439086437225,0.888397753238678,0.0
primary,93003,13,32,transition_mid,transition_mid,9607,93003288616,0.6906880736351013,0.5053077936172485,20.277339935302734,69.5,0.8476925492286682,0.18521389365196228,0.9321625828742981,0.0
primary,93003,13,32,sparse_drive,transition_mid,9607,93003288616,0.6532069444656372,0.4749263823032379,20.255857467651367,69.5,0.8291105031967163,0.2121593952178955,0.922480583190918,0.0
primary,93003,13,32,transition_mid,transition_mid,9608,93003288617,0.5640220046043396,0.41531237959861755,20.314449310302734,69.5,0.7500471472740173,0.24801798164844513,0.9424388408660889,0.0
primary,93003,13,32,sparse_drive,transition_mid,9608,93003288617,0.3617699146270752,0.2652854323387146,20.230464935302734,69.5,0.5593879222869873,0.35327544808387756,0.935826301574707,0.0
primary,93003,13,32,transition_mid,sparse_drive,9601,93003288610,0.6302217841148376,0.44661492109298706,21.746089935302734,70.0,0.8209456205368042,0.23232212662696838,0.8844931721687317,0.0
primary,93003,13,32,sparse_drive,sparse_drive,9601,93003288610,0.6045979261398315,0.4359223544597626,21.572261810302734,69.5,0.7975963950157166,0.2419750690460205,0.9097495079040527,0.0
primary,93003,13,32,transition_mid,sparse_drive,9602,93003288611,0.1999891847372055,0.14685383439064026,21.748043060302734,70.0,0.34071776270866394,0.41303566098213196,0.9380150437355042,0.0
primary,93003,13,32,sparse_drive,sparse_drive,9602,93003288611,0.5660154223442078,0.4161844849586487,21.548824310302734,69.5,0.7737401723861694,0.26846832036972046,0.9401435852050781,0.0
primary,93003,13,32,transition_mid,sparse_drive,9603,93003288612,0.20604878664016724,0.14611610770225525,21.773433685302734,70.0,0.3534233570098877,0.41699156165122986,0.8854387998580933,0.0
primary,93003,13,32,sparse_drive,sparse_drive,9603,93003288612,0.4273652136325836,0.2970861494541168,21.628902435302734,70.0,0.6564508080482483,0.3489760160446167,0.8578678965568542,0.0
primary,93003,13,32,transition_mid,sparse_drive,9604,93003288613,0.29004889726638794,0.20718051493167877,21.794918060302734,70.0,0.49986380338668823,0.4197441637516022,0.8958989977836609,0.0
primary,93003,13,32,sparse_drive,sparse_drive,9604,93003288613,0.44247716665267944,0.33323273062705994,21.544918060302734,69.5,0.6488731503486633,0.3180837035179138,0.9800953269004822,0.0
primary,93003,13,32,transition_mid,sparse_drive,9605,93003288614,0.23116910457611084,0.16648951172828674,21.751949310302734,69.5,0.38457512855529785,0.3988973796367645,0.908074140548706,0.0
primary,93003,13,32,sparse_drive,sparse_drive,9605,93003288614,0.5667826533317566,0.40231356024742126,21.546871185302734,69.5,0.7773829102516174,0.27090930938720703,0.8868205547332764,0.0
primary,93003,13,32,transition_mid,sparse_drive,9606,93003288615,0.246459499001503,0.17505097389221191,21.763668060302734,70.0,0.4220130741596222,0.41599079966545105,0.8877136707305908,0.0
primary,93003,13,32,sparse_drive,sparse_drive,9606,93003288615,0.3837689459323883,0.26511746644973755,21.683589935302734,70.0,0.5838656425476074,0.3427101969718933,0.8495336174964905,0.0
primary,93003,13,32,transition_mid,sparse_drive,9607,93003288616,0.195775106549263,0.1408892273902893,21.767574310302734,69.5,0.3244282603263855,0.3965534567832947,0.9069153070449829,0.0
primary,93003,13,32,sparse_drive,sparse_drive,9607,93003288616,0.5168683528900146,0.3720182776451111,21.568355560302734,69.5,0.7231462597846985,0.28525060415267944,0.9071351885795593,0.0
primary,93003,13,32,transition_mid,sparse_drive,9608,93003288617,0.5004096031188965,0.3522736728191376,21.755855560302734,70.0,0.7094921469688416,0.294693261384964,0.8751289248466492,0.0
primary,93003,13,32,sparse_drive,sparse_drive,9608,93003288617,0.6964378356933594,0.5098872780799866,21.568355560302734,69.5,0.8585718274116516,0.1888415366411209,0.9333158731460571,0.0
