variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
alternative,93008,0,32,transition_mid,transition_mid,9601,93008288625,0.544254720211029,0.3831726908683777,20.339839935302734,69.5,0.7414128184318542,0.2659222185611725,0.8752503395080566,0.0
alternative,93008,0,32,sparse_drive,transition_mid,9601,93008288625,0.4434219300746918,0.3345118463039398,20.302730560302734,69.5,0.6511344313621521,0.3190009891986847,0.9830594658851624,0.0
alternative,93008,0,32,transition_mid,transition_mid,9602,93008288626,0.6095180511474609,0.44231095910072327,20.330074310302734,69.5,0.7816963791847229,0.22026237845420837,0.9195263385772705,0.0
alternative,93008,0,32,sparse_drive,transition_mid,9602,93008288626,0.42705896496772766,0.31138962507247925,20.328121185302734,69.5,0.6058256030082703,0.2950793504714966,0.9269078373908997,0.0
alternative,93008,0,32,transition_mid,transition_mid,9603,93008288627,0.2085452675819397,0.14609451591968536,20.341794967651367,70.0,0.3526270091533661,0.40859535336494446,0.8683620691299438,0.0
alternative,93008,0,32,sparse_drive,transition_mid,9603,93008288627,0.7020223140716553,0.5175052881240845,20.343748092651367,69.5,0.8593807816505432,0.18310680985450745,0.9442386031150818,0.0
alternative,93008,0,32,transition_mid,transition_mid,9604,93008288628,0.7624589204788208,0.555176317691803,20.363279342651367,69.5,0.8930582404136658,0.14623835682868958,0.9247553944587708,0.0
alternative,93008,0,32,sparse_drive,transition_mid,9604,93008288628,0.6808784008026123,0.4973979890346527,20.298826217651367,69.5,0.8496356010437012,0.19862300157546997,0.9298499822616577,0.0
alternative,93008,0,32,transition_mid,transition_mid,9605,93008288629,0.6797559857368469,0.4788505733013153,20.326168060302734,69.5,0.8451093435287476,0.19565919041633606,0.8760696053504944,0.0
alternative,93008,0,32,sparse_drive,transition_mid,9605,93008288629,0.5887627601623535,0.451106458902359,20.220699310302734,69.0,0.7759363055229187,0.24122284352779388,1.0110450983047485,0.0
alternative,93008,0,32,transition_mid,transition_mid,9606,93008288630,0.6219473481178284,0.45733731985092163,20.359371185302734,69.5,0.8041566014289856,0.2265843003988266,0.9402372241020203,0.0
alternative,93008,0,32,sparse_drive,transition_mid,9606,93008288630,0.45542389154434204,0.3345915973186493,20.333982467651367,69.5,0.6477722525596619,0.2969382405281067,0.9388245344161987,0.0
alternative,93008,0,32,transition_mid,transition_mid,9607,93008288631,0.5327891707420349,0.37402307987213135,20.337886810302734,69.5,0.7162042856216431,0.256093293428421,0.8712518215179443,0.0
alternative,93008,0,32,sparse_drive,transition_mid,9607,93008288631,0.41492316126823425,0.3118886947631836,20.330074310302734,69.5,0.620166540145874,0.3309488594532013,0.9768021106719971,0.0
