variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,16,32,transition_mid,transition_mid,9601,93002288607,0.2272755652666092,0.16869783401489258,20.216793060302734,69.5,0.3769674003124237,0.3970949053764343,0.955496072769165,0.0
primary,93002,16,32,sparse_drive,transition_mid,9601,93002288607,0.618270218372345,0.4521368145942688,20.289058685302734,69.5,0.7991026639938354,0.2262943685054779,0.931501567363739,0.0
primary,93002,16,32,transition_mid,transition_mid,9602,93002288608,0.3766198456287384,0.28790777921676636,20.271480560302734,69.0,0.5682223439216614,0.33719637989997864,1.0068402290344238,0.0
primary,93002,16,32,sparse_drive,transition_mid,9602,93002288608,0.46832260489463806,0.35614845156669617,20.228511810302734,69.0,0.656726062297821,0.2868829071521759,0.9973447918891907,0.0
primary,93002,16,32,transition_mid,transition_mid,9603,93002288609,0.2572194039821625,0.19430318474769592,20.251949310302734,69.5,0.42365503311157227,0.3928564488887787,0.9854106903076172,0.0
primary,93002,16,32,sparse_drive,transition_mid,9603,93002288609,0.46243977546691895,0.34094399213790894,20.285152435302734,69.5,0.6569458842277527,0.2960762679576874,0.9444764852523804,0.0
primary,93002,16,32,transition_mid,transition_mid,9604,93002288610,0.5513977408409119,0.4227678179740906,20.255857467651367,69.0,0.7585546970367432,0.2730942964553833,1.012320876121521,0.0
primary,93002,16,32,sparse_drive,transition_mid,9604,93002288610,0.22846461832523346,0.17012116312980652,20.248043060302734,69.5,0.368449866771698,0.3799302279949188,0.9607878923416138,0.0
primary,93002,16,32,transition_mid,transition_mid,9605,93002288611,0.3453159034252167,0.2652059495449066,20.255855560302734,69.0,0.528656005859375,0.3468041718006134,1.015457034111023,0.0
primary,93002,16,32,sparse_drive,transition_mid,9605,93002288611,0.34448495507240295,0.2553347945213318,20.275388717651367,69.5,0.5358747243881226,0.3571539521217346,0.9531536102294922,0.0
primary,93002,16,32,transition_mid,transition_mid,9606,93002288612,0.4314301609992981,0.3229300379753113,20.316402435302734,69.5,0.6398244500160217,0.3257054388523102,0.969559371471405,0.0
primary,93002,16,32,sparse_drive,transition_mid,9606,93002288612,0.49556291103363037,0.3638523817062378,20.312496185302734,69.5,0.6875508427619934,0.27923455834388733,0.9378229975700378,0.0
primary,93002,16,32,transition_mid,transition_mid,9607,93002288613,0.4168035089969635,0.3114193379878998,20.292964935302734,69.5,0.6257380247116089,0.33390092849731445,0.9664974212646484,0.0
primary,93002,16,32,sparse_drive,transition_mid,9607,93002288613,0.3291216194629669,0.2418542504310608,20.261714935302734,69.5,0.5098472833633423,0.3544701933860779,0.9391852021217346,0.0
primary,93002,16,32,transition_mid,transition_mid,9608,93002288614,0.3274867534637451,0.24295690655708313,20.279293060302734,69.5,0.5152273178100586,0.3643839359283447,0.9546547532081604,0.0
primary,93002,16,32,sparse_drive,transition_mid,9608,93002288614,0.48756903409957886,0.34397071599960327,20.332027435302734,69.5,0.6765255928039551,0.2793044149875641,0.8781296610832214,0.0
primary,93002,16,32,transition_mid,sparse_drive,9601,93002288607,0.4624573886394501,0.34109318256378174,21.679683685302734,69.5,0.6621378660202026,0.3015693426132202,0.9451219439506531,0.0
