variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,7,32,transition_mid,transition_mid,9601,93001288604,0.4776805639266968,0.34219828248023987,20.519527435302734,69.5,0.6826627850532532,0.30026865005493164,0.9001579284667969,0.0
primary,93001,7,32,sparse_drive,transition_mid,9601,93001288604,0.33957579731941223,0.2587307095527649,20.248043060302734,69.5,0.5320324301719666,0.36173853278160095,1.000784158706665,0.0
primary,93001,7,32,transition_mid,transition_mid,9602,93001288605,0.6073710918426514,0.4366183578968048,20.523433685302734,69.5,0.7904873490333557,0.23164980113506317,0.9052941203117371,0.0
primary,93001,7,32,sparse_drive,transition_mid,9602,93001288605,0.3365873098373413,0.24590298533439636,20.222652435302734,69.5,0.5167208313941956,0.34860897064208984,0.929964005947113,0.0
primary,93001,7,32,transition_mid,transition_mid,9603,93001288606,0.5181912779808044,0.38700830936431885,20.480464935302734,69.5,0.7229090929031372,0.283186137676239,0.9657812714576721,0.0
primary,93001,7,32,sparse_drive,transition_mid,9603,93001288606,0.5074033141136169,0.38331928849220276,20.222652435302734,69.5,0.7260160446166992,0.3011128306388855,0.9855369925498962,0.0
primary,93001,7,32,transition_mid,transition_mid,9604,93001288607,0.2603275179862976,0.18758524954319,20.462886810302734,69.5,0.44033294916152954,0.4087938964366913,0.9088379740715027,0.0
primary,93001,7,32,sparse_drive,transition_mid,9604,93001288607,0.548753023147583,0.39842358231544495,20.271482467651367,69.5,0.7555487155914307,0.2737026810646057,0.9203282594680786,0.0
primary,93001,7,32,transition_mid,transition_mid,9605,93001288608,0.593393862247467,0.4279346764087677,20.453121185302734,69.5,0.7763878107070923,0.2356991022825241,0.9100675582885742,0.0
primary,93001,7,32,sparse_drive,transition_mid,9605,93001288608,0.7598884701728821,0.5532418489456177,20.283199310302734,69.5,0.8935328722000122,0.149568572640419,0.9245796203613281,0.0
primary,93001,7,32,transition_mid,transition_mid,9606,93001288609,0.3149857521057129,0.22438062727451324,20.486324310302734,70.0,0.5163367390632629,0.3899605870246887,0.8919421434402466,0.0
primary,93001,7,32,sparse_drive,transition_mid,9606,93001288609,0.4766486585140228,0.3585261404514313,20.261714935302734,69.5,0.6811931729316711,0.3002738654613495,0.977959394454956,0.0
primary,93001,7,32,transition_mid,transition_mid,9607,93001288610,0.6701364517211914,0.4904826879501343,20.482418060302734,69.5,0.8349518775939941,0.19739508628845215,0.9328387975692749,0.0
primary,93001,7,32,sparse_drive,transition_mid,9607,93001288610,0.48434025049209595,0.3643413484096527,20.242183685302734,69.5,0.699232280254364,0.30732566118240356,0.9781008362770081,0.0
primary,93001,7,32,transition_mid,transition_mid,9608,93001288611,0.5057668089866638,0.3661131262779236,20.466793060302734,69.5,0.7120609283447266,0.2897140681743622,0.9157429337501526,0.0
primary,93001,7,32,sparse_drive,transition_mid,9608,93001288611,0.6944894194602966,0.5137050747871399,20.267574310302734,69.5,0.8562244772911072,0.18889334797859192,0.9497886896133423,0.0
primary,93001,7,32,transition_mid,sparse_drive,9601,93001288604,0.17906999588012695,0.12651027739048004,21.908199310302734,70.0,0.30546602606773376,0.41378098726272583,0.8801312446594238,0.0
primary,93001,7,32,sparse_drive,sparse_drive,9601,93001288604,0.4877755343914032,0.35169026255607605,21.710933685302734,70.0,0.7029823064804077,0.30613401532173157,0.9097421169281006,0.0
primary,93001,7,32,transition_mid,sparse_drive,9602,93001288605,0.4159333407878876,0.29062312841415405,21.953121185302734,70.0,0.6105906367301941,0.3188016712665558,0.8648054003715515,0.0
primary,93001,7,32,sparse_drive,sparse_drive,9602,93001288605,0.20121334493160248,0.14800046384334564,21.628902435302734,70.0,0.3496406078338623,0.4245138168334961,0.9406920075416565,0.0
primary,93001,7,32,transition_mid,sparse_drive,9603,93001288606,0.601207971572876,0.4275999963283539,21.927730560302734,70.0,0.7919778227806091,0.24087773263454437,0.8896781802177429,0.0
primary,93001,7,32,sparse_drive,sparse_drive,9603,93001288606,0.35293951630592346,0.2583048939704895,21.658199310302734,70.0,0.5652354955673218,0.3755885660648346,0.932736873626709,0.0
primary,93001,7,32,transition_mid,sparse_drive,9604,93001288607,0.39853787422180176,0.2767379879951477,21.949214935302734,70.0,0.6013489961624146,0.33726027607917786,0.8563709259033203,0.0
primary,93001,7,32,sparse_drive,sparse_drive,9604,93001288607,0.35626572370529175,0.25908955931663513,21.677730560302734,70.0,0.5677914023399353,0.372541218996048,0.9228371381759644,0.0
primary,93001,7,32,transition_mid,sparse_drive,9605,93001288608,0.6965218186378479,0.49683234095573425,21.953121185302734,70.0,0.8616942763328552,0.1916833370923996,0.893879771232605,0.0
primary,93001,7,32,sparse_drive,sparse_drive,9605,93001288608,0.22603465616703033,0.16520753502845764,21.673824310302734,70.0,0.3899611532688141,0.42036622762680054,0.9306454062461853,0.0
primary,93001,7,32,transition_mid,sparse_drive,9606,93001288609,0.5768755078315735,0.41056960821151733,21.933589935302734,70.0,0.7771020531654358,0.2576580047607422,0.8906460404396057,0.0
primary,93001,7,32,sparse_drive,sparse_drive,9606,93001288609,0.41831639409065247,0.29426389932632446,21.707027435302734,70.0,0.6279247999191284,0.33381134271621704,0.8740939497947693,0.0
primary,93001,7,32,transition_mid,sparse_drive,9607,93001288610,0.19805975258350372,0.14201559126377106,21.921871185302734,70.0,0.3468138873577118,0.428916335105896,0.9015135765075684,0.0
primary,93001,7,32,sparse_drive,sparse_drive,9607,93001288610,0.3868422210216522,0.28516826033592224,21.609371185302734,69.5,0.6004703640937805,0.35576802492141724,0.9442513585090637,0.0
primary,93001,7,32,transition_mid,sparse_drive,9608,93001288611,0.6225706338882446,0.4375014007091522,21.947261810302734,70.0,0.8110292553901672,0.23236963152885437,0.8726810812950134,0.0
primary,93001,7,32,sparse_drive,sparse_drive,9608,93001288611,0.6012226343154907,0.4339272975921631,21.675777435302734,70.0,0.7967091798782349,0.24536752700805664,0.9112704396247864,0.0
