grouping,group,baseline,n_tasks,mean_delta,bootstrap95_low,bootstrap95_high,median_delta,positive_fraction,wilcoxon_greater_p,wilcoxon_two_sided_p,wilcoxon_greater_fdr_bh
pooled,all_225_core_tasks,spectral,225,0.08758200728231007,0.07109255217119224,0.10385215442317226,0.06793267279863349,0.7777777777777778,3.436074421108582e-20,6.872148842217164e-20,5.0255289388763006e-20
pooled,all_225_core_tasks,feedback_hub,225,0.08365377956173486,0.06795446647315596,0.09934289477455119,0.07367989420890808,0.7822222222222223,2.1566715090701636e-20,4.313343018140327e-20,4.313343018140327e-20
pooled,all_225_core_tasks,high_degree,225,0.08546196700798141,0.0694025998181767,0.10129855940791052,0.07367989420890808,0.7822222222222223,4.187940782396917e-20,8.375881564793834e-20,5.0255289388763006e-20
pooled,all_225_core_tasks,module_bridge,225,0.08382671799510717,0.06803561098180298,0.10016967533352887,0.07367989420890808,0.7777777777777778,2.6537223646003646e-19,5.307444729200729e-19,2.6537223646003646e-19
pooled,all_225_core_tasks,cycle_proxy,225,0.09490957965867387,0.07913052333311901,0.11105041584765746,0.0790588259696961,0.8222222222222222,5.11416144400665e-23,1.02283228880133e-22,1.534248433201995e-22
pooled,all_225_core_tasks,random,225,0.1973812558824688,0.18109363159596495,0.21355241703746206,0.17893443210050464,0.9733333333333334,9.173946474126053e-39,1.8347892948252106e-38,5.504367884475632e-38
phase,er_patch,spectral,27,0.02592148259282112,-0.005926824967307912,0.055469480737250415,0.0473230741918087,0.7037037037037037,0.02455095201730728,0.04910190403461456,0.02455095201730728
phase,er_patch,feedback_hub,27,0.05433337957839722,0.03132241200914398,0.07787535855399996,0.046696186065673884,0.8148148148148148,3.1657516956329346e-05,6.331503391265869e-05,6.331503391265869e-05
phase,er_patch,high_degree,27,0.05843341226379078,0.03161692725735958,0.08491157794336752,0.05889123305678359,0.8518518518518519,0.00015044957399368286,0.0003008991479873657,0.00018053948879241942
phase,er_patch,module_bridge,27,0.05792623271958696,0.030424294053335445,0.08396060522559481,0.0555688897147774,0.8518518518518519,0.00015044957399368286,0.0003008991479873657,0.00018053948879241942
phase,er_patch,cycle_proxy,27,0.06676329979328094,0.04501855037933973,0.08935523684722958,0.06250736862421041,0.8888888888888888,1.5422701835632324e-06,3.084540367126465e-06,4.626810550689697e-06
phase,er_patch,random,27,0.08748142661082696,0.06324098060628143,0.11199133784555468,0.06491138003184466,0.9629629629629629,1.4901161193847656e-08,2.9802322387695312e-08,8.940696716308594e-08
phase,stage4b_replication,spectral,72,0.05316909164604214,0.028266576204138503,0.07946778292146821,0.04330627620220189,0.6944444444444444,0.0001498689540588833,0.0002997379081177666,0.0002997379081177666
phase,stage4b_replication,feedback_hub,72,0.04414625887552069,0.018025916096262848,0.06987919450168394,0.04407771676778795,0.6805555555555556,0.0005237165359472786,0.001047433071894557,0.0007855748039209178
phase,stage4b_replication,high_degree,72,0.04080815346808069,0.014783296357038341,0.06798810088463748,0.0448420196771622,0.6805555555555556,0.0016088384300670404,0.0032176768601340808,0.0016088384300670404
phase,stage4b_replication,module_bridge,72,0.04080815346808069,0.014611649701449406,0.06724281189833871,0.0448420196771622,0.6805555555555556,0.0016088384300670404,0.0032176768601340808,0.0016088384300670404
phase,stage4b_replication,cycle_proxy,72,0.05344703565869066,0.024654787840942546,0.08271433966777597,0.04915860295295721,0.75,6.711941776080722e-05,0.00013423883552161444,0.00020135825328242168
phase,stage4b_replication,random,72,0.23422757084052945,0.20386644014366134,0.26390169207197683,0.24018618563422933,0.9861111111111112,9.022041375271973e-14,1.8044082750543946e-13,5.413224825163184e-13
phase,stage4c_atlas_extension,spectral,36,0.05799804772767757,0.018064441945817744,0.09908261637772538,0.018712222576141344,0.6111111111111112,0.012954820309016485,0.02590964061803297,0.015545784370819781
phase,stage4c_atlas_extension,feedback_hub,36,0.039880025407506375,0.0022230485480071844,0.07771785832527613,0.0393258519470692,0.6666666666666666,0.020441940403543413,0.040883880807086825,0.020441940403543413
phase,stage4c_atlas_extension,high_degree,36,0.049086247674292996,0.013219200317851383,0.08619279977865518,0.05024968832731254,0.6388888888888888,0.006042731329216622,0.012085462658433244,0.009064096993824933
phase,stage4c_atlas_extension,module_bridge,36,0.049086247674292996,0.012575649087213807,0.08691111605407464,0.05024968832731254,0.6388888888888888,0.006042731329216622,0.012085462658433244,0.009064096993824933
phase,stage4c_atlas_extension,cycle_proxy,36,0.06334348338552648,0.027906349059453033,0.09979436229914426,0.039096828550100306,0.6666666666666666,0.0023014047466294396,0.004602809493258879,0.006904214239888319
