variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,8,32,transition_mid,transition_mid,9601,93003288610,0.5771837830543518,0.4212561845779419,20.306636810302734,69.5,0.7769173383712769,0.2570847272872925,0.928400993347168,0.0
primary,93003,8,32,sparse_drive,transition_mid,9601,93003288610,0.4520553648471832,0.32721513509750366,20.257808685302734,69.5,0.6532373428344727,0.3079768121242523,0.9156617522239685,0.0
primary,93003,8,32,transition_mid,transition_mid,9602,93003288611,0.5648223757743835,0.4030570685863495,20.306636810302734,69.5,0.7475816607475281,0.24446731805801392,0.8944805264472961,0.0
primary,93003,8,32,sparse_drive,transition_mid,9602,93003288611,0.5935669541358948,0.4426654875278473,20.240230560302734,69.5,0.787241518497467,0.2460166960954666,0.9633598923683167,0.0
primary,93003,8,32,transition_mid,transition_mid,9603,93003288612,0.4326289892196655,0.31440290808677673,20.328121185302734,69.5,0.6471428871154785,0.33147841691970825,0.9217545390129089,0.0
primary,93003,8,32,sparse_drive,transition_mid,9603,93003288612,0.5404235124588013,0.4006515145301819,20.255855560302734,69.5,0.717746376991272,0.2470550239086151,0.9535050392150879,0.0
primary,93003,8,32,transition_mid,transition_mid,9604,93003288613,0.586401104927063,0.42661020159721375,20.289058685302734,69.5,0.7842826843261719,0.25230902433395386,0.9234082698822021,0.0
primary,93003,8,32,sparse_drive,transition_mid,9604,93003288613,0.7198455929756165,0.5274905562400818,20.257808685302734,69.5,0.8732747435569763,0.17569395899772644,0.9347112774848938,0.0
primary,93003,8,32,transition_mid,transition_mid,9605,93003288614,0.7645235657691956,0.5585399270057678,20.326168060302734,69.5,0.8962520360946655,0.14697706699371338,0.9299543499946594,0.0
primary,93003,8,32,sparse_drive,transition_mid,9605,93003288614,0.6523274183273315,0.48147496581077576,20.230464935302734,69.5,0.8278065323829651,0.21198078989982605,0.9462658762931824,0.0
primary,93003,8,32,transition_mid,transition_mid,9606,93003288615,0.396374374628067,0.2778586149215698,20.361324310302734,70.0,0.6105167865753174,0.3507559895515442,0.8692648410797119,0.0
primary,93003,8,32,sparse_drive,transition_mid,9606,93003288615,0.6402740478515625,0.4810086786746979,20.246091842651367,69.5,0.8180205821990967,0.2172885686159134,0.9758283495903015,0.0
primary,93003,8,32,transition_mid,transition_mid,9607,93003288616,0.3505217432975769,0.2538928687572479,20.330074310302734,69.5,0.5503305792808533,0.363070547580719,0.9166914820671082,0.0
primary,93003,8,32,sparse_drive,transition_mid,9607,93003288616,0.4167157709598541,0.3132529556751251,20.214839935302734,69.5,0.6255325078964233,0.3338223695755005,0.9768947958946228,0.0
primary,93003,8,32,transition_mid,transition_mid,9608,93003288617,0.47384101152420044,0.35008084774017334,20.291011810302734,69.5,0.6776791214942932,0.3007885217666626,0.9478651285171509,0.0
