variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,2,32,transition_mid,transition_mid,9601,93003288610,0.7052676677703857,0.5197781324386597,20.343746185302734,69.5,0.8627155423164368,0.1825026571750641,0.9438676834106445,0.0
primary,93003,2,32,sparse_drive,transition_mid,9601,93003288610,0.41940057277679443,0.31153404712677,20.283199310302734,69.5,0.6204190850257874,0.3240044116973877,0.9567146301269531,0.0
primary,93003,2,32,transition_mid,transition_mid,9602,93003288611,0.637878954410553,0.4680599570274353,20.347652435302734,69.5,0.8066588044166565,0.20923331379890442,0.9368582367897034,0.0
primary,93003,2,32,sparse_drive,transition_mid,9602,93003288611,0.5158383250236511,0.3739694356918335,20.292964935302734,69.5,0.7154802083969116,0.27903199195861816,0.91805100440979,0.0
primary,93003,2,32,transition_mid,transition_mid,9603,93003288612,0.7240865230560303,0.5412611365318298,20.333980560302734,69.5,0.8720852136611938,0.16970668733119965,0.9672852754592896,0.0
primary,93003,2,32,sparse_drive,transition_mid,9603,93003288612,0.4108017385005951,0.31469523906707764,20.240230560302734,69.5,0.6227797865867615,0.34037402272224426,1.010699987411499,0.0
primary,93003,2,32,transition_mid,transition_mid,9604,93003288613,0.729481041431427,0.5434346795082092,20.339839935302734,69.5,0.8786913156509399,0.16980965435504913,0.9615347385406494,0.0
primary,93003,2,32,sparse_drive,transition_mid,9604,93003288613,0.35034626722335815,0.2658664286136627,20.246089935302734,69.5,0.543597400188446,0.35550418496131897,0.9935396909713745,0.0
primary,93003,2,32,transition_mid,transition_mid,9605,93003288614,0.7063505053520203,0.5231695175170898,20.335933685302734,69.5,0.8592578172683716,0.17795279622077942,0.9519520401954651,0.0
primary,93003,2,32,sparse_drive,transition_mid,9605,93003288614,0.45836445689201355,0.3255700170993805,20.255855560302734,69.5,0.6594272255897522,0.30490514636039734,0.8877614736557007,0.0
primary,93003,2,32,transition_mid,transition_mid,9606,93003288615,0.5692164897918701,0.4119766652584076,20.335933685302734,69.5,0.7577394843101501,0.24879661202430725,0.9154985547065735,0.0
primary,93003,2,32,sparse_drive,transition_mid,9606,93003288615,0.2171361744403839,0.16148285567760468,20.298824310302734,69.5,0.37013694643974304,0.41336262226104736,0.958694577217102,0.0
primary,93003,2,32,transition_mid,transition_mid,9607,93003288616,0.6810192465782166,0.503134548664093,20.343746185302734,69.5,0.8403978943824768,0.1896466761827469,0.9478241205215454,0.0
primary,93003,2,32,sparse_drive,transition_mid,9607,93003288616,0.37303605675697327,0.28346478939056396,20.263668060302734,69.5,0.5742952823638916,0.35044556856155396,0.9959448575973511,0.0
primary,93003,2,32,transition_mid,transition_mid,9608,93003288617,0.503354012966156,0.37697121500968933,20.339839935302734,69.5,0.7011609077453613,0.28211337327957153,0.9704880118370056,0.0
primary,93003,2,32,sparse_drive,transition_mid,9608,93003288617,0.4822985529899597,0.35517001152038574,20.271480560302734,69.5,0.67441326379776,0.2848619818687439,0.9425925016403198,0.0
primary,93003,2,32,transition_mid,sparse_drive,9601,93003288610,0.4886654317378998,0.3133675456047058,21.867183685302734,70.5,0.7140820026397705,0.31567320227622986,0.7603315711021423,0.0
primary,93003,2,32,sparse_drive,sparse_drive,9601,93003288610,0.40098708868026733,0.3008725643157959,21.623043060302734,69.5,0.610334575176239,0.343004435300827,0.973709225654602,0.0
primary,93003,2,32,transition_mid,sparse_drive,9602,93003288611,0.3651309907436371,0.26100683212280273,21.777339935302734,69.5,0.5625231266021729,0.3509049415588379,0.8969932794570923,0.0
primary,93003,2,32,sparse_drive,sparse_drive,9602,93003288611,0.7172128558158875,0.5446869730949402,21.576168060302734,69.5,0.8700128793716431,0.1756296157836914,0.9949131608009338,0.0
primary,93003,2,32,transition_mid,sparse_drive,9603,93003288612,0.2426195591688156,0.1611315757036209,21.874996185302734,70.5,0.4296596944332123,0.435321569442749,0.8001714944839478,0.0
primary,93003,2,32,sparse_drive,sparse_drive,9603,93003288612,0.4129180312156677,0.3111843466758728,21.601558685302734,69.5,0.630031168460846,0.3446069657802582,0.9812872409820557,0.0
