subject,C,delta_rho
619293,0.25,-0.0184938866398458
619293,1.0,-0.0215546274635812
619293,4.0,-0.0235265891392419
619293,0.25,0.0634932860734597
619293,1.0,0.0677553279168991
619293,4.0,0.0654972547909927
619293,0.25,0.0107195056965362
619293,1.0,0.0113099245188039
619293,4.0,0.0106669328129831
619293,0.25,-0.0359127381326251
619293,1.0,-0.0323750856899285
619293,4.0,-0.0277148536033822
619293,0.25,-0.023547250398696
619293,1.0,-0.0182746537716761
619293,4.0,-0.0148182219390528
619293,0.25,0.0018864808921933
619293,1.0,0.0062017013246163
619293,4.0,0.0082226100542641
619293,0.25,-0.0263001961039278
619293,1.0,-0.0253652380604475
619293,4.0,-0.0254460969465076
619293,0.25,8.20289725791401e-05
619293,1.0,0.0016068948322888
619293,4.0,0.0016814606036549
619293,0.25,0.1054807832593096
619293,1.0,0.0998016622940879
619293,4.0,0.0938328700257846
619293,0.25,0.0267951221221433
619293,1.0,0.0293948637290682
619293,4.0,0.0311946645956729
619293,0.25,-0.0254940983795982
619293,1.0,-0.0281350431371079
619293,4.0,-0.0273392035724022
619293,0.25,-0.0162186254638637
619293,1.0,-0.0121412130590838
619293,4.0,-0.0140317856033518
619296,0.25,0.0353442277944384
619296,1.0,0.0441682431562931
619296,4.0,0.0487530064784179
619296,0.25,0.0162851311737392
619296,1.0,0.0069538611295047
619296,4.0,0.0043823554411627
619296,0.25,-0.0101969554133781
619296,1.0,-0.0148981307696294
619296,4.0,-0.0123894101521429
619296,0.25,0.0663045183911066
619296,1.0,0.0727123014766401
619296,4.0,0.07662301330397
619296,0.25,0.0090976701514852
619296,1.0,0.001384004826303
619296,4.0,-0.0023176706972827
619296,0.25,0.06639473656523
619296,1.0,0.0704492472299384
619296,4.0,0.0731616743982919
619296,0.25,-0.0053151346277084
619296,1.0,-0.0062314106046535
619296,4.0,-0.0037985557507883
619296,0.25,-0.0313960477570234
619296,1.0,-0.0352400154047401
619296,4.0,-0.0336285859180003
619296,0.25,0.0476576776729762
619296,1.0,0.0540583165556288
619296,4.0,0.0575497996329636
619296,0.25,0.0324756525485937
619296,1.0,0.0320121718464021
619296,4.0,0.0332534159913473
619296,0.25,0.0063795240945097
619296,1.0,0.0019205686522961
619296,4.0,-0.001651734179789
619296,0.25,0.0452775939178217
619296,1.0,0.0369184933601252
619296,4.0,0.0315161575021347
620333,0.25,-0.028590461003315
620333,1.0,-0.0254116735625383
620333,4.0,-0.0233929544673441
620333,0.25,0.0163675180573606
620333,1.0,0.0156192797523864
620333,4.0,0.0135096368251365
620333,0.25,0.0589111381024221
620333,1.0,0.0632593646377141
620333,4.0,0.064779421535053
620333,0.25,0.0245924852665396
620333,1.0,0.0275621646271371
620333,4.0,0.0304271473467628
620333,0.25,0.0258314393690263
620333,1.0,0.0322694417224057
620333,4.0,0.0369979644171649
620333,0.25,0.0973539832889832
620333,1.0,0.1001625226925935
620333,4.0,0.0999439695739026
620333,0.25,0.0527136961494
620333,1.0,0.0484361733884819
620333,4.0,0.0468789438101198
620333,0.25,0.0269904031044192
620333,1.0,0.0238540604600114
620333,4.0,0.0232873379406227
620333,0.25,0.0250942071706096
620333,1.0,0.022443826350538
620333,4.0,0.0209504810610163
620333,0.25,0.0170770235694242
620333,1.0,0.0197293187680009
620333,4.0,0.0237377920141543
620333,0.25,0.0170456933497454
620333,1.0,0.0159302567806577
620333,4.0,0.0160542234896217
620333,0.25,0.0137809156022775
620333,1.0,0.0184403649220339
620333,4.0,0.0208704480287698
620334,0.25,0.0613568882033685
620334,1.0,0.053731728794571
620334,4.0,0.0494637773328135
620334,0.25,-0.0499599527651496
620334,1.0,-0.0533549979657653
620334,4.0,-0.0526408523103805
620334,0.25,-0.0019771925346594
620334,1.0,-0.0076150172463393
620334,4.0,-0.0118685946452549
620334,0.25,0.0155146526375474
620334,1.0,0.0176674006983312
620334,4.0,0.0176029177558986
620334,0.25,-0.0124804572146148
620334,1.0,-0.0087177539044857
620334,4.0,-0.0085788418465434
620334,0.25,0.0014688704162864
620334,1.0,0.0059467930682726
620334,4.0,0.0097168153151434
620334,0.25,-0.0388538220648303
620334,1.0,-0.0386547868387718
620334,4.0,-0.0390116016422733
620334,0.25,-0.0248320228741978
620334,1.0,-0.0247708865766423
620334,4.0,-0.0253539942682858
620334,0.25,0.0251802336241373
620334,1.0,0.0283809523221162
620334,4.0,0.0302126858791205
620334,0.25,0.0392893282362515
620334,1.0,0.0423349957639834
620334,4.0,0.0434318246924786
620334,0.25,0.0233409978616872
620334,1.0,0.0237716161954094
620334,4.0,0.0236339615604968
620334,0.25,0.0507496942377967
620334,1.0,0.0504533377793141
620334,4.0,0.0519853870943151
625545,0.25,-0.018770062149963
625545,1.0,-0.0170701657776499
625545,4.0,-0.0165743477766417
625545,0.25,-0.0127712241044616
625545,1.0,-0.012305381196948
625545,4.0,-0.0106835797099368
625545,0.25,0.0622994313321697
625545,1.0,0.0654149034023988
625545,4.0,0.0670944768506423
625545,0.25,0.0207831198766331
625545,1.0,0.0255786658573101
625545,4.0,0.0278974356961848
625545,0.25,-0.0124303813340271
625545,1.0,-0.0175748973208168
625545,4.0,-0.0206785208629287
625545,0.25,-0.010860285580504
625545,1.0,-0.0081108265598871
625545,4.0,-0.0042538367109654
625545,0.25,-0.0187882707819216
625545,1.0,-0.0202634804915938
625545,4.0,-0.0219392795621527
625545,0.25,0.0283675505676256
625545,1.0,0.0306314699443317
625545,4.0,0.0307754961589845
625545,0.25,0.0254681283703092
625545,1.0,0.0296498236319145
625545,4.0,0.031942544998268
625545,0.25,0.0401369589911678
625545,1.0,0.0444774727441426
625545,4.0,0.046845693512032
625545,0.25,0.0126661078827882
625545,1.0,0.01448525652445
625545,4.0,0.0153968754486451
625545,0.25,0.0421905960976099
625545,1.0,0.0462830455480103
625545,4.0,0.0485790364048279
625554,0.25,-0.0384101005646458
