subject,C,activity_residual_delta_rho
619293,0.25,-0.0251501471230051
619293,1.0,-0.0267309679296909
619293,4.0,-0.0269514171714344
619293,0.25,0.0721887108966613
619293,1.0,0.0797026470365958
619293,4.0,0.0798047586540428
619293,0.25,0.0055617705585013
619293,1.0,0.0099327729364133
619293,4.0,0.0085356091147478
619293,0.25,-0.0352619911134172
619293,1.0,-0.0289435854964335
619293,4.0,-0.0256008699593988
619293,0.25,-0.0138531199504803
619293,1.0,-0.0147737125830292
619293,4.0,-0.0103558833977779
619293,0.25,-0.0010853053967218
619293,1.0,0.0010808556953057
619293,4.0,0.0027915626198299
619293,0.25,-0.0258614026511573
619293,1.0,-0.0254287370576498
619293,4.0,-0.0259869974382039
619293,0.25,0.0037511216776331
619293,1.0,0.0048960114536096
619293,4.0,0.00741172811394
619293,0.25,0.1046984471894478
619293,1.0,0.0994888814536242
619293,4.0,0.0941983503295227
619293,0.25,0.0400595958795825
619293,1.0,0.0428806273885076
619293,4.0,0.0452742893395189
619293,0.25,-0.0282400250835551
619293,1.0,-0.0299536683525958
619293,4.0,-0.0316937932548574
619293,0.25,-0.0257679370267094
619293,1.0,-0.0243004823084959
619293,4.0,-0.0233628000877874
619296,0.25,0.0389706747030788
619296,1.0,0.0466622764947448
619296,4.0,0.0522402661524471
619296,0.25,0.020683769157468
619296,1.0,0.0106166512241597
619296,4.0,0.0029902378754258
619296,0.25,-0.0067504956877886
619296,1.0,-0.0081585689328198
619296,4.0,-0.0083893308662398
619296,0.25,0.0662293351929328
619296,1.0,0.0729038272380506
619296,4.0,0.0783217154996425
619296,0.25,0.0051342843167314
619296,1.0,0.0001141484842754
619296,4.0,-0.0031062000439643
619296,0.25,0.0705208524040321
619296,1.0,0.0739671432401801
619296,4.0,0.0771432384792095
619296,0.25,-0.00903560560324
619296,1.0,-0.0077181930671176
619296,4.0,-0.005721932204297
619296,0.25,-0.0403704286798489
619296,1.0,-0.0425937663381343
619296,4.0,-0.0433147698914014
619296,0.25,0.0516638891623564
619296,1.0,0.0597970291738322
619296,4.0,0.0639895402196658
619296,0.25,0.0260178586384061
619296,1.0,0.0259633288882611
619296,4.0,0.0276652831549729
619296,0.25,-0.0058974904737545
619296,1.0,-0.0117051376818591
619296,4.0,-0.0156017694332503
619296,0.25,0.0442811490221561
619296,1.0,0.0370344299666676
619296,4.0,0.0301561079088244
620333,0.25,-0.026444934014211
620333,1.0,-0.0239418229099372
620333,4.0,-0.0217487268595036
620333,0.25,0.018859886048047
620333,1.0,0.0164148053998313
620333,4.0,0.0141167360516837
620333,0.25,0.0568337117808349
620333,1.0,0.063109715340166
620333,4.0,0.0654368120871598
620333,0.25,0.0208231605586853
620333,1.0,0.0241096341364741
620333,4.0,0.0263951675429817
620333,0.25,0.0199133676368625
620333,1.0,0.0252485670323331
620333,4.0,0.0297090863133903
620333,0.25,0.0960074583741015
620333,1.0,0.0993920409087452
620333,4.0,0.0997038085602517
620333,0.25,0.0574312623892832
620333,1.0,0.0534341347994916
620333,4.0,0.0505253338479479
620333,0.25,0.0261499255778874
620333,1.0,0.0231725542426543
620333,4.0,0.0239028154410475
620333,0.25,0.0186918620393757
620333,1.0,0.0162622626506771
620333,4.0,0.0159385675962673
620333,0.25,0.0180655698391183
620333,1.0,0.0211624342568971
620333,4.0,0.0236301891374191
620333,0.25,0.0207717388563268
620333,1.0,0.0178346407549645
620333,4.0,0.0164757325103654
620333,0.25,0.0109443030303679
620333,1.0,0.0159056392653539
620333,4.0,0.0172487863017745
620334,0.25,0.072040192084529
620334,1.0,0.0644107145500264
620334,4.0,0.0601702770106924
620334,0.25,-0.0538419917846649
620334,1.0,-0.0532817835821107
620334,4.0,-0.0515113198852349
620334,0.25,0.0022398330042865
620334,1.0,-0.005133335764857
620334,4.0,-0.0113437761446043
620334,0.25,0.0175592128058692
620334,1.0,0.0186886846964146
620334,4.0,0.0170434716462273
620334,0.25,-0.0101477906225922
620334,1.0,-0.0082787755039077
620334,4.0,-0.0074065184857095
620334,0.25,0.0055884966620782
620334,1.0,0.0090071708501465
620334,4.0,0.0107745428730577
620334,0.25,-0.0400492533401232
620334,1.0,-0.0410090701864468
620334,4.0,-0.03917237476181
620334,0.25,-0.0203491663611128
620334,1.0,-0.0194697896421969
620334,4.0,-0.0178804413639872
620334,0.25,0.0204139618829959
620334,1.0,0.0243995578540947
620334,4.0,0.0272100597124302
620334,0.25,0.0352035516844908
620334,1.0,0.0363396124935265
620334,4.0,0.0378842442524492
620334,0.25,0.023746982558231
620334,1.0,0.0233100265127678
620334,4.0,0.0227483195631651
620334,0.25,0.051600030951962
620334,1.0,0.0520931326801819
620334,4.0,0.0530716855810259
625545,0.25,-0.0213315033315717
625545,1.0,-0.0197629858294513
625545,4.0,-0.0186811230014874
625545,0.25,-0.0076813799942981
625545,1.0,-0.0066383177754238
625545,4.0,-0.0052659061652624
625545,0.25,0.0619691992364944
625545,1.0,0.0658308247530535
625545,4.0,0.0684031721384722
625545,0.25,0.0143527889562313
625545,1.0,0.0184865039386054
625545,4.0,0.0217193593968189
625545,0.25,-0.0141550991977209
625545,1.0,-0.0196751932816072
625545,4.0,-0.0230619949072658
625545,0.25,-0.0160107195096942
625545,1.0,-0.0130077525008143
625545,4.0,-0.0096681818978212
625545,0.25,-0.0225391371334798
625545,1.0,-0.0246158390766646
625545,4.0,-0.0268132963981331
625545,0.25,0.02482228933242
625545,1.0,0.0275993647310027
625545,4.0,0.0292579788724338
625545,0.25,0.0160271317769453
625545,1.0,0.0203243294407488
625545,4.0,0.0232412719446756
625545,0.25,0.041834008648587
625545,1.0,0.043913878159537
625545,4.0,0.0462600381563053
625545,0.25,0.0174944807534411
625545,1.0,0.0189644153671763
625545,4.0,0.0204490305813742
625545,0.25,0.0427773242293513
625545,1.0,0.0476055191810427
625545,4.0,0.0497722571810501
625554,0.25,-0.0333541535956907
625554,1.0,-0.0333958415957494
625554,4.0,-0.033088102131629
625554,0.25,0.0271662832977194
625554,1.0,0.0348856231311669
625554,4.0,0.0394109171694184
625554,0.25,0.0338164186844003
625554,1.0,0.0354050185988374
625554,4.0,0.0359796330288871
625554,0.25,-0.0325716352274984
625554,1.0,-0.0305059092966659
625554,4.0,-0.0291352727203656
625554,0.25,0.0136440999163522
625554,1.0,0.016883059422193
625554,4.0,0.0188925475155677
625554,0.25,0.004772917097055
625554,1.0,0.0031843445486827
625554,4.0,0.0036405172080197
625554,0.25,0.0109835994733471
625554,1.0,0.0101614778852092
625554,4.0,0.0097807160693267
625554,0.25,0.0284214781009718
625554,1.0,0.026342114780899
625554,4.0,0.0241698555595507
625554,0.25,0.0321304904589342
625554,1.0,0.0319686590272772
625554,4.0,0.030538087445951
625554,0.25,-0.0176139390121702
625554,1.0,-0.013246717643088
625554,4.0,-0.0087801763255002
625554,0.25,0.0282590693405959
625554,1.0,0.0307604519192623
625554,4.0,0.0329088738121469
625554,0.25,0.0072398733436849
625554,1.0,0.0083177063666801
625554,4.0,0.0106077854780202
625555,0.25,0.0529659859726498
625555,1.0,0.0507099996117528
625555,4.0,0.0488950454743227
625555,0.25,0.0358475101779742
625555,1.0,0.0363507558320023
625555,4.0,0.0375199473710628
625555,0.25,-0.0113034274837852
625555,1.0,-0.0119160788055244
625555,4.0,-0.012566285295214
625555,0.25,0.0240188054321138
625555,1.0,0.0229002452471107
625555,4.0,0.0209671363535165
625555,0.25,-0.0128762438643866
625555,1.0,-0.0094575133187079
625555,4.0,-0.0078663127692927
625555,0.25,0.0584513361712883
625555,1.0,0.0576781859797415
625555,4.0,0.0562396752368477
625555,0.25,-0.0079991314091717
625555,1.0,-0.0079495324781673
625555,4.0,-0.0082293512577084
625555,0.25,0.0639226086766854
625555,1.0,0.0640055444165719
625555,4.0,0.0632240295250732
625555,0.25,0.0668928083995554
625555,1.0,0.0641613722139734
625555,4.0,0.061978942661681
625555,0.25,-0.0102934657155014
625555,1.0,-0.0098039389304773
625555,4.0,-0.0092418837770786
625555,0.25,-0.0146712259541714
625555,1.0,-0.0175656523506547
625555,4.0,-0.0191092357280609
625555,0.25,0.0444185805379181
625555,1.0,0.0455031462700841
625555,4.0,0.0467143457301267
630506,0.25,-0.0354827097294333
630506,1.0,-0.037206642706709
630506,4.0,-0.0391109244452534
630506,0.25,-0.0467477430663345
630506,1.0,-0.0524137932440683
630506,4.0,-0.0525625036553161
630506,0.25,0.0015680603567483
630506,1.0,0.00122398062904
630506,4.0,-0.0017870907978938
630506,0.25,0.022317376451559
630506,1.0,0.0254113583607421
630506,4.0,0.0246871427674513
630506,0.25,0.0048046021544891
630506,1.0,0.0072527591835571
630506,4.0,0.0108215117251209
630506,0.25,-0.0564851996048607
630506,1.0,-0.064613815664839
630506,4.0,-0.0686162020900778
630506,0.25,0.0321801897974433
630506,1.0,0.0346242434574735
630506,4.0,0.0341291934180968
630506,0.25,-0.0403187500252263
630506,1.0,-0.0349179469722717
630506,4.0,-0.031408010775937
630506,0.25,-0.0517066288464865
630506,1.0,-0.0479339603027612
630506,4.0,-0.0438977861503491
630506,0.25,-0.0121238578983183
630506,1.0,-0.0108312565346741
630506,4.0,-0.0113296539300869
630506,0.25,0.0160596281324397
630506,1.0,0.0172929967759642
630506,4.0,0.0176372209169665
630506,0.25,0.0113734753377789
630506,1.0,0.0091600486443096
630506,4.0,0.0065411855688536
631510,0.25,0.0427797652853852
631510,1.0,0.0360419666935881
631510,4.0,0.0351263490061553
631510,0.25,0.0149697814704119
631510,1.0,0.007528709797958
631510,4.0,0.0126022273798439
631510,0.25,0.0257081628555749
631510,1.0,0.0260530014754775
631510,4.0,0.0249071066338658
631510,0.25,0.0829712290671468
631510,1.0,0.086766920735115
631510,4.0,0.0882771609067851
631510,0.25,0.0538887490757236
631510,1.0,0.0587534371952335
631510,4.0,0.0622756407612767
631510,0.25,0.0033529553216378
631510,1.0,0.009404670419263
631510,4.0,0.0105958389825764
631510,0.25,0.0872521639752481
631510,1.0,0.0840288177182034
631510,4.0,0.0827578951366293
631510,0.25,0.0612173364949088
631510,1.0,0.05869353244716
631510,4.0,0.0540248171854746
631510,0.25,0.0624490697383822
631510,1.0,0.0596045617214697
631510,4.0,0.058890623025707
631510,0.25,0.0067566121656282
631510,1.0,0.0169672137949688
631510,4.0,0.0231446459060949
631510,0.25,-0.0061780262452031
631510,1.0,-0.0013153214585597
631510,4.0,-0.0010776678933794
631510,0.25,0.022016552770069
631510,1.0,0.0180981308465988
631510,4.0,0.0142546455092345
631570,0.25,-0.0321879153509963
631570,1.0,-0.034712005739146
631570,4.0,-0.0356501746213985
631570,0.25,0.032151844077658
631570,1.0,0.0353919917498075
631570,4.0,0.0381714230304368
631570,0.25,0.0670324237369226
631570,1.0,0.0686228875294461
631570,4.0,0.0658718031697559
631570,0.25,0.0769816467391272
631570,1.0,0.0751839610917942
631570,4.0,0.0765982224073907
631570,0.25,0.0457047544316411
631570,1.0,0.05120143325129
631570,4.0,0.0580328219908738
631570,0.25,0.06488369479826
631570,1.0,0.064811795155781
631570,4.0,0.0668463607145794
631570,0.25,0.0201147021571363
631570,1.0,0.0178779916038996
631570,4.0,0.0178640488605025
631570,0.25,0.0072652402587279
631570,1.0,0.0063395323618104
631570,4.0,0.006225683164412
631570,0.25,0.0112637105452533
631570,1.0,0.0183330485686457
631570,4.0,0.021343238836961
631570,0.25,-0.0414903910990578
631570,1.0,-0.0506138966067645
631570,4.0,-0.0562110891784825
631570,0.25,0.1025551431366353
631570,1.0,0.1040319762956606
631570,4.0,0.1028296005761298
631570,0.25,0.0518107610029535
631570,1.0,0.0519510867368373
631570,4.0,0.0526430721967199
633229,0.25,0.0167026904263
633229,1.0,0.0128643764653957
633229,4.0,0.0098400164381212
633229,0.25,0.0602110553817031
633229,1.0,0.0546184787882221
633229,4.0,0.0511482251158158
633229,0.25,0.0367199986836416
633229,1.0,0.0283738825202405
633229,4.0,0.0231267105585119
633229,0.25,0.0012973571277184
633229,1.0,-0.0003738152802369
633229,4.0,-0.0019160880729024
633229,0.25,0.0415612402132562
633229,1.0,0.04127240945923
633229,4.0,0.0410231832156701
633229,0.25,-0.0206839085269259
633229,1.0,-0.0281990290072837
633229,4.0,-0.0331801262459314
633229,0.25,0.0185593765006589
633229,1.0,0.0200719450133951
633229,4.0,0.0223567550187752
633229,0.25,-0.0208630931366142
633229,1.0,-0.0193404627402381
633229,4.0,-0.0174367137490464
633229,0.25,0.0685124235996798
633229,1.0,0.0679903024654306
633229,4.0,0.0678422958062792
633229,0.25,-0.0057378529962525
633229,1.0,-0.0031741365263688
633229,4.0,-0.0029649832074983
633229,0.25,0.0542772172060639
633229,1.0,0.0537790435491089
633229,4.0,0.0521340901273291
633229,0.25,0.0527078521702554
633229,1.0,0.0536664092119444
633229,4.0,0.0538177859562576
637484,0.25,-0.0757903567755631
637484,1.0,-0.0687144118172853
637484,4.0,-0.0638576296542744
637484,0.25,-0.0182715165786332
637484,1.0,-0.0225343260916002
637484,4.0,-0.0210837957822048
637484,0.25,-0.0243320692862309
637484,1.0,-0.022878152581803
637484,4.0,-0.0221467330221449
637484,0.25,0.0457911679055617
637484,1.0,0.0445615422143385
637484,4.0,0.0424399166720169
637484,0.25,0.0002281654282131
637484,1.0,-0.0034478980837902
637484,4.0,-0.006900263075414
637484,0.25,-0.0269894998317446
637484,1.0,-0.022398817673172
637484,4.0,-0.0184605291451363
637484,0.25,-0.0379676338409838
637484,1.0,-0.0435208472456526
637484,4.0,-0.04733845583297
637484,0.25,-0.0171592666371782
637484,1.0,-0.0195233324323778
637484,4.0,-0.0212490835159102
637484,0.25,0.0164523699407345
637484,1.0,0.0209761984762953
637484,4.0,0.0220138323767755
637484,0.25,-0.0209719518741718
637484,1.0,-0.0267696367355333
637484,4.0,-0.0299296751625981
637484,0.25,0.0414293067063987
637484,1.0,0.0423324021215843
637484,4.0,0.0405960728687067
637484,0.25,0.0655401573203246
637484,1.0,0.0656005676120403
637484,4.0,0.0641423612339491
