variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
matched,93001,0,32,transition_mid,transition_mid,9601,93001288604,0.4082707166671753,0.11138717830181122,68.96678924560547,67.0,0.6211720108985901,0.34274131059646606,0.27991539239883423,0.0
matched,93001,0,32,sparse_drive,transition_mid,9601,93001288604,0.21437512338161469,0.06203221529722214,68.95897674560547,67.0,0.38752731680870056,0.44681283831596375,0.2978708744049072,0.0
matched,93001,0,32,transition_mid,transition_mid,9602,93001288605,0.361275315284729,0.10314217209815979,68.95702362060547,67.0,0.5689452886581421,0.365008682012558,0.2936542332172394,0.0
matched,93001,0,32,sparse_drive,transition_mid,9602,93001288605,0.21181342005729675,0.0637127086520195,68.94725799560547,67.0,0.3805112838745117,0.44334524869918823,0.3103949725627899,0.0
matched,93001,0,32,transition_mid,transition_mid,9603,93001288606,0.4396219253540039,0.12291879951953888,68.96483612060547,67.0,0.6464335322380066,0.3199270963668823,0.2872493863105774,0.0
matched,93001,0,32,sparse_drive,transition_mid,9603,93001288606,0.2364630103111267,0.07015584409236908,68.93749237060547,67.0,0.41663676500320435,0.43244802951812744,0.3058845102787018,0.0
matched,93001,0,32,transition_mid,transition_mid,9604,93001288607,0.38741207122802734,0.10960964113473892,68.95897674560547,67.0,0.5967934131622314,0.3508438766002655,0.2908617854118347,0.0
matched,93001,0,32,sparse_drive,transition_mid,9604,93001288607,0.28095120191574097,0.0854211300611496,68.94725799560547,67.0,0.4666591286659241,0.39795199036598206,0.3139680027961731,0.0
matched,93001,0,32,transition_mid,transition_mid,9605,93001288608,0.40904346108436584,0.1162610650062561,68.97460174560547,67.0,0.6178007125854492,0.33790385723114014,0.29227426648139954,0.0
matched,93001,0,32,sparse_drive,transition_mid,9605,93001288608,0.24512599408626556,0.07520833611488342,68.94921112060547,67.0,0.43055784702301025,0.4306781589984894,0.31702569127082825,0.0
matched,93001,0,32,transition_mid,transition_mid,9606,93001288609,0.43092942237854004,0.11659035086631775,68.97460174560547,67.0,0.6386061906814575,0.32520318031311035,0.2774631679058075,0.0
matched,93001,0,32,sparse_drive,transition_mid,9606,93001288609,0.34263938665390015,0.10190320014953613,68.96092987060547,67.0,0.5456929206848145,0.37210220098495483,0.3066721260547638,0.0
matched,93001,0,32,transition_mid,transition_mid,9607,93001288610,0.3562358021736145,0.09736231714487076,68.94530487060547,67.0,0.5653197169303894,0.369850754737854,0.28043609857559204,0.0
matched,93001,0,32,sparse_drive,transition_mid,9607,93001288610,0.24105684459209442,0.07134149223566055,68.93358612060547,67.0,0.41908180713653564,0.4247976839542389,0.3050782382488251,0.0
matched,93001,0,32,transition_mid,transition_mid,9608,93001288611,0.3705408573150635,0.10301332920789719,68.96288299560547,67.0,0.5856232643127441,0.36727094650268555,0.2855219542980194,0.0
matched,93001,0,32,sparse_drive,transition_mid,9608,93001288611,0.23991739749908447,0.07548507302999496,68.95116424560547,67.0,0.416635125875473,0.4241546392440796,0.32567524909973145,0.0
matched,93001,0,32,transition_mid,sparse_drive,9601,93001288604,0.186733677983284,0.04534481465816498,70.33788299560547,68.0,0.35752975940704346,0.4777114987373352,0.24778082966804504,0.0
matched,93001,0,32,sparse_drive,sparse_drive,9601,93001288604,0.3874324858188629,0.09692508727312088,70.33007049560547,68.0,0.5934107303619385,0.3471091091632843,0.25559720396995544,0.0
matched,93001,0,32,transition_mid,sparse_drive,9602,93001288605,0.2791808545589447,0.06742744892835617,70.32616424560547,68.0,0.4798905849456787,0.41824060678482056,0.24638646841049194,0.0
