variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93001,3,32,transition_mid,transition_mid,9601,93001288604,0.4731372594833374,0.35179662704467773,20.441402435302734,69.5,0.6669760346412659,0.290623277425766,0.9583507180213928,0.0
primary,93001,3,32,sparse_drive,transition_mid,9601,93001288604,0.25003886222839355,0.18555204570293427,20.134761810302734,69.0,0.41719627380371094,0.4006684720516205,0.9551213979721069,0.0
primary,93001,3,32,transition_mid,transition_mid,9602,93001288605,0.4343923032283783,0.3209819793701172,20.410152435302734,69.5,0.6081684827804565,0.28573691844940186,0.9481003880500793,0.0
primary,93001,3,32,sparse_drive,transition_mid,9602,93001288605,0.2934964895248413,0.21784964203834534,20.164058685302734,69.5,0.4808729290962219,0.3896588981151581,0.9554856419563293,0.0
primary,93001,3,32,transition_mid,transition_mid,9603,93001288606,0.5709933638572693,0.4304777681827545,20.408199310302734,69.5,0.7610319256782532,0.24971169233322144,0.9819533824920654,0.0
primary,93001,3,32,sparse_drive,transition_mid,9603,93001288606,0.2692495882511139,0.1965905725955963,20.134761810302734,69.0,0.4375469386577606,0.38463836908340454,0.9290326237678528,0.0
primary,93001,3,32,transition_mid,transition_mid,9604,93001288607,0.5612690448760986,0.4292638897895813,20.380855560302734,69.5,0.7623770236968994,0.26379072666168213,1.00770103931427,0.0
primary,93001,3,32,sparse_drive,transition_mid,9604,93001288607,0.6026455760002136,0.433707058429718,20.244136810302734,69.5,0.7953478693962097,0.2422867864370346,0.9069638848304749,0.0
primary,93001,3,32,transition_mid,transition_mid,9605,93001288608,0.6970427632331848,0.5169575810432434,20.390621185302734,69.5,0.862239420413971,0.19159024953842163,0.9541230797767639,0.0
primary,93001,3,32,sparse_drive,transition_mid,9605,93001288608,0.6385552287101746,0.4649887979030609,20.251949310302734,69.5,0.8153244853019714,0.21680845320224762,0.9248608946800232,0.0
primary,93001,3,32,transition_mid,transition_mid,9606,93001288609,0.44243597984313965,0.33156001567840576,20.423824310302734,69.5,0.6540305018424988,0.32352393865585327,0.9715771675109863,0.0
primary,93001,3,32,sparse_drive,transition_mid,9606,93001288609,0.5089930891990662,0.37457478046417236,20.251949310302734,69.5,0.7068629860877991,0.27992674708366394,0.9415056109428406,0.0
primary,93001,3,32,transition_mid,transition_mid,9607,93001288610,0.7109811902046204,0.5144550204277039,20.414058685302734,69.5,0.8683887124061584,0.18126387894153595,0.9151282906532288,0.0
primary,93001,3,32,sparse_drive,transition_mid,9607,93001288610,0.3017005920410156,0.22478599846363068,20.173824310302734,69.5,0.4989107847213745,0.39528149366378784,0.9617651700973511,0.0
primary,93001,3,32,transition_mid,transition_mid,9608,93001288611,0.6136047840118408,0.45225170254707336,20.412105560302734,69.5,0.791688859462738,0.22494204342365265,0.9439694285392761,0.0
primary,93001,3,32,sparse_drive,transition_mid,9608,93001288611,0.7270517945289612,0.5185937881469727,20.255857467651367,69.5,0.8771697878837585,0.17113904654979706,0.8938357830047607,0.0
primary,93001,3,32,transition_mid,sparse_drive,9601,93001288604,0.2873469591140747,0.2133157104253769,21.812496185302734,70.0,0.4823579490184784,0.40428683161735535,0.9557225704193115,0.0
primary,93001,3,32,sparse_drive,sparse_drive,9601,93001288604,0.6730614900588989,0.493804931640625,21.597652435302734,69.5,0.8430348634719849,0.20162080228328705,0.9366296529769897,0.0
primary,93001,3,32,transition_mid,sparse_drive,9602,93001288605,0.2351047396659851,0.1738356649875641,21.804683685302734,69.5,0.3963187038898468,0.40677857398986816,0.94914710521698,0.0
primary,93001,3,32,sparse_drive,sparse_drive,9602,93001288605,0.5786505937576294,0.43482092022895813,21.583980560302734,69.5,0.7628604769706726,0.24147257208824158,0.9762535691261292,0.0
primary,93001,3,32,transition_mid,sparse_drive,9603,93001288606,0.2531615197658539,0.18550139665603638,21.812496185302734,70.0,0.43343037366867065,0.4159119427204132,0.934617280960083,0.0
primary,93001,3,32,sparse_drive,sparse_drive,9603,93001288606,0.7307795882225037,0.5446524620056152,21.617183685302734,69.5,0.8746564984321594,0.16449537873268127,0.9623051881790161,0.0
primary,93001,3,32,transition_mid,sparse_drive,9604,93001288607,0.35190656781196594,0.2576901912689209,21.806636810302734,69.5,0.5724341869354248,0.3852453827857971,0.9336018562316895,0.0
primary,93001,3,32,sparse_drive,sparse_drive,9604,93001288607,0.7600499987602234,0.5531234741210938,21.560543060302734,69.5,0.8979557156562805,0.15357743203639984,0.9239189624786377,0.0
primary,93001,3,32,transition_mid,sparse_drive,9605,93001288608,0.2006281167268753,0.14573940634727478,21.867183685302734,70.0,0.34363052248954773,0.41615161299705505,0.9210963249206543,0.0
primary,93001,3,32,sparse_drive,sparse_drive,9605,93001288608,0.7235122919082642,0.5376818776130676,21.619136810302734,69.5,0.8705421686172485,0.16889458894729614,0.9574899077415466,0.0
primary,93001,3,32,transition_mid,sparse_drive,9606,93001288609,0.3391103744506836,0.24473139643669128,21.861324310302734,70.0,0.5535308122634888,0.3873685598373413,0.9111558198928833,0.0
primary,93001,3,32,sparse_drive,sparse_drive,9606,93001288609,0.7176722288131714,0.5303657650947571,21.617183685302734,69.5,0.8726112842559814,0.17755793035030365,0.9482909440994263,0.0
primary,93001,3,32,transition_mid,sparse_drive,9607,93001288610,0.32329967617988586,0.23798589408397675,21.818355560302734,69.5,0.525438666343689,0.38470515608787537,0.9419469237327576,0.0
primary,93001,3,32,sparse_drive,sparse_drive,9607,93001288610,0.5993227362632751,0.44119885563850403,21.605464935302734,69.5,0.7785935401916504,0.23024950921535492,0.9420492649078369,0.0
primary,93001,3,32,transition_mid,sparse_drive,9608,93001288611,0.6018454432487488,0.4412880539894104,21.828121185302734,70.0,0.8001378774642944,0.2478228360414505,0.9356665015220642,0.0
primary,93001,3,32,sparse_drive,sparse_drive,9608,93001288611,0.5463435649871826,0.3976249396800995,21.572261810302734,69.5,0.7490951418876648,0.2706619203090668,0.9240183234214783,0.0
