graph,task,coupling,readout,method,score,normalized_score,mask_count
formal-01,delayed_recall,0.035,state_matched,random_search,0.9115655390433857,0.9115655390433857,1
formal-01,delayed_recall,0.035,cross_state_readout,random_search,-15.519899160543087,-15.519899160543087,1
formal-01,delayed_recall,0.05,state_matched,random_search,0.9268541497187232,0.9268541497187232,1
formal-01,delayed_recall,0.05,cross_state_readout,random_search,-3.0037511391694407,-3.0037511391694407,1
formal-01,delayed_recall,0.035,state_matched,local_search,0.9349066913283195,0.9349066913283195,1
formal-01,delayed_recall,0.035,cross_state_readout,local_search,-5.492588763160119,-5.492588763160119,1
formal-01,delayed_recall,0.05,state_matched,local_search,0.9320987152577299,0.9320987152577299,1
formal-01,delayed_recall,0.05,cross_state_readout,local_search,-1.6090453462083105,-1.6090453462083105,1
formal-01,delayed_recall,0.035,state_matched,population_search,0.9241195148242222,0.9241195148242222,1
formal-01,delayed_recall,0.035,cross_state_readout,population_search,-7.84788015087355,-7.84788015087355,1
formal-01,delayed_recall,0.05,state_matched,population_search,0.9137638066939888,0.9137638066939888,1
formal-01,delayed_recall,0.05,cross_state_readout,population_search,-4.952217495321697,-4.952217495321697,1
formal-01,delayed_recall,0.035,state_matched,specialist_pool_0.035,0.9241195148242222,0.9241195148242222,1
formal-01,delayed_recall,0.035,cross_state_readout,specialist_pool_0.035,-7.84788015087355,-7.84788015087355,1
formal-01,delayed_recall,0.05,state_matched,specialist_pool_0.035,0.9137638066939888,0.9137638066939888,1
formal-01,delayed_recall,0.05,cross_state_readout,specialist_pool_0.035,-4.952217495321697,-4.952217495321697,1
formal-01,delayed_recall,0.035,state_matched,specialist_pool_0.05,0.9063981554327961,0.9063981554327961,1
formal-01,delayed_recall,0.035,cross_state_readout,specialist_pool_0.05,0.10908527712744098,0.10908527712744098,1
formal-01,delayed_recall,0.05,state_matched,specialist_pool_0.05,0.9230180562770985,0.9230180562770985,1
formal-01,delayed_recall,0.05,cross_state_readout,specialist_pool_0.05,-3.0728589794247076,-3.0728589794247076,1
formal-01,delayed_recall,0.035,state_matched,high_degree,0.8803298338212259,0.8803298338212259,1
formal-01,delayed_recall,0.035,cross_state_readout,high_degree,-5.133286194274828,-5.133286194274828,1
formal-01,delayed_recall,0.05,state_matched,high_degree,0.8931976210837721,0.8931976210837721,1
formal-01,delayed_recall,0.05,cross_state_readout,high_degree,-4.7350379127559306,-4.7350379127559306,1
formal-01,delayed_recall,0.035,state_matched,spectral,0.8941936630169306,0.8941936630169306,1
formal-01,delayed_recall,0.035,cross_state_readout,spectral,-18.31066739695626,-18.31066739695626,1
formal-01,delayed_recall,0.05,state_matched,spectral,0.8910593598449384,0.8910593598449384,1
formal-01,delayed_recall,0.05,cross_state_readout,spectral,-0.4617803451924145,-0.4617803451924145,1
formal-01,delayed_recall,0.035,state_matched,input_energy_degree,0.9398937121480735,0.9398937121480735,1
formal-01,delayed_recall,0.035,cross_state_readout,input_energy_degree,-15.071032616245855,-15.071032616245855,1
formal-01,delayed_recall,0.05,state_matched,input_energy_degree,0.833983692780436,0.833983692780436,1
formal-01,delayed_recall,0.05,cross_state_readout,input_energy_degree,-2.7698344548709573,-2.7698344548709573,1
formal-01,delayed_recall,0.035,state_matched,input_quota_random,0.9003674373924468,0.9003674373924468,1
formal-01,delayed_recall,0.035,cross_state_readout,input_quota_random,-6.788727532262518,-6.788727532262518,1
formal-01,delayed_recall,0.05,state_matched,input_quota_random,0.9016888412456593,0.9016888412456593,1
formal-01,delayed_recall,0.05,cross_state_readout,input_quota_random,-14.022612615748637,-14.022612615748637,1
formal-01,delayed_recall,0.035,state_matched,unselected_random,0.8791214052712942,0.8791214052712942,8
formal-01,delayed_recall,0.035,cross_state_readout,unselected_random,-10.671706026077414,-10.671706026077414,8
formal-01,delayed_recall,0.05,state_matched,unselected_random,0.9015727664864862,0.9015727664864862,8
formal-01,delayed_recall,0.05,cross_state_readout,unselected_random,-6.227870744202224,-6.227870744202224,8
formal-01,delayed_recall,0.035,state_matched,group_matched_random,0.9043682609100666,0.9043682609100666,4
formal-01,delayed_recall,0.035,cross_state_readout,group_matched_random,-7.127387204953379,-7.127387204953379,4
formal-01,delayed_recall,0.05,state_matched,group_matched_random,0.9140331899225846,0.9140331899225846,4
formal-01,delayed_recall,0.05,cross_state_readout,group_matched_random,-2.6508307390517563,-2.6508307390517563,4
formal-02,delayed_recall,0.035,state_matched,random_search,0.9184089134580666,0.9184089134580666,1
formal-02,delayed_recall,0.035,cross_state_readout,random_search,-4.802420345534346,-4.802420345534346,1
formal-02,delayed_recall,0.05,state_matched,random_search,0.9306772443533843,0.9306772443533843,1
formal-02,delayed_recall,0.05,cross_state_readout,random_search,-1.0159398964558384,-1.0159398964558384,1
formal-02,delayed_recall,0.035,state_matched,local_search,0.9105196942843748,0.9105196942843748,1
formal-02,delayed_recall,0.035,cross_state_readout,local_search,-24.92451398788822,-24.92451398788822,1
formal-02,delayed_recall,0.05,state_matched,local_search,0.9299254591884569,0.9299254591884569,1
formal-02,delayed_recall,0.05,cross_state_readout,local_search,-11.897307194331514,-11.897307194331514,1
formal-02,delayed_recall,0.035,state_matched,population_search,0.9264165868433462,0.9264165868433462,1
formal-02,delayed_recall,0.035,cross_state_readout,population_search,-9.732890320498853,-9.732890320498853,1
formal-02,delayed_recall,0.05,state_matched,population_search,0.924071427326961,0.924071427326961,1
formal-02,delayed_recall,0.05,cross_state_readout,population_search,-1.949381226607212,-1.949381226607212,1
formal-02,delayed_recall,0.035,state_matched,specialist_pool_0.035,0.9269579358759541,0.9269579358759541,1
formal-02,delayed_recall,0.035,cross_state_readout,specialist_pool_0.035,-32.61562179430858,-32.61562179430858,1
formal-02,delayed_recall,0.05,state_matched,specialist_pool_0.035,0.9218958173671419,0.9218958173671419,1
formal-02,delayed_recall,0.05,cross_state_readout,specialist_pool_0.035,-3.1962807241979894,-3.1962807241979894,1
