variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,7,32,transition_mid,transition_mid,9601,93003288610,0.7145891785621643,0.5255777835845947,20.306636810302734,69.5,0.8601257801055908,0.16920389235019684,0.9405970573425293,0.0
primary,93003,7,32,sparse_drive,transition_mid,9601,93003288610,0.6059327125549316,0.4431084096431732,20.335933685302734,69.5,0.7781679034233093,0.22133424878120422,0.9314801096916199,0.0
primary,93003,7,32,transition_mid,transition_mid,9602,93003288611,0.788149893283844,0.5765672922134399,20.332027435302734,69.5,0.9107122421264648,0.13457857072353363,0.9320434331893921,0.0
primary,93003,7,32,sparse_drive,transition_mid,9602,93003288611,0.8003177046775818,0.592670738697052,20.339839935302734,69.5,0.9163500666618347,0.1266244500875473,0.9516835808753967,0.0
primary,93003,7,32,transition_mid,transition_mid,9603,93003288612,0.3507472276687622,0.2516314685344696,20.296871185302734,69.5,0.531178891658783,0.33968156576156616,0.9022991061210632,0.0
primary,93003,7,32,sparse_drive,transition_mid,9603,93003288612,0.7214272618293762,0.5278626084327698,20.365230560302734,69.5,0.8701646327972412,0.1709301471710205,0.932359516620636,0.0
primary,93003,7,32,transition_mid,transition_mid,9604,93003288613,0.6163702607154846,0.4500587284564972,20.324214935302734,69.5,0.7877377867698669,0.21754391491413116,0.9291040301322937,0.0
primary,93003,7,32,sparse_drive,transition_mid,9604,93003288613,0.6609706878662109,0.4977560043334961,20.355466842651367,69.5,0.8276661038398743,0.20140424370765686,0.9800052046775818,0.0
primary,93003,7,32,transition_mid,transition_mid,9605,93003288614,0.27929258346557617,0.21337832510471344,20.257808685302734,69.5,0.4419526159763336,0.3680485785007477,1.0057432651519775,0.0
primary,93003,7,32,sparse_drive,transition_mid,9605,93003288614,0.5940138101577759,0.4486166536808014,20.318355560302734,69.5,0.7750535011291504,0.2335834801197052,0.9850165247917175,0.0
primary,93003,7,32,transition_mid,transition_mid,9606,93003288615,0.5620890259742737,0.41665026545524597,20.302730560302734,69.5,0.7335488796234131,0.23374013602733612,0.9532551169395447,0.0
