subject,C,rho_within
619293,0.25,0.1655805307579793
619293,1.0,0.1667710379604228
619293,4.0,0.1673994215303548
619293,0.25,0.2588171919832089
619293,1.0,0.2636909056150489
619293,4.0,0.2626379624652009
619293,0.25,0.2259375039964059
619293,1.0,0.2295716103980777
619293,4.0,0.2301028587433325
619293,0.25,0.204238429801506
619293,1.0,0.2122849202300243
619293,4.0,0.219159167181906
619293,0.25,0.1789997372100477
619293,1.0,0.1866313337658606
619293,4.0,0.1926421252074901
619293,0.25,0.2284484725408719
619293,1.0,0.2376391725930846
619293,4.0,0.2423513518829732
619293,0.25,0.1915488719212173
619293,1.0,0.1977098430953909
619293,4.0,0.2012475826006828
619293,0.25,0.2138642773480624
619293,1.0,0.2178663182155744
619293,4.0,0.2188990224130562
619293,0.25,0.2855143524846448
619293,1.0,0.2826551191958987
619293,4.0,0.2783376447819026
619293,0.25,0.2274653057108427
619293,1.0,0.2286280978565198
619293,4.0,0.229362862933383
619293,0.25,0.1966099095245111
619293,1.0,0.1980481262395113
619293,4.0,0.2006813765538593
619293,0.25,0.2134454878216856
619293,1.0,0.2234529595030439
619293,4.0,0.2259640052907671
619296,0.25,0.2088589598737794
619296,1.0,0.2128707502140261
619296,4.0,0.2149896432821396
619296,0.25,0.1537438875472128
619296,1.0,0.1507420617228806
619296,4.0,0.1492037587691035
619296,0.25,0.1575246165495731
619296,1.0,0.1544220044000254
619296,4.0,0.1555597711723321
619296,0.25,0.2205175391377955
619296,1.0,0.2246806790048192
619296,4.0,0.2266465763897113
619296,0.25,0.1273676750884042
619296,1.0,0.1247135423794486
619296,4.0,0.1241644067299388
619296,0.25,0.1830790537624886
619296,1.0,0.1834162065156767
619296,4.0,0.1835519724180699
619296,0.25,0.1326590770145528
619296,1.0,0.1305010167213019
619296,4.0,0.1312425928219902
619296,0.25,0.1284683606263595
619296,1.0,0.1240009845620175
619296,4.0,0.1258579051753298
619296,0.25,0.1961580065293397
619296,1.0,0.1988099570703051
619296,4.0,0.1999346190013501
619296,0.25,0.1829871618448562
619296,1.0,0.1786159670526509
619296,4.0,0.178285570642539
