graph_seed,regime,k,near_optimal_count
42001,sparse_drive,8,1
42001,sparse_drive,32,2
42001,sparse_drive,64,3
42001,transition_dense,8,3
42001,transition_dense,32,1
42001,transition_dense,64,2
42001,transition_mid,8,1
42001,transition_mid,32,2
42001,transition_mid,64,1
42002,sparse_drive,8,1
42002,sparse_drive,32,2
42002,sparse_drive,64,1
42002,transition_dense,8,3
42002,transition_dense,32,1
42002,transition_dense,64,1
42002,transition_mid,8,3
42002,transition_mid,32,1
42002,transition_mid,64,1
42003,sparse_drive,8,4
42003,sparse_drive,32,1
42003,sparse_drive,64,1
42003,transition_dense,8,2
42003,transition_dense,32,1
42003,transition_dense,64,1
42003,transition_mid,8,3
42003,transition_mid,32,1
42003,transition_mid,64,1
