variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,4,32,transition_mid,transition_mid,9601,93002288607,0.2524746358394623,0.1940959095954895,20.207027435302734,69.0,0.4054238796234131,0.37725764513015747,1.0173228979110718,0.0
primary,93002,4,32,sparse_drive,transition_mid,9601,93002288607,0.624681293964386,0.4396509826183319,20.251949310302734,69.5,0.8092596530914307,0.2280830293893814,0.8747916221618652,0.0
primary,93002,4,32,transition_mid,transition_mid,9602,93002288608,0.3549903631210327,0.27213796973228455,20.267574310302734,69.0,0.5526924133300781,0.3577072024345398,1.0120452642440796,0.0
primary,93002,4,32,sparse_drive,transition_mid,9602,93002288608,0.5174739956855774,0.374891996383667,20.259761810302734,69.5,0.7269118428230286,0.28812000155448914,0.9169795513153076,0.0
primary,93002,4,32,transition_mid,transition_mid,9603,93002288609,0.21847717463970184,0.1676032841205597,20.263668060302734,69.0,0.3580911457538605,0.3898838460445404,1.01334810256958,0.0
primary,93002,4,32,sparse_drive,transition_mid,9603,93002288609,0.5143889784812927,0.36730486154556274,20.271480560302734,69.5,0.72983717918396,0.295200377702713,0.8954201936721802,0.0
primary,93002,4,32,transition_mid,transition_mid,9604,93002288610,0.3749302923679352,0.28818750381469727,20.234373092651367,69.0,0.5617167949676514,0.33252790570259094,1.0170027017593384,0.0
primary,93002,4,32,sparse_drive,transition_mid,9604,93002288610,0.330757200717926,0.239129900932312,20.248043060302734,69.5,0.5151417255401611,0.35792970657348633,0.9138544797897339,0.0
primary,93002,4,32,transition_mid,transition_mid,9605,93002288611,0.3345538079738617,0.25404244661331177,20.240230560302734,69.5,0.5335853099822998,0.3730078339576721,0.9946710467338562,0.0
primary,93002,4,32,sparse_drive,transition_mid,9605,93002288611,0.6438116431236267,0.4503839313983917,20.298824310302734,69.5,0.8221461176872253,0.2169133573770523,0.8664354681968689,0.0
