variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,15,32,transition_mid,transition_mid,9601,93002288607,0.6707889437675476,0.5085859894752502,20.203121185302734,69.5,0.8373188972473145,0.19888469576835632,0.991945743560791,0.0
primary,93002,15,32,sparse_drive,transition_mid,9601,93002288607,0.513231635093689,0.3801848292350769,20.193355560302734,69.5,0.7309364080429077,0.29784372448921204,0.9521759152412415,0.0
primary,93002,15,32,transition_mid,transition_mid,9602,93002288608,0.7747350931167603,0.5735297203063965,20.212886810302734,69.5,0.9011676907539368,0.14029859006404877,0.951123833656311,0.0
primary,93002,15,32,sparse_drive,transition_mid,9602,93002288608,0.6258949637413025,0.4641132056713104,20.218746185302734,69.5,0.80057692527771,0.21819505095481873,0.9538460969924927,0.0
primary,93002,15,32,transition_mid,transition_mid,9603,93002288609,0.296825647354126,0.21544183790683746,20.189449310302734,69.5,0.470957487821579,0.3697400391101837,0.9198351502418518,0.0
primary,93002,15,32,sparse_drive,transition_mid,9603,93002288609,0.5208349823951721,0.38866597414016724,20.191404342651367,69.5,0.7264683842658997,0.2830589711666107,0.9644073247909546,0.0
primary,93002,15,32,transition_mid,transition_mid,9604,93002288610,0.42036715149879456,0.30690136551856995,20.210933685302734,69.5,0.6357331275939941,0.3387678563594818,0.9288971424102783,0.0
primary,93002,15,32,sparse_drive,transition_mid,9604,93002288610,0.5050610899925232,0.37023887038230896,20.222654342651367,69.5,0.6920729279518127,0.2702198624610901,0.9353047609329224,0.0
primary,93002,15,32,transition_mid,transition_mid,9605,93002288611,0.3942480981349945,0.3000592887401581,20.173824310302734,69.5,0.598238468170166,0.34098508954048157,0.9988067150115967,0.0
primary,93002,15,32,sparse_drive,transition_mid,9605,93002288611,0.4423205852508545,0.32853981852531433,20.214839935302734,69.5,0.6466566920280457,0.31598854064941406,0.9566169381141663,0.0
primary,93002,15,32,transition_mid,transition_mid,9606,93002288612,0.7355254292488098,0.5425601601600647,20.222652435302734,69.5,0.8809332251548767,0.16506104171276093,0.945304274559021,0.0
primary,93002,15,32,sparse_drive,transition_mid,9606,93002288612,0.5151084065437317,0.37870490550994873,20.199214935302734,69.5,0.6981419920921326,0.2621724307537079,0.9399396777153015,0.0
primary,93002,15,32,transition_mid,transition_mid,9607,93002288613,0.6945992708206177,0.5089640617370605,20.201168060302734,69.5,0.8536790013313293,0.18634605407714844,0.9346291422843933,0.0
