variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93003,14,32,transition_mid,transition_mid,9601,93003288610,0.6492429971694946,0.4746702015399933,20.312496185302734,69.5,0.8244176506996155,0.21248294413089752,0.9311149716377258,0.0
primary,93003,14,32,sparse_drive,transition_mid,9601,93003288610,0.665124773979187,0.46748849749565125,20.357418060302734,69.5,0.8300376534461975,0.19868117570877075,0.872927188873291,0.0
primary,93003,14,32,transition_mid,transition_mid,9602,93003288611,0.3655300736427307,0.26842203736305237,20.328121185302734,69.5,0.5718483328819275,0.3607918918132782,0.9380745887756348,0.0
primary,93003,14,32,sparse_drive,transition_mid,9602,93003288611,0.542559027671814,0.3948882520198822,20.345699310302734,69.5,0.724523663520813,0.2511506974697113,0.9240875840187073,0.0
primary,93003,14,32,transition_mid,transition_mid,9603,93003288612,0.6378173232078552,0.4832187294960022,20.306636810302734,69.5,0.7984229326248169,0.20115351676940918,0.9905881881713867,0.0
primary,93003,14,32,sparse_drive,transition_mid,9603,93003288612,0.3848312199115753,0.2615619897842407,20.365230560302734,69.5,0.5949344038963318,0.3531535267829895,0.8285186290740967,0.0
primary,93003,14,32,transition_mid,transition_mid,9604,93003288613,0.48551222681999207,0.36481717228889465,20.335933685302734,69.5,0.6619619131088257,0.26655563712120056,0.9761784076690674,0.0
primary,93003,14,32,sparse_drive,transition_mid,9604,93003288613,0.5475965142250061,0.39884480834007263,20.373043060302734,69.5,0.7257382869720459,0.24546284973621368,0.9252151846885681,0.0
primary,93003,14,32,transition_mid,transition_mid,9605,93003288614,0.5747755765914917,0.42395126819610596,20.279293060302734,69.5,0.7555674910545349,0.23927965760231018,0.9451828002929688,0.0
primary,93003,14,32,sparse_drive,transition_mid,9605,93003288614,0.6982246041297913,0.4892530143260956,20.367183685302734,69.5,0.8546079397201538,0.18298840522766113,0.8686942458152771,0.0
primary,93003,14,32,transition_mid,transition_mid,9606,93003288615,0.6828961968421936,0.5079147219657898,20.285152435302734,69.5,0.8449398279190063,0.19178126752376556,0.9588547945022583,0.0
primary,93003,14,32,sparse_drive,transition_mid,9606,93003288615,0.23383037745952606,0.1610419601202011,20.343746185302734,69.5,0.39299580454826355,0.40500539541244507,0.8455027341842651,0.0
primary,93003,14,32,transition_mid,transition_mid,9607,93003288616,0.5545952320098877,0.4170200228691101,20.296871185302734,69.5,0.738715648651123,0.24924397468566895,0.9773945212364197,0.0
primary,93003,14,32,sparse_drive,transition_mid,9607,93003288616,0.6387453675270081,0.43168896436691284,20.433589935302734,70.0,0.8125907778739929,0.21393968164920807,0.8214142322540283,0.0
primary,93003,14,32,transition_mid,transition_mid,9608,93003288617,0.21529383957386017,0.15321718156337738,20.322261810302734,69.5,0.36436864733695984,0.40913182497024536,0.8905501961708069,0.0
primary,93003,14,32,sparse_drive,transition_mid,9608,93003288617,0.7911266684532166,0.5582556128501892,20.343748092651367,69.5,0.911079466342926,0.1316601037979126,0.878458559513092,0.0
primary,93003,14,32,transition_mid,sparse_drive,9601,93003288610,0.43782246112823486,0.3128065764904022,21.767574310302734,70.0,0.6483832597732544,0.3247474730014801,0.8962353467941284,0.0
primary,93003,14,32,sparse_drive,sparse_drive,9601,93003288610,0.4065678119659424,0.2981007397174835,21.673824310302734,69.5,0.5913895964622498,0.31252118945121765,0.9356405138969421,0.0
primary,93003,14,32,transition_mid,sparse_drive,9602,93003288611,0.2778230905532837,0.1992018222808838,21.728511810302734,70.0,0.46039989590644836,0.3965613842010498,0.9014632105827332,0.0
primary,93003,14,32,sparse_drive,sparse_drive,9602,93003288611,0.6851258873939514,0.49791377782821655,21.662105560302734,69.5,0.8518456816673279,0.1957159787416458,0.9218001365661621,0.0
primary,93003,14,32,transition_mid,sparse_drive,9603,93003288612,0.1873951107263565,0.13638946413993835,21.728511810302734,70.0,0.34983131289482117,0.46432724595069885,0.924071192741394,0.0
primary,93003,14,32,sparse_drive,sparse_drive,9603,93003288612,0.31033191084861755,0.22841644287109375,21.666011810302734,69.5,0.48147955536842346,0.35546189546585083,0.9417803883552551,0.0
primary,93003,14,32,transition_mid,sparse_drive,9604,93003288613,0.48423564434051514,0.33858662843704224,21.804683685302734,70.0,0.700793445110321,0.30901801586151123,0.8657703995704651,0.0
primary,93003,14,32,sparse_drive,sparse_drive,9604,93003288613,0.6314913630485535,0.4635081887245178,21.673824310302734,69.5,0.8187046647071838,0.22867009043693542,0.9373228549957275,0.0
primary,93003,14,32,transition_mid,sparse_drive,9605,93003288614,0.19631342589855194,0.13682298362255096,21.812496185302734,70.0,0.3699650764465332,0.46937310695648193,0.8613682389259338,0.0
primary,93003,14,32,sparse_drive,sparse_drive,9605,93003288614,0.26862531900405884,0.19015268981456757,21.749996185302734,69.5,0.4508134126663208,0.4041319489479065,0.8829082250595093,0.0
primary,93003,14,32,transition_mid,sparse_drive,9606,93003288615,0.2734951078891754,0.19622716307640076,21.738277435302734,70.0,0.44272032380104065,0.38223960995674133,0.9024311304092407,0.0
primary,93003,14,32,sparse_drive,sparse_drive,9606,93003288615,0.3272719383239746,0.23356038331985474,21.703121185302734,69.5,0.5258058905601501,0.37758028507232666,0.8946002125740051,0.0
primary,93003,14,32,transition_mid,sparse_drive,9607,93003288616,0.1603473424911499,0.11672017723321915,21.734371185302734,69.5,0.2980617582798004,0.46203315258026123,0.9242905974388123,0.0
primary,93003,14,32,sparse_drive,sparse_drive,9607,93003288616,0.30892398953437805,0.22086894512176514,21.742183685302734,70.0,0.5107614398002625,0.395169734954834,0.8972622156143188,0.0
primary,93003,14,32,transition_mid,sparse_drive,9608,93003288617,0.3301175534725189,0.23432999849319458,21.738277435302734,70.0,0.5196365714073181,0.3647145628929138,0.8868572115898132,0.0
primary,93003,14,32,sparse_drive,sparse_drive,9608,93003288617,0.46749183535575867,0.34295472502708435,21.652339935302734,69.5,0.6771518588066101,0.3096204102039337,0.9364908337593079,0.0
