variant,graph_seed,repeat,k,source_state,target_state,validation_seed,actual_noise_seed,alternative_spectral_score,rhythm_score,mean_rate_hz,dominant_frequency_hz,spectral_concentration,spectral_entropy,synchrony_proxy,silent_fraction
primary,93002,11,32,transition_mid,transition_mid,9601,93002288607,0.6551808714866638,0.48760825395584106,20.207027435302734,69.5,0.8155364990234375,0.1966259479522705,0.9599051475524902,0.0
primary,93002,11,32,sparse_drive,transition_mid,9601,93002288607,0.6145486831665039,0.4667259454727173,20.289058685302734,69.5,0.7979665994644165,0.22985659539699554,0.994940996170044,0.0
primary,93002,11,32,transition_mid,transition_mid,9602,93002288608,0.36947229504585266,0.27627888321876526,20.222652435302734,69.5,0.5669878125190735,0.3483593463897705,0.9678686857223511,0.0
primary,93002,11,32,sparse_drive,transition_mid,9602,93002288608,0.45645928382873535,0.3375841975212097,20.273433685302734,69.5,0.6399315595626831,0.2867060601711273,0.9495323896408081,0.0
primary,93002,11,32,transition_mid,transition_mid,9603,93002288609,0.6533478498458862,0.4894837737083435,20.234373092651367,69.5,0.8234704732894897,0.20659226179122925,0.9711134433746338,0.0
primary,93002,11,32,sparse_drive,transition_mid,9603,93002288609,0.2362954467535019,0.17755535244941711,20.201168060302734,69.0,0.39028725028038025,0.39456015825271606,0.9761916399002075,0.0
primary,93002,11,32,transition_mid,transition_mid,9604,93002288610,0.6636993885040283,0.4958653151988983,20.224605560302734,69.5,0.8355796933174133,0.20570187270641327,0.9664120674133301,0.0
primary,93002,11,32,sparse_drive,transition_mid,9604,93002288610,0.6302609443664551,0.4595198929309845,20.302730560302734,69.5,0.8111967444419861,0.22304794192314148,0.9267919063568115,0.0
primary,93002,11,32,transition_mid,transition_mid,9605,93002288611,0.43308061361312866,0.324240118265152,20.214839935302734,69.5,0.6311988830566406,0.31387612223625183,0.9699516892433167,0.0
primary,93002,11,32,sparse_drive,transition_mid,9605,93002288611,0.7295704483985901,0.5174251794815063,20.275386810302734,69.5,0.8778907656669617,0.16895073652267456,0.8856105804443359,0.0
primary,93002,11,32,transition_mid,transition_mid,9606,93002288612,0.6533730626106262,0.48002538084983826,20.218746185302734,69.5,0.827688992023468,0.21060556173324585,0.9388382434844971,0.0
primary,93002,11,32,sparse_drive,transition_mid,9606,93002288612,0.7410287857055664,0.5336557030677795,20.298824310302734,69.5,0.883411705493927,0.16117386519908905,0.9079670906066895,0.0
primary,93002,11,32,transition_mid,transition_mid,9607,93002288613,0.6047811508178711,0.44088345766067505,20.226558685302734,69.5,0.7825040221214294,0.22712068259716034,0.9265827536582947,0.0
primary,93002,11,32,sparse_drive,transition_mid,9607,93002288613,0.435729056596756,0.30649128556251526,20.300777435302734,69.5,0.6474934816360474,0.3270525634288788,0.8739960789680481,0.0
primary,93002,11,32,transition_mid,transition_mid,9608,93002288614,0.2664044201374054,0.2023155838251114,20.187496185302734,69.5,0.410003662109375,0.3502389192581177,0.994867742061615,0.0
primary,93002,11,32,sparse_drive,transition_mid,9608,93002288614,0.209706112742424,0.1486755758523941,20.310543060302734,70.0,0.3340723216533661,0.372273325920105,0.8851122260093689,0.0
primary,93002,11,32,transition_mid,sparse_drive,9601,93002288607,0.6253305077552795,0.46337613463401794,21.531246185302734,69.5,0.8092581629753113,0.22727936506271362,0.9527154564857483,0.0
primary,93002,11,32,sparse_drive,sparse_drive,9601,93002288607,0.6203086972236633,0.4558045566082001,21.642574310302734,69.5,0.808551013469696,0.23281437158584595,0.9390876293182373,0.0
primary,93002,11,32,transition_mid,sparse_drive,9602,93002288608,0.5783088803291321,0.41750413179397583,21.535152435302734,69.5,0.7742893099784851,0.25311005115509033,0.9116843342781067,0.0
primary,93002,11,32,sparse_drive,sparse_drive,9602,93002288608,0.7310847640037537,0.5418272614479065,21.650386810302734,69.5,0.8747027516365051,0.1641906201839447,0.9529768824577332,0.0
primary,93002,11,32,transition_mid,sparse_drive,9603,93002288609,0.3862038850784302,0.2798342704772949,21.537105560302734,69.5,0.5951326489448547,0.35106250643730164,0.917213499546051,0.0
primary,93002,11,32,sparse_drive,sparse_drive,9603,93002288609,0.4537738263607025,0.33221787214279175,21.650386810302734,69.5,0.6763291358947754,0.3290635943412781,0.9332857728004456,0.0
primary,93002,11,32,transition_mid,sparse_drive,9604,93002288610,0.7581129670143127,0.5554377436637878,21.523433685302734,69.5,0.8938414454460144,0.15184848010540009,0.9344422221183777,0.0
primary,93002,11,32,sparse_drive,sparse_drive,9604,93002288610,0.6753056049346924,0.5045909881591797,21.623043060302734,69.5,0.8414029479026794,0.19740523397922516,0.9665944576263428,0.0
