complexity_fraction,mean_rate_hz_mean,mean_rate_hz_std,mean_rate_hz_n,mean_rate_hz_sem,mean_rate_hz_ci95,source_fraction_column,semantic_fraction_name,aggregation_scope
0.0,8.81746945263124,1.0159084637859523,1360,0.027547686018866792,0.05399346459697891,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.005,10.164050874255953,1.6293647224147931,1344,0.04444456651878869,0.08711135037682584,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.01,11.170216878255209,1.9524091614611725,1344,0.05325632601143501,0.10438239898241262,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.02,11.983250987738955,2.1372206223706685,1360,0.0579535310087928,0.11358892077723388,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.03,13.03441656203497,2.315741194968512,1344,0.06316701973732558,0.12380735868515813,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.05,14.603722417136618,2.5164516121670695,1360,0.06823687503823722,0.13374427507494496,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.08,16.634509858630953,2.7210742113647046,1344,0.07422338419744659,0.14547783302699532,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.1,17.779133119086424,1.775053389048434,16,0.4437633472621085,0.8697761606337326,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.12,19.664710635230655,2.9257895000817262,1344,0.07980745149780664,0.156422604935701,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.2,24.80386207217262,3.098425855985039,1344,0.084516494168213,0.16565232856969747,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.25,27.5317368170619,1.5572173049887033,16,0.3893043262471758,0.7630364794444646,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.35,34.184012276785715,3.102443142459313,1344,0.0846260746405742,0.16586710629552542,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.6,48.266255696614586,2.5209845277234995,1344,0.06876549061967521,0.13478036161456342,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
1.0,68.28683035714286,0.5862915068174174,1344,0.01599241196012222,0.03134512744183955,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
