complexity_fraction,rhythm_score_mean,rhythm_score_std,rhythm_score_n,rhythm_score_sem,rhythm_score_ci95,source_fraction_column,semantic_fraction_name,aggregation_scope
0.0,0.04454575076447864,0.042154939403344104,1360,0.001143086288010643,0.0022404491245008604,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.005,0.05362878995061055,0.035852727646371534,1344,0.0009779633232746042,0.0019168081136182243,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.01,0.069836113799343,0.04279584853237251,1344,0.0011673524721991775,0.002288010845510388,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.02,0.08407414917232792,0.049813577719475435,1360,0.001350760277533877,0.002647490143966399,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.03,0.09635540322488845,0.05444211611799757,1344,0.0014850304649065432,0.0029106597112168245,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.05,0.0985508716930528,0.050885911369595256,1360,0.0013798380062407325,0.002704482492231836,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.08,0.10281497360591382,0.05741559525369922,1344,0.0015661387578632378,0.003069631965411946,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.1,0.09005642195359631,0.032033948904207785,16,0.008008487226051946,0.015696634963061815,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.12,0.14061403120561555,0.09982081127504984,1344,0.002722835854760817,0.005336758275331201,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.2,0.23834880022655233,0.16714499597355115,1344,0.004559253548106472,0.008936136954288685,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.25,0.26817336568739414,0.08697072585425966,16,0.021742681463564915,0.042615655668587236,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.35,0.40680007665045426,0.2200272837520177,1344,0.006001736206840169,0.011763402965406731,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.6,0.4390750723818391,0.20005275634164754,1344,0.005456886303096172,0.010695497154068496,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
1.0,0.5315851597470361,0.2214577343845371,1344,0.00604075494672956,0.011839879695589937,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
