complexity_fraction,dominant_frequency_hz_mean,dominant_frequency_hz_std,dominant_frequency_hz_n,dominant_frequency_hz_sem,dominant_frequency_hz_ci95,source_fraction_column,semantic_fraction_name,aggregation_scope
0.0,14.839583333333332,8.07414070787921,1360,0.2189408800315607,0.42912412486185897,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.005,14.33110119047619,6.995858788335256,1344,0.1908276931474307,0.37402227856896414,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.01,14.669270833333334,6.777593328164366,1344,0.18487401461869576,0.3623530686526437,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.02,13.943504901960786,7.405326941561324,1360,0.20080512046621585,0.39357803611378306,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.03,15.225446428571429,10.002556997442001,1344,0.27284211061838204,0.5347705368120288,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.05,19.32095588235294,16.928056647390505,1360,0.45902638481232105,0.8996917142321492,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.08,26.13578869047619,22.634309458851764,1344,0.6174014071323998,1.2101067579795035,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.1,51.35416666666667,26.95825820013573,16,6.739564550033933,13.209546518066508,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.12,42.70200892857143,27.019682087069324,1344,0.7370222524859379,1.4445636148724383,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.2,67.30766369047619,10.430906988304091,1344,0.28452631452944854,0.5576715764777191,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.25,68.95833333333334,0.833333333333325,16,0.20833333333333126,0.4083333333333293,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.35,69.53869047619048,0.9865016354381871,1344,0.026909038199959663,0.05274171487192094,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
0.6,69.28422619047619,1.037611953872499,1344,0.028303186432212826,0.055474245407137135,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
1.0,68.33258928571429,0.6283999639818945,1344,0.017141014295562827,0.03359638801930314,hh_fraction,high-complexity fraction,global Stage1 baseline sweep; aggregated across all other sampled coupling/connection-probability/noise conditions
