complexity_fraction,frequency_state,fraction,window,source_fraction_column,semantic_fraction_name
0.0,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.0025,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.005,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.0075,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.01,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.015,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.02,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.025,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.03,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.04,high_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.05,high_frequency,0.0130208333333333,sparse_complexity,hh_fraction,high-complexity fraction
1.0,high_frequency,1.0,sparse_complexity,hh_fraction,high-complexity fraction
0.0,high_intermediate,0.02734375,sparse_complexity,hh_fraction,high-complexity fraction
0.0025,high_intermediate,0.0234375,sparse_complexity,hh_fraction,high-complexity fraction
0.005,high_intermediate,0.02734375,sparse_complexity,hh_fraction,high-complexity fraction
0.0075,high_intermediate,0.0078125,sparse_complexity,hh_fraction,high-complexity fraction
0.01,high_intermediate,0.0078125,sparse_complexity,hh_fraction,high-complexity fraction
0.015,high_intermediate,0.0104166666666666,sparse_complexity,hh_fraction,high-complexity fraction
0.02,high_intermediate,0.0078125,sparse_complexity,hh_fraction,high-complexity fraction
0.025,high_intermediate,0.0078125,sparse_complexity,hh_fraction,high-complexity fraction
0.03,high_intermediate,0.00390625,sparse_complexity,hh_fraction,high-complexity fraction
0.04,high_intermediate,0.015625,sparse_complexity,hh_fraction,high-complexity fraction
0.05,high_intermediate,0.0130208333333333,sparse_complexity,hh_fraction,high-complexity fraction
1.0,high_intermediate,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.0,intermediate,0.0455729166666666,sparse_complexity,hh_fraction,high-complexity fraction
0.0025,intermediate,0.1809895833333333,sparse_complexity,hh_fraction,high-complexity fraction
0.005,intermediate,0.1888020833333333,sparse_complexity,hh_fraction,high-complexity fraction
0.0075,intermediate,0.20703125,sparse_complexity,hh_fraction,high-complexity fraction
0.01,intermediate,0.2591145833333333,sparse_complexity,hh_fraction,high-complexity fraction
0.015,intermediate,0.2395833333333333,sparse_complexity,hh_fraction,high-complexity fraction
0.02,intermediate,0.28515625,sparse_complexity,hh_fraction,high-complexity fraction
0.025,intermediate,0.2877604166666667,sparse_complexity,hh_fraction,high-complexity fraction
0.03,intermediate,0.3450520833333333,sparse_complexity,hh_fraction,high-complexity fraction
0.04,intermediate,0.3450520833333333,sparse_complexity,hh_fraction,high-complexity fraction
0.05,intermediate,0.3424479166666667,sparse_complexity,hh_fraction,high-complexity fraction
1.0,intermediate,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.0,low_frequency,0.19921875,sparse_complexity,hh_fraction,high-complexity fraction
0.0025,low_frequency,0.515625,sparse_complexity,hh_fraction,high-complexity fraction
0.005,low_frequency,0.55078125,sparse_complexity,hh_fraction,high-complexity fraction
0.0075,low_frequency,0.703125,sparse_complexity,hh_fraction,high-complexity fraction
0.01,low_frequency,0.71875,sparse_complexity,hh_fraction,high-complexity fraction
0.015,low_frequency,0.7434895833333334,sparse_complexity,hh_fraction,high-complexity fraction
0.02,low_frequency,0.7044270833333334,sparse_complexity,hh_fraction,high-complexity fraction
0.025,low_frequency,0.7044270833333334,sparse_complexity,hh_fraction,high-complexity fraction
0.03,low_frequency,0.6510416666666666,sparse_complexity,hh_fraction,high-complexity fraction
0.04,low_frequency,0.63671875,sparse_complexity,hh_fraction,high-complexity fraction
0.05,low_frequency,0.6171875,sparse_complexity,hh_fraction,high-complexity fraction
1.0,low_frequency,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.0,weak_or_irregular,0.7278645833333334,sparse_complexity,hh_fraction,high-complexity fraction
0.0025,weak_or_irregular,0.2799479166666667,sparse_complexity,hh_fraction,high-complexity fraction
0.005,weak_or_irregular,0.2330729166666666,sparse_complexity,hh_fraction,high-complexity fraction
0.0075,weak_or_irregular,0.08203125,sparse_complexity,hh_fraction,high-complexity fraction
0.01,weak_or_irregular,0.0143229166666666,sparse_complexity,hh_fraction,high-complexity fraction
0.015,weak_or_irregular,0.0065104166666666,sparse_complexity,hh_fraction,high-complexity fraction
0.02,weak_or_irregular,0.0026041666666666,sparse_complexity,hh_fraction,high-complexity fraction
0.025,weak_or_irregular,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.03,weak_or_irregular,0.0,sparse_complexity,hh_fraction,high-complexity fraction
0.04,weak_or_irregular,0.0026041666666666,sparse_complexity,hh_fraction,high-complexity fraction
0.05,weak_or_irregular,0.0143229166666666,sparse_complexity,hh_fraction,high-complexity fraction
1.0,weak_or_irregular,0.0,sparse_complexity,hh_fraction,high-complexity fraction
