placement,complexity_fraction,mean,std,n,median,sem,ci95
cycle_proxy,0.00390625,0.04651305239634609,0.02459713606294187,24,0.03930320598039555,0.005020869374001527,0.009840903973042991
cycle_proxy,0.0078125,0.04408804658282233,0.03846065596857576,24,0.021686221535651,0.007850748524644912,0.015387467108304027
cycle_proxy,0.015625,0.023364715000335236,0.014671542964835686,24,0.0162422518483166,0.002994816166930643,0.00586983968718406
cycle_proxy,0.03125,0.03502479794625286,0.019691308424598177,24,0.0337729459144398,0.004019471500669435,0.007878164141312092
cycle_proxy,0.0625,0.11623577068487978,0.05693850441919042,24,0.12034344394787136,0.0116225235453518,0.022780146148889527
cycle_proxy,0.09375,0.1919388680600903,0.10158901352449651,24,0.1718188536406976,0.02073677055064298,0.040644070279260244
cycle_proxy,0.125,0.2612473794603702,0.12938554251638734,24,0.2519448713064139,0.0264107132715273,0.0517649980121935
cycle_proxy,0.15625,0.3191567418344301,0.1436513465919026,24,0.3203045689877366,0.029322708334488058,0.05747250833559659
cycle_proxy,0.1875,0.34606240167104857,0.1514728716960295,24,0.35787871013583256,0.030919270460778053,0.06060177010312498
cycle_proxy,0.25,0.368296479644265,0.1576493473043946,24,0.39452267306488625,0.03218003826488145,0.06307287499916764
cycle_proxy,0.375,0.38496399830938816,0.13908083179971065,24,0.41451808536275303,0.028389755909261977,0.05564392158215348
cycle_proxy,0.5,0.4195155204093728,0.13980147060032103,24,0.452849248486062,0.028536855688457534,0.055932237149376764
cycle_proxy,0.75,0.46988591036501476,0.16119295629615377,24,0.45109968633168507,0.03290337442136048,0.06449061386586653
feedback_hub,0.00390625,0.05039032720887198,0.02341456851059989,24,0.04645451651202985,0.004779478783200702,0.009367778415073377
feedback_hub,0.0078125,0.04134214611149707,0.032447160986212704,24,0.02426572848832965,0.006623249001513545,0.012981568042966548
feedback_hub,0.015625,0.02152541946736047,0.014028401993310895,24,0.0159341853079525,0.0028635355658545108,0.005612529709074841
feedback_hub,0.03125,0.03324753902244624,0.017403596404819446,24,0.0311150983950792,0.003552494240095286,0.00696288871058676
feedback_hub,0.0625,0.11290770154838081,0.059423328374315666,24,0.1101805991598997,0.012129736111243569,0.023774282778037392
feedback_hub,0.09375,0.1944780426983411,0.10566777572225687,24,0.1901617986904047,0.02156934439786513,0.04227591501981565
feedback_hub,0.125,0.2397088520644145,0.14407715129596432,24,0.24200540226653738,0.029409625355740394,0.05764286569725117
feedback_hub,0.15625,0.30738718148490624,0.1566547137558306,24,0.30341274869129287,0.03197700954196182,0.06267493870224518
feedback_hub,0.1875,0.3358344659096386,0.17046796115972457,24,0.3541794249799479,0.03479662686115888,0.0682013886478714
feedback_hub,0.25,0.35236249725929886,0.15841241466238326,24,0.39521939845923626,0.03233579873708528,0.06337816552468716
feedback_hub,0.375,0.3687226550686309,0.1424501466918074,24,0.39679360354717774,0.02907751443162844,0.05699192828599174
feedback_hub,0.5,0.4252458942440489,0.15673488194073557,24,0.4454446981382001,0.031993373804180346,0.06270701265619348
feedback_hub,0.75,0.48164854297941556,0.17146873139532381,24,0.45965012299499053,0.03500090823007414,0.06860178013094531
gpu_surrogate,0.00390625,0.04454806935567563,0.024442961903504284,24,0.042015987342737954,0.004989398705489478,0.009779221462759377
gpu_surrogate,0.0078125,0.04406849393508832,0.03399940427268871,24,0.026270651648331547,0.006940099335557464,0.013602594697692628
gpu_surrogate,0.015625,0.02255238691001006,0.01492919630952168,24,0.0150594598303431,0.0030474094356808196,0.005972922493934407
gpu_surrogate,0.03125,0.03731794939381942,0.01914335443160205,24,0.033697146893645155,0.003907620860222677,0.007658936886036446
gpu_surrogate,0.0625,0.11944208167827536,0.05825821894750447,24,0.11668108918188155,0.011891909145394067,0.02330814192497237
gpu_surrogate,0.09375,0.196539899070694,0.09900528054997315,24,0.20144696265230144,0.020209368265710844,0.039610361800793255
gpu_surrogate,0.125,0.267041136738046,0.14232541865209264,24,0.27638360654545685,0.029052054427135213,0.056942026677185016
