topology,placement,placement_gain_vs_random_mean
er,cycle_proxy,0.015461744879721831
modular,cycle_proxy,0.004410698854990065
scale_free,cycle_proxy,0.09440094531128106
small_world,cycle_proxy,-0.019588865787889043
er,feedback_hub,0.022103299746227673
modular,feedback_hub,0.01126117955786162
scale_free,feedback_hub,0.08967075936532991
small_world,feedback_hub,0.009476624262017593
er,gpu_surrogate,0.024201137739006142
modular,gpu_surrogate,-0.0031160331602758076
scale_free,gpu_surrogate,0.09632947748678795
small_world,gpu_surrogate,0.0013821266260218325
er,high_degree,0.01846548508324777
modular,high_degree,0.01017088213909826
scale_free,high_degree,0.08602982587462735
small_world,high_degree,0.004249775564111986
er,module_bridge,0.020183936570566986
modular,module_bridge,0.0171604283031334
scale_free,module_bridge,0.08369447459325696
small_world,module_bridge,0.007147646145850084
er,random,0.0
modular,random,0.0
scale_free,random,0.0
small_world,random,0.0
er,spectral,0.027016409945232744
modular,spectral,-0.0034803822406408932
scale_free,spectral,0.09507706265287705
small_world,spectral,-0.0008430623581564221
