graph_seed,regime,k,D_epsilon_mean_jaccard_distance
42001,sparse_drive,8,0.0
42001,sparse_drive,32,0.4
42001,sparse_drive,64,0.3219355264658396
42001,transition_dense,8,0.93015873015873
42001,transition_dense,32,0.0
42001,transition_dense,64,0.3589743589743589
42001,transition_mid,8,0.0
42001,transition_mid,32,0.4761904761904761
42001,transition_mid,64,0.0
42002,sparse_drive,8,0.0
42002,sparse_drive,32,0.3589743589743589
42002,sparse_drive,64,0.0
42002,transition_dense,8,0.977777777777778
42002,transition_dense,32,0.0
42002,transition_dense,64,0.0
42002,transition_mid,8,0.977777777777778
42002,transition_mid,32,0.0
42002,transition_mid,64,0.0
42003,sparse_drive,8,0.977777777777778
42003,sparse_drive,32,0.0
42003,sparse_drive,64,0.0
42003,transition_dense,8,1.0
42003,transition_dense,32,0.0
42003,transition_dense,64,0.0
42003,transition_mid,8,0.8825396825396826
42003,transition_mid,32,0.0
42003,transition_mid,64,0.0
