graph_seed,regime,k,D_epsilon_mean_jaccard_distance_fresh,D_epsilon_mean_jaccard_distance_independent
42001,sparse_drive,8,0.0,0.7692307692307692
42001,sparse_drive,32,0.4,0.4
42001,sparse_drive,64,0.3219355264658396,0.3226990553306342
42001,transition_dense,8,0.93015873015873,0.9333333333333332
42001,transition_dense,32,0.0,0.0
42001,transition_dense,64,0.3589743589743589,0.0
42001,transition_mid,8,0.0,0.0
42001,transition_mid,32,0.4761904761904761,0.5331409331409331
42001,transition_mid,64,0.0,0.0
42002,sparse_drive,8,0.0,0.0
42002,sparse_drive,32,0.3589743589743589,0.3589743589743589
42002,sparse_drive,64,0.0,0.0
42002,transition_dense,8,0.977777777777778,0.0
42002,transition_dense,32,0.0,0.5454545454545454
42002,transition_dense,64,0.0,0.0
42002,transition_mid,8,0.977777777777778,0.977777777777778
42002,transition_mid,32,0.0,0.5110909762072553
42002,transition_mid,64,0.0,0.0
42003,sparse_drive,8,0.977777777777778,0.977777777777778
42003,sparse_drive,32,0.0,0.0
42003,sparse_drive,64,0.0,0.0
42003,transition_dense,8,1.0,0.9333333333333332
42003,transition_dense,32,0.0,0.5116279069767442
42003,transition_dense,64,0.0,0.0
42003,transition_mid,8,0.8825396825396826,0.8571428571428572
42003,transition_mid,32,0.0,0.3157894736842105
42003,transition_mid,64,0.0,0.0
