category,feature,n,p,q_fdr,rho
after_spike_trough,trough_v_long_square,400,1.2453375538414224e-08,5.479485236902259e-07,0.2798385688678553
after_spike_trough,fast_trough_v_long_square,400,1.554490698974738e-07,3.419879537744424e-06,0.2586325962382458
after_spike_trough,fast_trough_v_ramp,391,3.98209690743312e-07,4.3803065981764325e-06,0.2530177930435839
firing_input_output,f_i_curve_slope,400,3.902726884267403e-07,4.3803065981764325e-06,-0.2504127618218388
spike_waveform,upstroke_downstroke_ratio_short_square,400,2.063712504774212e-05,0.0001816067004201,0.2111499262157309
adaptation_history,adaptation,350,8.605184518589248e-05,0.000540897312597,0.208338548817475
after_spike_trough,fast_trough_v_short_square,400,4.812361822178231e-05,0.0003529065336264,0.2017654515603901
after_spike_trough,trough_v_ramp,391,0.0002261699031183,0.0012439344671509,0.1854749707719716
after_spike_trough,fast_trough_t_short_square,400,0.0004369174874444,0.0021360410497285,0.1750245079765122
adaptation_history,avg_isi,383,0.0010028226070388,0.0044124194709709,0.1674564096717523
spike_waveform,peak_v_short_square,400,0.0028481601752252,0.0113926407009009,0.1488175519981628
spike_waveform,upstroke_downstroke_ratio_long_square,400,0.0045987619026404,0.0168621269763482,0.1414234140086536
after_spike_trough,slow_trough_t_long_square,250,0.03646522979628,0.0963422796046703,-0.1323715092966509
spike_waveform,peak_v_ramp,391,0.0108655223419142,0.0367756140803251,0.128683080141448
spike_waveform,upstroke_downstroke_ratio_ramp,391,0.0118613882233413,0.0372786487019298,0.1271420488717812
spike_waveform,peak_v_long_square,400,0.0308038234976249,0.0903578822596997,0.1080018548671264
excitability_threshold,threshold_i_short_square,400,0.0372231534836226,0.0963422796046703,0.1042077709415745
excitability_threshold,threshold_v_short_square,400,0.0445437712818708,0.1088847742445732,-0.100506933226296
after_spike_trough,slow_trough_v_short_square,275,0.109101112375088,0.211912272142152,-0.0968329903928709
after_spike_trough,slow_trough_v_ramp,294,0.1107723240743067,0.211912272142152,0.0932011158497107
passive_membrane,vrest,400,0.0708122427860936,0.1639862464520064,-0.0904318219748049
after_spike_trough,trough_v_short_square,400,0.0764009712118815,0.1680821366661394,-0.0887009505934085
excitability_threshold,threshold_t_short_square,400,0.1064536500395367,0.211912272142152,0.0808378470603747
passive_membrane,vm_for_sag,400,0.1262312136179882,0.2314238916329785,-0.0765840502132694
excitability_threshold,threshold_v_long_square,400,0.133850190913528,0.2355763360078094,0.0750836563480655
after_spike_trough,slow_trough_v_long_square,250,0.2647782443516854,0.4314904722768207,0.0707957081552637
after_spike_trough,slow_trough_t_short_square,275,0.2842467302661897,0.4466734332754409,0.0648006386771596
passive_membrane,tau,400,0.2365823753946928,0.4003701737448647,0.0593121260388101
after_spike_trough,slow_trough_t_ramp,294,0.3403890140692289,0.4798731692345294,0.055797606257573
excitability_threshold,threshold_v_ramp,391,0.367563118973922,0.4798731692345294,0.0456904083778967
excitability_threshold,latency,400,0.3646488967611955,0.4798731692345294,0.0454459142739174
after_spike_trough,trough_t_ramp,391,0.376534970749426,0.4798731692345294,-0.0448419781138242
excitability_threshold,threshold_i_ramp,391,0.3792015977359846,0.4798731692345294,-0.044592211285525
excitability_threshold,threshold_t_ramp,391,0.3811279925252195,0.4798731692345294,-0.0444124466370282
after_spike_trough,fast_trough_t_ramp,391,0.3817172937092848,0.4798731692345294,-0.0443575661246607
after_spike_trough,trough_t_short_square,400,0.4860089646504208,0.593731328891567,0.0349322177857574
excitability_threshold,threshold_i_long_square,400,0.5004068713089543,0.593731328891567,0.0337886051129916
passive_membrane,input_resistance_mohm,400,0.5127679658608988,0.593731328891567,-0.0328205837259776
excitability_threshold,rheobase_sweep_number,400,0.5869098634019567,0.6621547176842589,-0.0272461965603448
passive_membrane,sag,400,0.6427663549233569,0.7070429904156926,0.0232613810248846
excitability_threshold,threshold_t_long_square,400,0.6808511847812693,0.7306695641555085,-0.0206274598523544
after_spike_trough,fast_trough_t_long_square,400,0.7144338449697353,0.7484545042540084,-0.0183512816675235
passive_membrane,ri,400,0.9664596646885584,0.9740830446786024,0.0021090461478836
after_spike_trough,trough_t_long_square,400,0.9740830446786022,0.9740830446786024,0.0016294884372508
