state_a,state_b,n_groups,median_rho,ci95_low,ci95_high,mean_rho
baseline,visual,39,0.9548440661057703,0.9469839038095268,0.9589296967116971,0.9488729532801145
baseline,decision,39,0.930417094741674,0.9183693021046434,0.9392527234720379,0.9248630902520089
baseline,movement,39,0.903742966647068,0.8948730715950752,0.9126607630304661,0.9025542894649757
baseline,outcome,39,0.9207086548060823,0.9054327767205671,0.9295031247210384,0.9174496626783138
visual,decision,39,0.9336318509875062,0.9285359222049753,0.9423823487476728,0.9283089109218775
visual,movement,39,0.9073482361609904,0.9005268379933372,0.9170603994332946,0.9022605447701485
visual,outcome,39,0.9163793820503702,0.909964166932405,0.9256472039314645,0.9133081200433738
decision,movement,39,0.938501669018976,0.9310625143318012,0.9421612258648822,0.9327406940021549
decision,outcome,39,0.945965806850193,0.9384228515353173,0.9536478821212405,0.9427323759505404
movement,outcome,39,0.9850204980827588,0.9789919365206277,0.9867502272535165,0.980055061132667
