window,complexity_fraction,frequency_transition_strength_mean,frequency_transition_strength_std,frequency_transition_strength_n,frequency_transition_strength_sem,frequency_transition_strength_ci95,source_fraction_column,semantic_fraction_name
frequency_transition,0.0,0.0,0.0,24,0.0,0.0,hh_fraction,high-complexity fraction
frequency_transition,0.05,165.5034722222222,154.91231640009659,24,31.621344171068245,61.977834575293755,hh_fraction,high-complexity fraction
frequency_transition,0.08,49.10300925925926,61.063222056931664,24,12.464478007478803,24.430376894658455,hh_fraction,high-complexity fraction
frequency_transition,0.1,308.2899305555555,496.7620928715529,24,101.40113759103112,198.74622967842097,hh_fraction,high-complexity fraction
frequency_transition,0.12,605.2951388888893,690.5949028806707,24,140.96709425204568,276.2955047340095,hh_fraction,high-complexity fraction
frequency_transition,0.15,709.230324074074,489.81206237345316,24,99.98246855627066,195.9656383702905,hh_fraction,high-complexity fraction
frequency_transition,0.18,635.8217592592592,590.0766891303736,24,120.44889979002568,236.07984358845033,hh_fraction,high-complexity fraction
frequency_transition,0.2,102430722.00520875,453902983.3823678,24,92652558.50114945,181599014.6622529,hh_fraction,high-complexity fraction
frequency_transition,0.22,44.83506944444446,83.25827641539095,24,16.99502450677556,33.3102480332801,hh_fraction,high-complexity fraction
frequency_transition,0.25,11284726.79398069,37358410.14006543,24,7625753.53706478,14946476.932646967,hh_fraction,high-complexity fraction
frequency_transition,0.3,12152778.24652679,20298075.37964694,24,4143327.286723745,8120921.48197854,hh_fraction,high-complexity fraction
frequency_transition,1.0,1.1805555555555538,1.0111782141825236,24,0.20640588864715861,0.4045555417484309,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.0,510937500.0000001,919672464.8345118,40,145412984.51090828,285009449.6413802,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.2,528645968.55034703,1319258991.512277,40,208593161.84177694,408842597.2098828,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.25,13541731.694444561,31840894.568163175,40,5034487.478633955,9867595.458122551,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.3,4687508.979166666,15990209.205731316,40,2528274.067635145,4955417.172564885,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.35,3.031249999999994,3.2535695661307873,40,0.5144345177389558,1.0082916547683534,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.4,2.895833333333333,2.7750253457429332,40,0.4387700328621955,0.8599892644099032,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.5,2.8437500000000044,2.637996081538206,40,0.41710380381299955,0.8175234554734792,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.6,2.765625000000001,1.9842840387322345,40,0.3137428543555816,0.6149359945369399,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.7,2.338541666666661,1.4742624399370272,40,0.2331013589519094,0.4568786635457424,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.8,2.213541666666666,1.728093130350687,40,0.273235515039921,0.5355416094782451,hh_fraction,high-complexity fraction
heterogeneity_optimum,1.0,6250001.611979166,16478639.609481853,40,2605501.695351512,5106783.322888964,hh_fraction,high-complexity fraction
sparse_complexity,0.0,816406250.0000001,1213368235.4497283,32,214495226.84071454,420410644.6078005,hh_fraction,high-complexity fraction
sparse_complexity,0.0025,1405.46875,1147.9696299960938,32,202.93427749161245,397.7511838835604,hh_fraction,high-complexity fraction
sparse_complexity,0.005,495.31249999999994,363.14250624060753,32,64.19513217495293,125.82245906290774,hh_fraction,high-complexity fraction
sparse_complexity,0.0075,886.7187500000001,734.7550349317296,32,129.88756692779614,254.57963117848044,hh_fraction,high-complexity fraction
sparse_complexity,0.01,667.4479166666665,529.1771837706881,32,93.54619377336334,183.35053979579214,hh_fraction,high-complexity fraction
sparse_complexity,0.015,294.2708333333334,307.3104035658164,32,54.325317572640834,106.47762244237603,hh_fraction,high-complexity fraction
sparse_complexity,0.02,328.1249999999999,296.99435206968207,32,52.50168008064428,102.90329295806278,hh_fraction,high-complexity fraction
sparse_complexity,0.025,308.46354166666663,295.823838207079,32,52.29476050821441,102.49773059610024,hh_fraction,high-complexity fraction
sparse_complexity,0.03,316.6666666666668,366.3625938591597,32,64.7643686227262,126.93816250054334,hh_fraction,high-complexity fraction
sparse_complexity,0.04,110.87239583333331,120.83302555462284,32,21.360462940240296,41.86650736287098,hh_fraction,high-complexity fraction
sparse_complexity,0.05,296224086.91406256,582462184.7390299,32,102965740.1534249,201812850.7007128,hh_fraction,high-complexity fraction
sparse_complexity,1.0,18229194.72108034,31193929.21988515,32,5514359.720808495,10808145.05278465,hh_fraction,high-complexity fraction
