complexity_fraction,frequency_state,fraction,window,source_fraction_column,semantic_fraction_name
0.0,high_frequency,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.05,high_frequency,0.0017361111111111,frequency_transition,hh_fraction,high-complexity fraction
0.08,high_frequency,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.1,high_frequency,0.0711805555555555,frequency_transition,hh_fraction,high-complexity fraction
0.12,high_frequency,0.2829861111111111,frequency_transition,hh_fraction,high-complexity fraction
0.15,high_frequency,0.5833333333333334,frequency_transition,hh_fraction,high-complexity fraction
0.18,high_frequency,0.9305555555555556,frequency_transition,hh_fraction,high-complexity fraction
0.2,high_frequency,0.9809027777777778,frequency_transition,hh_fraction,high-complexity fraction
0.22,high_frequency,0.9982638888888888,frequency_transition,hh_fraction,high-complexity fraction
0.25,high_frequency,1.0,frequency_transition,hh_fraction,high-complexity fraction
0.3,high_frequency,1.0,frequency_transition,hh_fraction,high-complexity fraction
1.0,high_frequency,1.0,frequency_transition,hh_fraction,high-complexity fraction
0.0,high_intermediate,0.015625,frequency_transition,hh_fraction,high-complexity fraction
0.05,high_intermediate,0.0329861111111111,frequency_transition,hh_fraction,high-complexity fraction
0.08,high_intermediate,0.0416666666666666,frequency_transition,hh_fraction,high-complexity fraction
0.1,high_intermediate,0.0017361111111111,frequency_transition,hh_fraction,high-complexity fraction
0.12,high_intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.15,high_intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.18,high_intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.2,high_intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.22,high_intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.25,high_intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.3,high_intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
1.0,high_intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.0,intermediate,0.140625,frequency_transition,hh_fraction,high-complexity fraction
0.05,intermediate,0.2586805555555556,frequency_transition,hh_fraction,high-complexity fraction
0.08,intermediate,0.1857638888888889,frequency_transition,hh_fraction,high-complexity fraction
0.1,intermediate,0.1354166666666666,frequency_transition,hh_fraction,high-complexity fraction
0.12,intermediate,0.0815972222222222,frequency_transition,hh_fraction,high-complexity fraction
0.15,intermediate,0.03125,frequency_transition,hh_fraction,high-complexity fraction
0.18,intermediate,0.0086805555555555,frequency_transition,hh_fraction,high-complexity fraction
0.2,intermediate,0.0086805555555555,frequency_transition,hh_fraction,high-complexity fraction
0.22,intermediate,0.0017361111111111,frequency_transition,hh_fraction,high-complexity fraction
0.25,intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.3,intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
1.0,intermediate,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.0,low_frequency,0.3107638888888889,frequency_transition,hh_fraction,high-complexity fraction
0.05,low_frequency,0.7048611111111112,frequency_transition,hh_fraction,high-complexity fraction
0.08,low_frequency,0.7725694444444444,frequency_transition,hh_fraction,high-complexity fraction
0.1,low_frequency,0.7916666666666666,frequency_transition,hh_fraction,high-complexity fraction
0.12,low_frequency,0.6354166666666666,frequency_transition,hh_fraction,high-complexity fraction
0.15,low_frequency,0.3854166666666667,frequency_transition,hh_fraction,high-complexity fraction
0.18,low_frequency,0.0607638888888888,frequency_transition,hh_fraction,high-complexity fraction
0.2,low_frequency,0.0104166666666666,frequency_transition,hh_fraction,high-complexity fraction
0.22,low_frequency,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.25,low_frequency,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.3,low_frequency,0.0,frequency_transition,hh_fraction,high-complexity fraction
1.0,low_frequency,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.0,weak_or_irregular,0.5329861111111112,frequency_transition,hh_fraction,high-complexity fraction
0.05,weak_or_irregular,0.0017361111111111,frequency_transition,hh_fraction,high-complexity fraction
0.08,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.1,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.12,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.15,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.18,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.2,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.22,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.25,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
0.3,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
1.0,weak_or_irregular,0.0,frequency_transition,hh_fraction,high-complexity fraction
