specimen_id,specimen_name,ev_glif1,ev_glif2,ev_glif3,ev_glif4,ev_glif5,model_id_glif1,model_id_glif2,model_id_glif3,model_id_glif4,model_id_glif5,ev_cost0,ev_cost1,ev_cost2,ev_cost3,ev_best,creq_eps_0p000,creq_eps_0p005,creq_eps_0p010,creq_eps_0p015,creq_eps_0p020,creq_eps_0p025,creq_eps_0p030,creq_eps_0p040,creq_eps_0p050
313861608,Pvalb-IRES-Cre;Ai14-165874.04.02.01,0.968530614937373,0.951977514183922,0.974023371275986,0.974126139629663,0.971204803545251,566281678,566281680,566281682,566281684,566281686,0.968530614937373,0.974023371275986,0.974126139629663,0.971204803545251,0.974126139629663,2,1,0,0,0,0,0,0,0
313861677,Rorb-IRES2-Cre-D;Ai14-166229.04.01.01,0.672367597280085,0.687579565860372,0.431767372542924,0.562042883649191,0.543629947298748,566281743,566281745,566281747,566281749,566281751,0.672367597280085,0.687579565860372,0.562042883649191,0.543629947298748,0.687579565860372,1,1,1,1,0,0,0,0,0
313861794,Scnn1a-Tg3-Cre;Ai14-167070.04.01.01,0.739910442175059,0.800209241758984,0.824982515325358,0.830142359374035,0.852406949898712,566281780,566281782,566281784,566281786,566281788,0.739910442175059,0.824982515325358,0.830142359374035,0.852406949898712,0.852406949898712,3,3,3,3,3,2,1,1,1
313862134,Sst-IRES-Cre;Ai14-167638.03.01.01,0.947474654483392,0.902512018848051,0.95818627658215,0.965960954761689,0.964164603753062,566282072,566282074,566282076,566282078,566282080,0.947474654483392,0.95818627658215,0.965960954761689,0.964164603753062,0.965960954761689,2,2,1,1,0,0,0,0,0
313862167,Sst-IRES-Cre;Ai14-167638.05.02.01,0.908908087303024,0.827110189836267,0.915922133945387,0.945239563483232,0.943591894807975,566281820,566281822,566281824,566281826,566281828,0.908908087303024,0.915922133945387,0.945239563483232,0.943591894807975,0.945239563483232,2,2,2,2,2,2,1,0,0
313862274,Sst-IRES-Cre;Ai14-167636.03.02.01,0.845470597662831,0.842613871151968,0.835033955496667,0.820873836376403,0.824214153139079,566282105,566282107,566282109,566282111,566282113,0.845470597662831,0.842613871151968,0.820873836376403,0.824214153139079,0.845470597662831,0,0,0,0,0,0,0,0,0
314642645,Rorb-IRES2-Cre-D;Ai14-168052.03.02.01,0.685232525094639,0.748375778458534,0.633358939006833,0.711641787324923,0.693951657385294,566282193,566282195,566282197,566282199,566282201,0.685232525094639,0.748375778458534,0.711641787324923,0.693951657385294,0.748375778458534,1,1,1,1,1,1,1,1,1
314800921,Rorb-IRES2-Cre-D;Ai14-168053.04.01.01,0.676829058681391,0.549377355698663,0.769043211863638,0.769773445243762,0.779698218061792,566282155,566282157,566282159,566282161,566282163,0.676829058681391,0.769043211863638,0.769773445243762,0.779698218061792,0.779698218061792,3,3,2,1,1,1,1,1,1
314822529,Rorb-IRES2-Cre-D;Ai14-168053.06.01.01,0.742650093030387,0.629978500597989,0.848798951910173,0.871046395019947,0.87261539785714,566282269,566282271,566282273,566282275,566282277,0.742650093030387,0.848798951910173,0.871046395019947,0.87261539785714,0.87261539785714,3,2,2,2,2,1,1,1,1
318556138,Pvalb-IRES-Cre;Ai14-169130.06.01.01,0.947177005952953,0.93800116376996,0.969477684721572,0.969120275460376,0.967283873635648,566282030,566282032,566282034,566282036,566282038,0.947177005952953,0.969477684721572,0.969120275460376,0.967283873635648,0.969477684721572,1,1,1,1,1,0,0,0,0
318733871,Nr5a1-Cre;Ai14-169248.04.02.01,0.638226820561679,0.664644624881032,0.582199697703125,0.734694934168298,0.739204164135391,566282232,566282234,566282236,566282238,566282240,0.638226820561679,0.664644624881032,0.734694934168298,0.739204164135391,0.739204164135391,3,2,2,2,2,2,2,2,2
320207387,Scnn1a-Tg3-Cre;Ai14-170426.03.01.01,0.719041040511848,0.682678069942582,0.894046170447377,0.903569623908939,0.905775028835997,566282497,566282499,566282501,566282503,566282505,0.719041040511848,0.894046170447377,0.903569623908939,0.905775028835997,0.905775028835997,3,2,2,1,1,1,1,1,1
320639930,Rorb-IRES2-Cre-D;Ai14-171056.04.01.01,0.70779341355205,0.673501764283986,0.656359516667764,0.718094032934643,0.732117998383992,566282589,566282591,566282593,566282595,566282597,0.70779341355205,0.673501764283986,0.718094032934643,0.732117998383992,0.732117998383992,3,3,3,2,2,0,0,0,0
320668841,Scnn1a-Tg2-Cre;Ai14-171062.05.01.01,0.494405746019089,0.60284879175961,0.41477311953382,0.43875759117602,0.424353229124718,566282666,566282668,566282670,566282672,566282674,0.494405746019089,0.60284879175961,0.43875759117602,0.424353229124718,0.60284879175961,1,1,1,1,1,1,1,1,1
320836481,Scnn1a-Tg3-Cre;Ai14-171325.03.02.01,0.557285399119401,0.668154594496299,0.48663008082757,0.546852817713915,0.509638139137457,566282723,566282725,566282727,566282729,566282731,0.557285399119401,0.668154594496299,0.546852817713915,0.509638139137457,0.668154594496299,1,1,1,1,1,1,1,1,1
321893798,Nr5a1-Cre;Ai14-172511.04.02.01,0.503181277847603,0.626705442357511,0.457898400222912,0.304376953985806,0.423112667683492,566282907,566282909,566282911,566282913,566282915,0.503181277847603,0.626705442357511,0.304376953985806,0.423112667683492,0.626705442357511,1,1,1,1,1,1,1,1,1
322197160,Sst-IRES-Cre;Ai14-172531.05.01.01,0.313482793729814,0.387722241907148,0.552632290363783,0.57635141510268,0.586796643424653,566283065,566283067,566283069,566283071,566283073,0.313482793729814,0.552632290363783,0.57635141510268,0.586796643424653,0.586796643424653,3,3,3,2,2,2,2,1,1
322197295,Sst-IRES-Cre;Ai14-172531.03.01.01,0.416751713334748,0.414757672611465,0.422295913173561,0.493670508407547,0.491292300450448,566283136,566283138,566283140,566283142,566283144,0.416751713334748,0.422295913173561,0.493670508407547,0.491292300450448,0.493670508407547,2,2,2,2,2,2,2,2,2
