experiment_id,container_id,experiment_state,latent_r2,cre_line,targeted_structure,imaging_depth
1000743008,999191979,familiar_active,-0.0459839068353176,Sst-IRES-Cre,VISp,275
1001535125,999191979,passive,-0.039208672940731,Sst-IRES-Cre,VISp,275
1003122317,999191979,novel_active,-0.0251421593129634,Sst-IRES-Cre,VISp,275
1007107386,1006071814,familiar_active,-0.0196993835270404,Sst-IRES-Cre,VISp,275
1007929142,1006071814,passive,-0.0373386293649673,Sst-IRES-Cre,VISp,275
1008318518,1006071814,novel_active,-0.0302300415933132,Sst-IRES-Cre,VISp,275
775614751,782536745,familiar_active,0.0676111951470375,Slc17a7-IRES2-Cre,VISp,375
778644591,782536745,passive,0.0390282571315765,Slc17a7-IRES2-Cre,VISp,375
788490510,782536745,novel_active,0.0671882182359695,Slc17a7-IRES2-Cre,VISp,375
792813858,814796612,familiar_active,-0.0371179357171058,Slc17a7-IRES2-Cre,VISp,375
792815735,791352433,familiar_active,-0.2761073708534241,Vip-IRES-Cre,VISp,175
795076128,814796612,novel_active,0.0075511559844017,Slc17a7-IRES2-Cre,VISp,375
795953296,791352433,novel_active,0.0994843915104866,Vip-IRES-Cre,VISp,175
797255551,814796612,passive,0.0261412765830755,Slc17a7-IRES2-Cre,VISp,375
798404219,791352433,passive,0.1077891439199447,Vip-IRES-Cre,VISp,175
803736273,814797528,familiar_active,0.1424986124038696,Vip-IRES-Cre,VISp,175
805784331,814797528,novel_active,0.0599820464849472,Vip-IRES-Cre,VISp,175
806455766,803589437,familiar_active,-0.0014487346634268,Slc17a7-IRES2-Cre,VISp,175
806456687,803517529,familiar_active,0.1365507245063781,Slc17a7-IRES2-Cre,VISp,375
806989729,803589437,passive,0.0011288422392681,Slc17a7-IRES2-Cre,VISp,175
808619543,803517529,novel_active,0.1163096204400062,Slc17a7-IRES2-Cre,VISp,375
808621034,803589437,novel_active,0.0064941295422613,Slc17a7-IRES2-Cre,VISp,175
809497730,814797528,passive,0.198875606060028,Vip-IRES-Cre,VISp,175
811456530,803517529,passive,0.2239302992820739,Slc17a7-IRES2-Cre,VISp,375
815652334,812858755,passive,0.0049912901595234,Slc17a7-IRES2-Cre,VISp,175
817267785,812858755,novel_active,0.0082964999601244,Slc17a7-IRES2-Cre,VISp,175
822024770,803516615,familiar_active,0.0290472321212291,Slc17a7-IRES2-Cre,VISp,175
822641265,803516615,passive,0.0519242174923419,Slc17a7-IRES2-Cre,VISp,175
822647135,812858755,familiar_active,0.0091463895514607,Slc17a7-IRES2-Cre,VISp,175
825120601,803516615,novel_active,-0.0289163365960121,Slc17a7-IRES2-Cre,VISp,175
826587940,825183217,familiar_active,-0.0106000294908881,Vip-IRES-Cre,VISp,175
830093338,825183217,novel_active,0.03532600030303,Vip-IRES-Cre,VISp,175
830700781,829561794,familiar_active,0.1150680109858512,Slc17a7-IRES2-Cre,VISp,375
834279496,829561794,novel_active,0.0956221669912338,Slc17a7-IRES2-Cre,VISp,375
836911939,825183217,passive,0.0399323180317878,Vip-IRES-Cre,VISp,175
837296345,829561794,passive,0.0979616343975067,Slc17a7-IRES2-Cre,VISp,375
842973730,843049827,familiar_active,0.0413386262953281,Slc17a7-IRES2-Cre,VISp,375
843519218,843049827,passive,0.0465534701943397,Slc17a7-IRES2-Cre,VISp,375
847125577,843049827,novel_active,0.0310409590601921,Slc17a7-IRES2-Cre,VISp,375
932331541,928325203,familiar_active,-0.0515825487673282,Vip-IRES-Cre,VISp,175
933338719,928325203,passive,0.0954292565584182,Vip-IRES-Cre,VISp,175
938001540,928325203,novel_active,0.051669143140316,Vip-IRES-Cre,VISp,175
938003662,929913236,familiar_active,-0.3509934842586517,Vip-IRES-Cre,VISp,175
943134119,929913236,passive,0.093206837773323,Vip-IRES-Cre,VISp,175
950833329,929913236,novel_active,0.1577905565500259,Vip-IRES-Cre,VISp,175
955276580,941373529,familiar_active,-0.0483116656541824,Sst-IRES-Cre,VISp,275
956903375,941373529,passive,-0.4999061524868011,Sst-IRES-Cre,VISp,275
959337347,941373529,novel_active,-0.009759098291397,Sst-IRES-Cre,VISp,275
960953590,969421516,familiar_active,0.0569377541542053,Vip-IRES-Cre,VISp,175
960957793,957024596,familiar_active,-0.0330137461423873,Sst-IRES-Cre,VISp,290
961283857,957024596,passive,-0.0327247530221939,Sst-IRES-Cre,VISp,290
963394081,969421516,passive,0.0894160270690918,Vip-IRES-Cre,VISp,175
964440177,969421516,novel_active,0.0386669263243675,Vip-IRES-Cre,VISp,175
965224600,957570596,familiar_active,0.0883192047476768,Vip-IRES-Cre,VISp,175
965228792,957024596,novel_active,-0.5131793022155762,Sst-IRES-Cre,VISp,290
967008454,957570596,passive,0.083762526512146,Vip-IRES-Cre,VISp,175
968651977,957570596,novel_active,0.0481253117322921,Vip-IRES-Cre,VISp,175
977935606,975371413,familiar_active,-0.0210026185959577,Sst-IRES-Cre,VISp,275
980673831,975371413,passive,-0.0198077838867902,Sst-IRES-Cre,VISp,275
982183920,975371413,novel_active,-0.3586009740829468,Sst-IRES-Cre,VISp,275
982862443,978206330,familiar_active,-0.0115125067532062,Sst-IRES-Cre,VISp,275
984551228,978206330,passive,0.0178951304405927,Sst-IRES-Cre,VISp,275
988542529,978206330,novel_active,-0.10303595662117,Sst-IRES-Cre,VISp,275
992296756,989461845,familiar_active,-0.0150170261040329,Sst-IRES-Cre,VISp,275
992572516,989461845,passive,-0.0104812104254961,Sst-IRES-Cre,VISp,275
992868972,991913246,familiar_active,0.3416148722171783,Vip-IRES-Cre,VISp,175
993344860,989461845,novel_active,-0.0240173991769552,Sst-IRES-Cre,VISp,275
993590480,991913246,passive,0.2408084422349929,Vip-IRES-Cre,VISp,175
993862120,991913246,novel_active,0.1833270490169525,Vip-IRES-Cre,VISp,175
993862620,991913453,familiar_active,-0.0465988330543041,Sst-IRES-Cre,VISp,275
994053903,991913453,passive,-0.046656958758831,Sst-IRES-Cre,VISp,275
994955425,991913453,novel_active,-0.0393607057631015,Sst-IRES-Cre,VISp,275
